experiment,model,benchmark,contrast,clusters,estimate,ci_low,ci_high,p_two_sided,draws,p_bh_within_experiment
e3,internvl35_38b,herbench,evidence_minus_outside_utility,49,0.10430700035640925,0.03473449914799687,0.18364127972517966,0.006399360063993601,10000,0.007199280071992801
e3,internvl35_38b,lvbench,evidence_minus_outside_utility,103,0.9146596374546373,0.733825454770226,1.1133853349995335,9.999000099990002e-05,10000,0.00011998800119988002
e3,internvl35_38b,nextgqa,evidence_minus_outside_utility,384,0.5156065231310603,0.4069284993471447,0.6244955607228874,9.999000099990002e-05,10000,0.00011998800119988002
e3,internvl35_8b,herbench,evidence_minus_outside_utility,49,0.039339348185358336,-0.02817486026504494,0.10863192069998447,0.27617238276172384,10000,0.29241781704182523
e3,internvl35_8b,lvbench,evidence_minus_outside_utility,103,0.9841646355551386,0.7956260041638898,1.1797586327507954,9.999000099990002e-05,10000,0.00011998800119988002
e3,internvl35_8b,nextgqa,evidence_minus_outside_utility,384,0.424996686467781,0.32584855734473805,0.5312547434861813,9.999000099990002e-05,10000,0.00011998800119988002
e3,perception_lm_8b,herbench,evidence_minus_outside_utility,49,0.15782066475972992,0.09501877258116738,0.22140836352150764,9.999000099990002e-05,10000,0.00011998800119988002
e3,perception_lm_8b,lvbench,evidence_minus_outside_utility,103,0.9942041376769429,0.800318184348747,1.2025296316176217,9.999000099990002e-05,10000,0.00011998800119988002
e3,perception_lm_8b,nextgqa,evidence_minus_outside_utility,384,0.5768816870138519,0.45978678872885576,0.7023715244660585,9.999000099990002e-05,10000,0.00011998800119988002
e3,qwen3_vl_32b,herbench,evidence_minus_outside_utility,49,0.390887316271949,0.27539696775140926,0.5088390547801805,9.999000099990002e-05,10000,0.00011998800119988002
e3,qwen3_vl_32b,lvbench,evidence_minus_outside_utility,103,2.734601951008224,2.267195619433303,3.2198333165909743,9.999000099990002e-05,10000,0.00011998800119988002
e3,qwen3_vl_32b,nextgqa,evidence_minus_outside_utility,384,1.0355114057842274,0.8301767959047097,1.2557930213912318,9.999000099990002e-05,10000,0.00011998800119988002
e3,qwen3_vl_4b,herbench,evidence_minus_outside_utility,49,0.31655859567098965,0.17855375714425104,0.45095300334217925,9.999000099990002e-05,10000,0.00011998800119988002
e3,qwen3_vl_4b,lvbench,evidence_minus_outside_utility,103,1.8627397690693883,1.4606458093421748,2.2820723543199395,9.999000099990002e-05,10000,0.00011998800119988002
e3,qwen3_vl_4b,nextgqa,evidence_minus_outside_utility,384,0.8921908747727118,0.6981327003503255,1.105167648570686,9.999000099990002e-05,10000,0.00011998800119988002
e3,videollama3_7b,herbench,evidence_minus_outside_utility,49,-0.003534068712835941,-0.014275406595978922,0.006449062886110433,0.524047595240476,10000,0.524047595240476
