model,benchmark,condition,items,accuracy,mean_logodds,median_logodds,mean_gold_probability,mean_seconds
internvl35_38b,herbench,dose1,500,0.514,-0.4798815962816589,-0.47688792645931244,0.42465643664147595,0.5828860683441162
internvl35_38b,herbench,dose2,500,0.568,-0.3368482354292646,-0.14860641956329346,0.4599508366952401,0.5817873525619507
internvl35_38b,herbench,dose4,500,0.632,0.01700301694095833,0.2432492971420288,0.5286024201941618,0.5820681505203247
internvl35_38b,herbench,dose8,500,0.71,0.795433433014754,1.0880658626556396,0.6228811292378756,0.5820544576644897
internvl35_38b,herbench,middle1,500,0.478,-0.6487070153583773,-0.7228232622146606,0.39392938060397187,0.12396856117248535
internvl35_38b,herbench,oracle4_distractor4,500,0.632,0.01700301694095833,0.2432492971420288,0.5286024201941618,0.5819820642471314
internvl35_38b,herbench,oracle8,500,0.71,0.795433433014754,1.0880658626556396,0.6228811292378756,0.5821417641639709
internvl35_38b,herbench,oracle8_reversed,500,0.48,-0.9739767358026001,-0.6192311644554138,0.41966154873566847,0.5818071670532227
internvl35_38b,herbench,oracle8_shuffled,500,0.5,-0.3466726595225337,-0.3474712073802948,0.45444093476824926,0.5822138762474061
internvl35_38b,herbench,question_only,500,0.404,-0.8392910042056465,-0.9484463930130005,0.33990852295918256,0.054241225719451905
internvl35_38b,herbench,uniform16,500,0.516,-0.49229019522853196,-0.4455556273460388,0.42152567160912047,1.137617084503174
internvl35_38b,herbench,uniform32,1,0.0,-2.8144814372062683,-2.8144814372062683,0.05654662703172807,2.2975080013275146
internvl35_38b,herbench,uniform4,500,0.516,-0.5490478464337066,-0.5792522877454758,0.4158197268343043,0.324782223701477
internvl35_38b,herbench,uniform8,500,0.52,-0.5342422097846866,-0.4646613895893097,0.4169744788726227,0.5814808483123779
