model,benchmark,condition,items,accuracy,mean_logodds,median_logodds,mean_gold_probability,mean_seconds
internvl35_8b,lvbench,dose1,500,0.476,0.07022476359983557,-0.6284471601247787,0.4460197920354154,0.11025447368621827
internvl35_8b,lvbench,dose2,500,0.534,0.5250376194573387,-0.23836028575897217,0.493949219353446,0.10917270803451538
internvl35_8b,lvbench,dose4,500,0.566,0.8638239469465688,0.07119700312614441,0.5330401617796815,0.10919887399673461
internvl35_8b,lvbench,dose8,500,0.596,1.4648188193209433,0.5070054680109024,0.5712651473427639,0.10918737030029296
internvl35_8b,lvbench,middle1,500,0.304,-1.5866814655445396,-1.6457371935248375,0.29101418699065534,0.03546807336807251
internvl35_8b,lvbench,oracle4_distractor4,500,0.566,0.8638239469465688,0.07119700312614441,0.5330401617796815,0.10920674324035645
internvl35_8b,lvbench,oracle8,500,0.596,1.4648188193209433,0.5070054680109024,0.5712651473427639,0.10920947408676147
internvl35_8b,lvbench,oracle8_reversed,500,0.59,1.375540493380074,0.3456712067127228,0.5606082677466133,0.10923457145690918
internvl35_8b,lvbench,oracle8_shuffled,500,0.6,1.3833490579937788,0.3897343575954437,0.5661795665303835,0.10925535583496093
internvl35_8b,lvbench,question_only,500,0.256,-1.5195028193956241,-1.4478049278259277,0.2608487867964938,0.02355691385269165
internvl35_8b,lvbench,uniform16,500,0.378,-0.6838376050398756,-0.9702554494142532,0.36175411837819305,0.20223744106292724
internvl35_8b,lvbench,uniform32,500,0.384,-0.45090160275168795,-0.963508203625679,0.3812713213354524,0.4153667683601379
internvl35_8b,lvbench,uniform4,500,0.328,-1.0872466130649496,-1.3260129541158676,0.32082229874434925,0.06152713060379028
internvl35_8b,lvbench,uniform8,500,0.362,-0.7775103210911054,-1.1316812336444855,0.3492314440731154,0.1090477294921875
