model,benchmark,condition,items,accuracy,mean_logodds,median_logodds,mean_gold_probability,mean_seconds
internvl35_8b,nextgqa,dose1,500,0.78,2.9164174771231948,2.8205421958118677,0.7457280906059728,0.11090686464309693
internvl35_8b,nextgqa,dose2,500,0.806,3.15581731094211,3.0238843262195587,0.7674404423096199,0.1096097993850708
internvl35_8b,nextgqa,dose4,500,0.792,3.2759359542005093,3.138472005724907,0.7645281633118163,0.10961303853988648
internvl35_8b,nextgqa,dose8,500,0.814,3.5197770966917714,3.4326387122273445,0.7772435538860548,0.10963991212844848
internvl35_8b,nextgqa,middle1,500,0.688,2.4670943511482246,2.0641533583402634,0.6642571456103408,0.03514644956588745
internvl35_8b,nextgqa,oracle4_distractor4,500,0.792,3.2759359542005093,3.138472005724907,0.7645281633118163,0.10962631702423095
internvl35_8b,nextgqa,oracle8,500,0.814,3.5197770966917714,3.4326387122273445,0.7772435538860548,0.10966847133636475
internvl35_8b,nextgqa,oracle8_reversed,500,0.78,3.2716745710277557,3.204455941915512,0.7505786391358479,0.10962359094619752
internvl35_8b,nextgqa,oracle8_shuffled,500,0.804,3.3025443523608224,3.277355743572116,0.7664325104850757,0.10967466354370117
internvl35_8b,nextgqa,question_only,500,0.514,0.12856003065965343,-0.12296947836875916,0.49823749385128435,0.023795440673828126
internvl35_8b,nextgqa,uniform16,500,0.814,3.158457625101725,3.239251183345914,0.7671609458150073,0.20292031145095826
internvl35_8b,nextgqa,uniform32,500,0.818,3.381607813871206,3.3296230621635914,0.7765467823860691,0.4198086977005005
internvl35_8b,nextgqa,uniform4,500,0.754,2.708708230312365,2.4981567785143852,0.7206031066848035,0.060983590126037594
internvl35_8b,nextgqa,uniform8,500,0.774,2.952370368161966,2.8191432543098927,0.7384136836051635,0.10963553380966186
