model,benchmark,condition,items,accuracy,mean_logodds,median_logodds,mean_gold_probability,mean_seconds
perception_lm_8b,herbench,dose1,500,0.378,-1.2824025481397694,-1.4194153249263763,0.3588272818863642,0.30640386819839477
perception_lm_8b,herbench,dose2,500,0.406,-1.12003793437453,-1.0596517026424408,0.380843921090661,0.3049610905647278
perception_lm_8b,herbench,dose4,500,0.464,-0.6417648718804121,-0.6065806150436401,0.43483266164983536,0.3049078507423401
perception_lm_8b,herbench,dose8,500,0.534,-0.24202993804846482,-0.09747007489204407,0.49180834757190506,0.30494112825393677
perception_lm_8b,herbench,middle1,500,0.332,-1.5890661863950954,-1.4255450442433357,0.32318385431238333,0.04974346113204956
perception_lm_8b,herbench,oracle4_distractor4,500,0.464,-0.6417648718804121,-0.6065806150436401,0.43483266164983536,0.3050235481262207
perception_lm_8b,herbench,oracle8,500,0.534,-0.24202993804846482,-0.09747007489204407,0.49180834757190506,0.30499668979644773
perception_lm_8b,herbench,oracle8_reversed,500,0.39,-1.4939863342437312,-1.2675971686840057,0.3652301525008712,0.3049405374526978
perception_lm_8b,herbench,oracle8_shuffled,500,0.394,-1.3391679435612167,-1.2208118438720703,0.38094718216615375,0.30498436546325686
perception_lm_8b,herbench,question_only,500,0.286,-1.8371662105582653,-1.6853625625371933,0.2693378453005699,0.021350943565368652
perception_lm_8b,herbench,uniform16,500,0.37,-1.3538112653901335,-1.5454098135232925,0.34956502057083194,0.7387131099700928
perception_lm_8b,herbench,uniform32,500,0.384,-1.1425264018374728,-1.1165551394224167,0.3767721171810571,2.056950456619263
perception_lm_8b,herbench,uniform4,500,0.33,-1.5417048136366065,-1.6640460267663002,0.31615188099187186,0.1443248701095581
perception_lm_8b,herbench,uniform8,500,0.332,-1.529104121613549,-1.6081160008907318,0.3291411828484044,0.30488269567489623
