model,benchmark,condition,items,accuracy,mean_logodds,median_logodds,mean_gold_probability,mean_seconds
perception_lm_8b,lvbench,dose1,500,0.496,-0.13655167920234498,-0.3476982116699219,0.4649181832292415,0.2959864540100098
perception_lm_8b,lvbench,dose2,500,0.534,0.34290769222888096,-0.03946733474731445,0.5078401029879833,0.29478585815429686
perception_lm_8b,lvbench,dose4,500,0.552,0.7634862687915254,0.20167022943496704,0.5357006009996821,0.29471344709396363
perception_lm_8b,lvbench,dose8,500,0.616,1.4336765729673926,0.6427515000104904,0.5864933850796027,0.2947723083496094
perception_lm_8b,lvbench,middle1,500,0.332,-1.384360459525809,-1.2957136034965515,0.3270194614849682,0.04550024175643921
perception_lm_8b,lvbench,oracle4_distractor4,500,0.552,0.7634862687915254,0.20167022943496704,0.5357006009996821,0.29465954208374023
perception_lm_8b,lvbench,oracle8,500,0.616,1.4336765729673926,0.6427515000104904,0.5864933850796027,0.29472296810150145
perception_lm_8b,lvbench,oracle8_reversed,500,0.608,1.3218010800452078,0.6605452597141266,0.581108122402499,0.2946712803840637
perception_lm_8b,lvbench,oracle8_shuffled,500,0.6,1.3192075823551013,0.620126262307167,0.5758202490394098,0.2945245809555054
perception_lm_8b,lvbench,question_only,500,0.298,-1.6590709567695157,-1.2901085913181305,0.30331448056540217,0.01950081205368042
perception_lm_8b,lvbench,uniform16,500,0.4,-0.696885000623576,-0.9420344531536102,0.3869083765456652,0.7169960656166077
perception_lm_8b,lvbench,uniform32,500,0.404,-0.6174017317100435,-0.8409287482500076,0.40046490428451254,2.0213413910865783
perception_lm_8b,lvbench,uniform4,500,0.366,-1.0210248242676123,-1.0046640485525131,0.36403152077219497,0.13719573307037353
perception_lm_8b,lvbench,uniform8,500,0.36,-0.8487094369244529,-0.9760843515396118,0.3732848132041726,0.29466072273254396
