model,benchmark,condition,items,accuracy,mean_logodds,median_logodds,mean_gold_probability,mean_seconds
perception_lm_8b,nextgqa,dose1,500,0.756,3.336145766393434,3.126044549047947,0.7297267582189397,0.2952315101623535
perception_lm_8b,nextgqa,dose2,500,0.768,3.617983603057202,3.453950566239655,0.7461147600954409,0.2938628125190735
perception_lm_8b,nextgqa,dose4,500,0.786,3.83550135322201,3.7280649514868855,0.757765441399184,0.2938863377571106
perception_lm_8b,nextgqa,dose8,500,0.804,4.142029113252067,4.158880117814988,0.7721592590098292,0.293894850730896
perception_lm_8b,nextgqa,middle1,500,0.674,2.1329818588219043,1.9510703459382057,0.6523909735412878,0.04495437383651733
perception_lm_8b,nextgqa,oracle4_distractor4,500,0.786,3.83550135322201,3.7280649514868855,0.757765441399184,0.2937782163619995
perception_lm_8b,nextgqa,oracle8,500,0.804,4.142029113252067,4.158880117814988,0.7721592590098292,0.29385733318328855
perception_lm_8b,nextgqa,oracle8_reversed,500,0.776,3.764455699715526,3.5775844920426607,0.7516453907909573,0.293819016456604
perception_lm_8b,nextgqa,oracle8_shuffled,500,0.782,3.914399313460664,3.8823664179071784,0.7613866889110831,0.29384608316421507
perception_lm_8b,nextgqa,question_only,500,0.48,-0.4051628323373532,-0.42909492552280426,0.4570012668519585,0.019489213466644287
perception_lm_8b,nextgqa,uniform16,500,0.79,3.777884650517256,3.4822544353082776,0.758932579819019,0.7159352831840515
perception_lm_8b,nextgqa,uniform32,500,0.802,4.048070727444263,3.8623173413798213,0.7710840294337332,2.028508948326111
perception_lm_8b,nextgqa,uniform4,500,0.734,3.0230645986775784,2.67500039935112,0.7092988108912535,0.1365320897102356
perception_lm_8b,nextgqa,uniform8,500,0.764,3.4101425867436452,3.0579275526106358,0.7331587543799734,0.29379016065597535
