model,benchmark,condition,items,accuracy,mean_logodds,median_logodds,mean_gold_probability,mean_seconds
qwen3_vl_32b,herbench,dose1,500,0.508,-0.22095637285808464,-0.03574484586715698,0.49958121711625,0.28961163806915285
qwen3_vl_32b,herbench,dose2,500,0.558,0.3151641254786027,0.9074437469244003,0.5428810258222143,0.2887168517112732
qwen3_vl_32b,herbench,dose4,500,0.656,1.5780274996027437,2.1324892565608025,0.6347300708926201,0.28911710786819456
qwen3_vl_32b,herbench,dose8,500,0.704,2.874747026799715,3.9680994292721152,0.6883378869758967,0.28932840967178347
qwen3_vl_32b,herbench,middle1,500,0.442,-0.37254095473775306,-1.2785156518220901,0.44426773112741974,0.09024108839035035
qwen3_vl_32b,herbench,oracle4_distractor4,500,0.656,1.5780274996027437,2.1324892565608025,0.6347300708926201,0.28985843229293823
qwen3_vl_32b,herbench,oracle8,500,0.704,2.874747026799715,3.9680994292721152,0.6883378869758967,0.2896246271133423
qwen3_vl_32b,herbench,oracle8_reversed,500,0.502,-1.3174453314115069,-0.18728962540626526,0.481129852364133,0.2892009539604187
qwen3_vl_32b,herbench,oracle8_shuffled,500,0.54,0.06122769695212662,0.32404273748397827,0.5194533259138061,0.28914991807937623
qwen3_vl_32b,herbench,question_only,500,0.41,-1.5405538274647137,-2.030972883105278,0.39896888032346095,0.05287471961975097
qwen3_vl_32b,herbench,uniform16,500,0.518,-0.3602181754457542,-0.12615403532981873,0.49553357814950777,0.5502784719467163
qwen3_vl_32b,herbench,uniform32,500,0.554,0.10841122370839662,0.762725442647934,0.5315051942407522,1.1070462770462035
qwen3_vl_32b,herbench,uniform4,500,0.496,-0.44514530219579174,-0.5076003074645996,0.4791911190132567,0.17247337770462037
qwen3_vl_32b,herbench,uniform8,500,0.522,-0.43047127386515677,-0.040102213621139526,0.4986116861366898,0.28848465347290037
