model,benchmark,condition,items,accuracy,mean_logodds,median_logodds,mean_gold_probability,mean_seconds
qwen3_vl_32b,lvbench,dose1,500,0.504,1.444645644854571,-0.02185845375061035,0.5081315397609804,0.2670065751075745
qwen3_vl_32b,lvbench,dose2,500,0.602,2.546199245342247,1.0923164784908295,0.5822505251515929,0.26585385847091675
qwen3_vl_32b,lvbench,dose4,500,0.592,3.0517368015380244,1.8087550699710846,0.5959175017044898,0.2667331805229187
qwen3_vl_32b,lvbench,dose8,500,0.658,4.48449468200858,3.734734494239092,0.6549639671143912,0.26671620321273803
qwen3_vl_32b,lvbench,middle1,500,0.326,-2.377364485963959,-2.5142529606819153,0.3248799589657009,0.07670514726638794
qwen3_vl_32b,lvbench,oracle4_distractor4,500,0.592,3.0517368015380244,1.8087550699710846,0.5959175017044898,0.2671919045448303
qwen3_vl_32b,lvbench,oracle8,500,0.658,4.48449468200858,3.734734494239092,0.6549639671143912,0.26727540683746337
qwen3_vl_32b,lvbench,oracle8_reversed,500,0.642,4.173767233961027,3.5723469695076346,0.6409013312955822,0.2671819591522217
qwen3_vl_32b,lvbench,oracle8_shuffled,500,0.646,4.333615520261833,3.743444104678929,0.647307886318524,0.26692150163650513
qwen3_vl_32b,lvbench,question_only,500,0.268,-3.7132737073505324,-3.7088186629116535,0.26312653540660763,0.0442319712638855
qwen3_vl_32b,lvbench,uniform16,500,0.444,-0.404073579045578,-0.8731538653373718,0.42727679372134675,0.5149244737625122
qwen3_vl_32b,lvbench,uniform32,500,0.456,-0.06948233253964099,-0.9165449887514114,0.43652194964681534,1.0457545614242554
qwen3_vl_32b,lvbench,uniform4,500,0.38,-1.6194137317943915,-2.2507308050990105,0.3622353137181663,0.16294356298446655
qwen3_vl_32b,lvbench,uniform8,500,0.386,-0.8840300150590495,-1.6215514913201332,0.38607170678431557,0.26682338857650756
