model,benchmark,condition,items,accuracy,mean_logodds,median_logodds,mean_gold_probability,mean_seconds
qwen3_vl_32b,nextgqa,dose1,500,0.804,6.987563012496632,7.747031305145356,0.8030294040838212,0.282657684803009
qwen3_vl_32b,nextgqa,dose2,500,0.834,7.328443851890696,8.240851496637333,0.8264949077571082,0.2818258218765259
qwen3_vl_32b,nextgqa,dose4,500,0.826,7.547136451977704,8.587381797537091,0.8197694756707308,0.2817246870994568
qwen3_vl_32b,nextgqa,dose8,500,0.836,7.618120709211248,8.502491196726623,0.8307893407813866,0.2817144675254822
qwen3_vl_32b,nextgqa,middle1,500,0.714,4.854948470899646,5.038686995161697,0.7033505554030823,0.07539572286605835
qwen3_vl_32b,nextgqa,oracle4_distractor4,500,0.826,7.547136451977704,8.587381797537091,0.8197694756707308,0.28166311931610105
qwen3_vl_32b,nextgqa,oracle8,500,0.836,7.618120709211248,8.502491196726623,0.8307893407813866,0.2820011682510376
qwen3_vl_32b,nextgqa,oracle8_reversed,500,0.818,7.075034470851145,7.740202461864101,0.8119650968574387,0.282063579082489
qwen3_vl_32b,nextgqa,oracle8_shuffled,500,0.842,7.490258058459865,8.429085636184027,0.8278350944620362,0.28209995794296266
qwen3_vl_32b,nextgqa,question_only,500,0.522,1.2021836197893372,0.24980637431144714,0.5159773122505702,0.043960646629333494
qwen3_vl_32b,nextgqa,uniform16,500,0.83,7.1420148397347445,7.825253864444676,0.827298886684969,0.5434179558753968
qwen3_vl_32b,nextgqa,uniform32,500,0.85,7.345481351966063,7.807334028926562,0.8434204494455836,1.1211303429603576
qwen3_vl_32b,nextgqa,uniform4,500,0.792,6.404583745818095,7.13246037659701,0.7807437092204833,0.1665264115333557
qwen3_vl_32b,nextgqa,uniform8,500,0.812,6.828915824496276,7.519801286922302,0.8052434247919298,0.28175834655761717
