model,benchmark,condition,items,accuracy,mean_logodds,median_logodds,mean_gold_probability,mean_seconds
videollama3_7b,herbench,dose1,500,0.304,-1.4236741663366557,-1.2544702738523483,0.2522618014269615,1.613375783443451
videollama3_7b,herbench,dose2,500,0.296,-1.428111150279641,-1.2955269068479538,0.25116878395894326,1.6126756129264832
videollama3_7b,herbench,dose4,500,0.292,-1.4217170926481486,-1.1930431425571442,0.25226233150713695,1.612681857585907
videollama3_7b,herbench,dose8,500,0.302,-1.3676216520667077,-1.1629826426506042,0.26206372457149163,1.6126177115440368
videollama3_7b,herbench,middle1,500,0.326,-1.3913353502452372,-1.319155901670456,0.27166184142201205,0.8499498195648193
videollama3_7b,herbench,oracle4_distractor4,500,0.292,-1.4217170926481486,-1.1930431425571442,0.25226233150713695,1.6122641100883484
videollama3_7b,herbench,oracle8,500,0.302,-1.3676216520667077,-1.1629826426506042,0.26206372457149163,1.6123885655403136
videollama3_7b,herbench,oracle8_reversed,500,0.288,-1.4654130480885506,-1.2926263809204102,0.2466756869275718,1.611719672679901
videollama3_7b,herbench,oracle8_shuffled,500,0.3,-1.4061904583871365,-1.2161429226398468,0.25492779811071087,1.6119489521980286
videollama3_7b,herbench,question_only,500,0.282,-1.3390773912072182,-1.3673816621303558,0.23876998697669957,0.016772291660308837
videollama3_7b,herbench,uniform16,500,0.288,-1.471215345159173,-1.3077646493911743,0.2368589368080067,1.6854922046661378
videollama3_7b,herbench,uniform32,500,0.274,-1.410880320817232,-1.3268827199935913,0.22915534808055263,1.598810010433197
videollama3_7b,herbench,uniform4,500,0.326,-1.3687121623754501,-1.2589054703712463,0.2675520670468879,1.5575327968597412
videollama3_7b,herbench,uniform8,500,0.328,-1.3984071165025234,-1.272638887166977,0.25746839279172773,1.6118902187347413
