model,benchmark,condition,items,accuracy,mean_logodds,median_logodds,mean_gold_probability,mean_seconds
videollama3_7b,lvbench,dose1,500,0.352,-1.1748902751579882,-1.1224641501903534,0.3112728199789013,1.4881212406158448
videollama3_7b,lvbench,dose2,500,0.368,-1.0856807491853833,-1.0104275047779083,0.3245264405876362,1.4867309646606446
videollama3_7b,lvbench,dose4,500,0.404,-0.9414668427016586,-0.9553362876176834,0.34793072211836806,1.4873640446662904
videollama3_7b,lvbench,dose8,500,0.442,-0.6794653710210696,-0.7279703617095947,0.38923650327059967,1.487290533542633
videollama3_7b,lvbench,middle1,500,0.274,-1.4366205026675016,-1.3128320127725601,0.27577803371358645,0.36648893308639524
videollama3_7b,lvbench,oracle4_distractor4,500,0.404,-0.9414668427016586,-0.9553362876176834,0.34793072211836806,1.486702211856842
videollama3_7b,lvbench,oracle8,500,0.442,-0.6794653710210696,-0.7279703617095947,0.38923650327059967,1.486403787612915
videollama3_7b,lvbench,oracle8_reversed,500,0.42,-0.7356282511064782,-0.7964160144329071,0.38240445239833126,1.4860908470153809
videollama3_7b,lvbench,oracle8_shuffled,500,0.438,-0.6685895205046981,-0.7300291359424591,0.39081088570415545,1.4861648707389832
videollama3_7b,lvbench,question_only,500,0.288,-1.2872398685365916,-1.195980280637741,0.26452081211653616,0.015315141201019287
videollama3_7b,lvbench,uniform16,500,0.312,-1.2575189275965095,-1.1174522191286087,0.2777533578147477,1.6522010416984558
videollama3_7b,lvbench,uniform32,500,0.284,-1.2284130798578263,-1.1747812628746033,0.2694291036204233,1.582320731163025
videollama3_7b,lvbench,uniform4,500,0.266,-1.4056290749385953,-1.2523798942565918,0.2759907485320675,1.468821333885193
videollama3_7b,lvbench,uniform8,500,0.3,-1.3138081565815956,-1.1902104914188385,0.2880059366045973,1.4866951045989991
