model,benchmark,condition,items,accuracy,mean_logodds,median_logodds,mean_gold_probability,mean_seconds
videollama3_7b,nextgqa,dose1,500,0.646,-0.06778034336864948,-0.07916313409805298,0.48573040058318917,0.8758990440368652
videollama3_7b,nextgqa,dose2,500,0.644,-0.0415864512482658,-0.0804145336151123,0.48912759374804565,0.8746069622039795
videollama3_7b,nextgqa,dose4,500,0.654,0.024049688244238497,-0.024646908044815063,0.5017830064712632,0.8746480641365051
videollama3_7b,nextgqa,dose8,500,0.688,0.113890316340141,0.07675722241401672,0.5192323457159753,0.8752681555747985
videollama3_7b,nextgqa,middle1,500,0.618,0.20231932471692562,0.02719700336456299,0.5163626338408408,0.07720274925231933
videollama3_7b,nextgqa,oracle4_distractor4,500,0.654,0.024049688244238497,-0.024646908044815063,0.5017830064712632,0.8750758566856385
videollama3_7b,nextgqa,oracle8,500,0.688,0.113890316340141,0.07675722241401672,0.5192323457159753,0.8749939661026
videollama3_7b,nextgqa,oracle8_reversed,500,0.67,0.08814556041453034,0.045040279626846313,0.513206095304704,0.8749175972938538
videollama3_7b,nextgqa,oracle8_shuffled,500,0.672,0.1037151761362329,0.09965413808822632,0.5171095770483294,0.8750670752525329
videollama3_7b,nextgqa,question_only,500,0.502,-0.662886785171926,-0.667172908782959,0.3744673362969221,0.01570657730102539
videollama3_7b,nextgqa,uniform16,500,0.568,-0.4162464088262059,-0.4020659923553467,0.41977825271532804,1.5036726593971252
videollama3_7b,nextgqa,uniform32,500,0.474,-0.7788101260513067,-0.8609460592269897,0.34528841899022206,1.5981641321182252
videollama3_7b,nextgqa,uniform4,500,0.646,0.11442078800220043,0.14992904663085938,0.5150916030606226,0.34863225936889647
videollama3_7b,nextgqa,uniform8,500,0.628,-0.07346300051361322,-0.10036921501159668,0.484607486730782,0.8757253713607788
