model,benchmark,condition,items,accuracy,mean_logodds,evidence_recall_at_k,temporal_coverage,charged_candidate_frames,mean_seconds
qwen3_vl_32b,herbench,aks_fixedk8,500,0.494,-0.5627048684485947,0.0235,0.7203464129326439,64.0,0.2934505476951599
qwen3_vl_32b,herbench,bolt_its8,500,0.504,-0.3744024934802398,0.02925,0.7418065549010474,64.0,0.2923448319435119
qwen3_vl_32b,herbench,dino_change8,500,0.454,-0.8592480389045969,0.0395,0.7110765321142989,64.0,0.2926668410301208
qwen3_vl_32b,herbench,dino_diversity8,500,0.49,-0.5935373883065688,0.029,0.8679330637782589,64.0,0.2925107808113098
qwen3_vl_32b,herbench,random8,500,0.48,-0.683264031327308,0.02775,0.8023142160582445,64.0,0.2927410216331482
qwen3_vl_32b,herbench,siglip_dino_submodular8,500,0.486,-0.683504247327914,0.02325,0.7919651885698539,64.0,0.2927690238952636
qwen3_vl_32b,herbench,siglip_relevance8,500,0.494,-0.5627048684485947,0.0235,0.7203464129326439,64.0,0.2929092321395874
qwen3_vl_32b,herbench,uniform8,500,0.486,-0.5991972806737181,0.02275,0.9999959481990204,64.0,0.2928241429328918
qwen3_vl_32b,nextgqa,aks_fixedk8,495,0.8101010101010101,6.493502038005758,0.2974747474747474,0.6071947254030428,64.0,0.2801353936243539
qwen3_vl_32b,nextgqa,bolt_its8,495,0.7919191919191919,6.841650409870246,0.278030303030303,0.7333081499444606,64.0,0.2794750550780633
qwen3_vl_32b,nextgqa,dino_change8,495,0.7898989898989899,6.138861514565408,0.2558080808080808,0.5467181695927527,64.0,0.2794156912601355
qwen3_vl_32b,nextgqa,dino_diversity8,495,0.8141414141414142,6.586642685579436,0.2358585858585858,0.8364946210308777,64.0,0.2795286949234779
qwen3_vl_32b,nextgqa,random8,495,0.797979797979798,6.61955470836124,0.2434343434343434,0.7967979017534946,64.0,0.279631250554865
qwen3_vl_32b,nextgqa,siglip_dino_submodular8,495,0.8242424242424242,6.940696374965887,0.2679292929292929,0.7946494456769818,64.0,0.2796361012892289
qwen3_vl_32b,nextgqa,siglip_relevance8,495,0.8101010101010101,6.493502038005758,0.2974747474747474,0.6071947254030428,64.0,0.280082127060553
qwen3_vl_32b,nextgqa,uniform8,495,0.8242424242424242,6.767980434062067,0.2123737373737373,0.9999652556383334,64.0,0.2799228552616004
