model,benchmark,condition,items,accuracy,mean_logodds,evidence_recall_at_k,temporal_coverage,charged_candidate_frames,mean_seconds
internvl35_38b,herbench,aks_fixedk16,500,0.536,-0.4549824049995513,0.02725,0.8410125765721536,64.0,1.1364819416999816
internvl35_38b,herbench,bolt_its16,500,0.514,-0.5193092251317576,0.0295,0.867393349281195,64.0,1.1347850952148435
internvl35_38b,herbench,dino_change16,500,0.484,-0.5865198651244864,0.034375,0.8711710952328997,64.0,1.1358040103912352
internvl35_38b,herbench,dino_diversity16,500,0.494,-0.6119296328080818,0.026875,0.934948666108637,64.0,1.135822762489319
internvl35_38b,herbench,random16,500,0.514,-0.5540944320312701,0.028125,0.9079963228305048,64.0,1.135801176071167
internvl35_38b,herbench,siglip_dino_submodular16,500,0.514,-0.5339085739860311,0.024375,0.9047266067663096,64.0,1.135449664592743
internvl35_38b,herbench,siglip_relevance16,500,0.536,-0.4549824049995513,0.02725,0.8410125765721536,64.0,1.1352938265800476
internvl35_38b,herbench,uniform16,500,0.496,-0.554575568491593,0.019625,0.9999959481990204,64.0,1.135135073184967
internvl35_38b,lvbench,aks_fixedk16,500,0.448,-0.4107456374753446,0.02875,0.8810156137435434,64.0,1.1208671417236329
internvl35_38b,lvbench,bolt_its16,500,0.448,-0.4227391410080445,0.0245,0.8760949800058926,64.0,1.1200148892402648
internvl35_38b,lvbench,dino_change16,500,0.408,-0.4888385507768089,0.027375,0.8792378345772913,64.0,1.1201625146865846
internvl35_38b,lvbench,dino_diversity16,500,0.406,-0.5794735822769262,0.032375,0.95577749605643,64.0,1.1203420128822326
internvl35_38b,lvbench,random16,500,0.418,-0.592851359321794,0.0265,0.9096505250686434,64.0,1.1203401565551758
internvl35_38b,lvbench,siglip_dino_submodular16,500,0.452,-0.341117079068531,0.026625,0.92425369617196,64.0,1.1204593887329102
internvl35_38b,lvbench,siglip_relevance16,500,0.448,-0.4107456374753446,0.02875,0.8810156137435434,64.0,1.120111144542694
internvl35_38b,lvbench,uniform16,500,0.43,-0.4874765769854621,0.025125,0.99999970532052,64.0,1.1202336220741271
internvl35_38b,nextgqa,aks_fixedk16,495,0.8404040404040404,3.961687024060377,0.2921717171717172,0.7732944076139507,64.0,1.12014721041978
internvl35_38b,nextgqa,bolt_its16,495,0.8424242424242424,4.125086661021821,0.2741161616161616,0.8646487292227685,64.0,1.1191853677383576
internvl35_38b,nextgqa,dino_change16,495,0.8161616161616162,3.743165231701153,0.2517676767676767,0.7388232089934816,64.0,1.1190121954137628
internvl35_38b,nextgqa,dino_diversity16,495,0.8222222222222222,3.7875626171340304,0.2468434343434343,0.9252844943162704,64.0,1.1190816021928884
internvl35_38b,nextgqa,random16,495,0.8323232323232324,4.005308683374234,0.2390151515151515,0.907423984390837,64.0,1.119119230424515
internvl35_38b,nextgqa,siglip_dino_submodular16,495,0.8343434343434344,3.9592262351908905,0.2744949494949495,0.8996321907433125,64.0,1.119551467413854
internvl35_38b,nextgqa,siglip_relevance16,495,0.8404040404040404,3.961687024060377,0.2921717171717172,0.7732944076139507,64.0,1.1191285566850142
internvl35_38b,nextgqa,uniform16,495,0.8363636363636363,3.961040537988177,0.2306818181818181,0.9999652556383334,64.0,1.119397412887727
internvl35_8b,herbench,aks_fixedk16,500,0.446,-0.7858693962469697,0.02725,0.8410125765721536,64.0,0.2071088643074035
internvl35_8b,herbench,bolt_its16,500,0.464,-0.7678949303785338,0.0295,0.867393349281195,64.0,0.2059927687644958
internvl35_8b,herbench,dino_change16,500,0.412,-0.8799045711713843,0.034375,0.8711710952328997,64.0,0.2060113563537597
internvl35_8b,herbench,dino_diversity16,500,0.438,-0.9043785023707896,0.026875,0.934948666108637,64.0,0.2059685263633728
internvl35_8b,herbench,random16,500,0.446,-0.8140675345202908,0.028125,0.9079963228305048,64.0,0.2059115719795227
internvl35_8b,herbench,siglip_dino_submodular16,500,0.418,-0.9120508822537958,0.024375,0.9047266067663096,64.0,0.2060651607513427
internvl35_8b,herbench,siglip_relevance16,500,0.446,-0.7858693962469697,0.02725,0.8410125765721536,64.0,0.2061131148338318
internvl35_8b,herbench,uniform16,500,0.456,-0.8723028072593734,0.019625,0.9999959481990204,64.0,0.2060763158798217
internvl35_8b,lvbench,aks_fixedk16,500,0.38,-0.5970583480992118,0.02875,0.8810156137435434,64.0,0.2024624729156494
internvl35_8b,lvbench,bolt_its16,500,0.394,-0.6203014589035675,0.0245,0.8760949800058926,64.0,0.2014165735244751
internvl35_8b,lvbench,dino_change16,500,0.372,-0.7023812916163802,0.027375,0.8792378345772913,64.0,0.2014585871696472
internvl35_8b,lvbench,dino_diversity16,500,0.352,-0.8355328283129165,0.032375,0.95577749605643,64.0,0.2014482889175415
internvl35_8b,lvbench,random16,500,0.354,-0.7961854529224438,0.0265,0.9096505250686434,64.0,0.2014351725578308
internvl35_8b,lvbench,siglip_dino_submodular16,500,0.376,-0.6128320113232312,0.026625,0.92425369617196,64.0,0.2015353584289551
internvl35_8b,lvbench,siglip_relevance16,500,0.38,-0.5970583480992118,0.02875,0.8810156137435434,64.0,0.2015160498619079
internvl35_8b,lvbench,uniform16,500,0.374,-0.7641930992824482,0.025125,0.99999970532052,64.0,0.2014592261314392
internvl35_8b,nextgqa,aks_fixedk16,495,0.7838383838383839,3.181141695233776,0.2921717171717172,0.7732944076139507,64.0,0.2018823161269679
internvl35_8b,nextgqa,bolt_its16,495,0.8141414141414142,3.177064277300645,0.2741161616161616,0.8646487292227685,64.0,0.2010053273403283
internvl35_8b,nextgqa,dino_change16,495,0.804040404040404,3.0315038326259858,0.2517676767676767,0.7388232089934816,64.0,0.2010344770219591
internvl35_8b,nextgqa,dino_diversity16,495,0.8,3.0518245111027755,0.2468434343434343,0.9252844943162704,64.0,0.2010733551449245
internvl35_8b,nextgqa,random16,495,0.802020202020202,3.0832004269844915,0.2390151515151515,0.907423984390837,64.0,0.20101211865743
internvl35_8b,nextgqa,siglip_dino_submodular16,495,0.804040404040404,3.146283522909429,0.2744949494949495,0.8996321907433125,64.0,0.2010631879170735
internvl35_8b,nextgqa,siglip_relevance16,495,0.7838383838383839,3.181141695233776,0.2921717171717172,0.7732944076139507,64.0,0.2010910732577545
internvl35_8b,nextgqa,uniform16,495,0.8080808080808081,3.0801744982011887,0.2306818181818181,0.9999652556383334,64.0,0.2010706390997376
perception_lm_8b,herbench,aks_fixedk16,500,0.366,-1.4544631659041625,0.02725,0.8410125765721536,64.0,0.7360697526931763
perception_lm_8b,herbench,bolt_its16,500,0.354,-1.4269988538109464,0.0295,0.867393349281195,64.0,0.734853111743927
perception_lm_8b,herbench,dino_change16,500,0.36,-1.3780351165365428,0.034375,0.8711710952328997,64.0,0.7347957057952881
perception_lm_8b,herbench,dino_diversity16,500,0.366,-1.2392319853474618,0.026875,0.934948666108637,64.0,0.7350358872413635
perception_lm_8b,herbench,random16,500,0.372,-1.325758370240219,0.028125,0.9079963228305048,64.0,0.7352950978279114
perception_lm_8b,herbench,siglip_dino_submodular16,500,0.378,-1.3403762304314877,0.024375,0.9047266067663096,64.0,0.735283664226532
perception_lm_8b,herbench,siglip_relevance16,500,0.366,-1.4544631659041625,0.02725,0.8410125765721536,64.0,0.7353492813110352
perception_lm_8b,herbench,uniform16,500,0.354,-1.329054271720408,0.019625,0.9999959481990204,64.0,0.7354007639884949
perception_lm_8b,lvbench,aks_fixedk16,500,0.428,-0.6309770664344005,0.02875,0.8810156137435434,64.0,0.7122262105941772
perception_lm_8b,lvbench,bolt_its16,500,0.396,-0.7268210083289804,0.0245,0.8760949800058926,64.0,0.7111602954864502
perception_lm_8b,lvbench,dino_change16,500,0.36,-0.8506981492450368,0.027375,0.8792378345772913,64.0,0.7112252883911133
perception_lm_8b,lvbench,dino_diversity16,500,0.364,-0.8986460228481783,0.032375,0.95577749605643,64.0,0.711351306438446
perception_lm_8b,lvbench,random16,500,0.39,-0.7919149998035792,0.0265,0.9096505250686434,64.0,0.7113382964134216
perception_lm_8b,lvbench,siglip_dino_submodular16,500,0.41,-0.7224093486528718,0.026625,0.92425369617196,64.0,0.7114757037162781
perception_lm_8b,lvbench,siglip_relevance16,500,0.428,-0.6309770664344005,0.02875,0.8810156137435434,64.0,0.7113913407325745
perception_lm_8b,lvbench,uniform16,500,0.396,-0.8662220446743913,0.025125,0.99999970532052,64.0,0.7113554306030273
perception_lm_8b,nextgqa,aks_fixedk16,495,0.7717171717171717,3.716729256397848,0.2921717171717172,0.7732944076139507,64.0,0.7173749148243606
perception_lm_8b,nextgqa,bolt_its16,495,0.7717171717171717,3.861182932216725,0.2741161616161616,0.8646487292227685,64.0,0.7161975846146093
perception_lm_8b,nextgqa,dino_change16,495,0.7616161616161616,3.5735912402523806,0.2517676767676767,0.7388232089934816,64.0,0.7162684021574078
perception_lm_8b,nextgqa,dino_diversity16,495,0.7858585858585858,3.7519779021544406,0.2468434343434343,0.9252844943162704,64.0,0.7162729846106635
perception_lm_8b,nextgqa,random16,495,0.7535353535353535,3.687626214014991,0.2390151515151515,0.907423984390837,64.0,0.7162481221285734
perception_lm_8b,nextgqa,siglip_dino_submodular16,495,0.7616161616161616,3.85085040556765,0.2744949494949495,0.8996321907433125,64.0,0.7163023442933054
perception_lm_8b,nextgqa,siglip_relevance16,495,0.7717171717171717,3.716729256397848,0.2921717171717172,0.7732944076139507,64.0,0.7163818807312936
perception_lm_8b,nextgqa,uniform16,495,0.7717171717171717,3.7985641420896648,0.2306818181818181,0.9999652556383334,64.0,0.7161447751401651
qwen3_vl_32b,herbench,aks_fixedk16,500,0.514,-0.2975487866047873,0.02725,0.8410125765721536,64.0,0.5440836515426636
qwen3_vl_32b,herbench,bolt_its16,500,0.524,-0.2404550558927279,0.0295,0.867393349281195,64.0,0.5428148646354676
qwen3_vl_32b,herbench,dino_change16,500,0.486,-0.5512916994533514,0.034375,0.8711710952328997,64.0,0.5430872745513916
qwen3_vl_32b,herbench,dino_diversity16,500,0.528,-0.2341864949502483,0.026875,0.934948666108637,64.0,0.5437392454147338
qwen3_vl_32b,herbench,random16,500,0.5,-0.405950908135834,0.028125,0.9079963228305048,64.0,0.5437409439086914
qwen3_vl_32b,herbench,siglip_dino_submodular16,500,0.52,-0.1542385760022266,0.024375,0.9047266067663096,64.0,0.543906503200531
qwen3_vl_32b,herbench,siglip_relevance16,500,0.514,-0.2975487866047873,0.02725,0.8410125765721536,64.0,0.5439656276702881
qwen3_vl_32b,herbench,uniform16,500,0.528,-0.2817558482396137,0.019625,0.9999959481990204,64.0,0.5441080045700073
qwen3_vl_32b,lvbench,aks_fixedk16,500,0.478,-0.208394006704059,0.02875,0.8810156137435434,64.0,0.514053879737854
qwen3_vl_32b,lvbench,bolt_its16,500,0.468,-0.0935246632996911,0.0245,0.8760949800058926,64.0,0.51288516664505
qwen3_vl_32b,lvbench,dino_change16,500,0.43,-0.4254184630442767,0.027375,0.8792378345772913,64.0,0.5129904518127442
qwen3_vl_32b,lvbench,dino_diversity16,500,0.42,-0.5767955781140673,0.032375,0.95577749605643,64.0,0.5129545779228211
qwen3_vl_32b,lvbench,random16,500,0.426,-0.7954967374322631,0.0265,0.9096505250686434,64.0,0.5130278234481811
qwen3_vl_32b,lvbench,siglip_dino_submodular16,500,0.456,-0.0877046570320721,0.026625,0.92425369617196,64.0,0.5131889109611512
qwen3_vl_32b,lvbench,siglip_relevance16,500,0.478,-0.208394006704059,0.02875,0.8810156137435434,64.0,0.5130925245285034
qwen3_vl_32b,lvbench,uniform16,500,0.43,-0.6476101123812973,0.025125,0.99999970532052,64.0,0.5130749158859252
qwen3_vl_32b,nextgqa,aks_fixedk16,495,0.8121212121212121,6.985406443542181,0.2921717171717172,0.7732944076139507,64.0,0.5343841966956553
qwen3_vl_32b,nextgqa,bolt_its16,495,0.8363636363636363,7.412684035733956,0.2741161616161616,0.8646487292227685,64.0,0.5332193379450326
qwen3_vl_32b,nextgqa,dino_change16,495,0.8282828282828283,6.769905428183073,0.2517676767676767,0.7388232089934816,64.0,0.5336770173275109
qwen3_vl_32b,nextgqa,dino_diversity16,495,0.8343434343434344,7.078895897565892,0.2468434343434343,0.9252844943162704,64.0,0.5341643675409182
qwen3_vl_32b,nextgqa,random16,495,0.8242424242424242,7.025288321043537,0.2390151515151515,0.907423984390837,64.0,0.5343458604330968
qwen3_vl_32b,nextgqa,siglip_dino_submodular16,495,0.8464646464646465,7.306643859549581,0.2744949494949495,0.8996321907433125,64.0,0.5345573078502308
qwen3_vl_32b,nextgqa,siglip_relevance16,495,0.8121212121212121,6.985406443542181,0.2921717171717172,0.7732944076139507,64.0,0.5349029016013097
qwen3_vl_32b,nextgqa,uniform16,495,0.8282828282828283,7.0480335207981,0.2306818181818181,0.9999652556383334,64.0,0.5347058007211396
qwen3_vl_4b,herbench,aks_fixedk16,500,0.478,-0.726450514050055,0.02725,0.8410125765721536,64.0,0.155566159248352
qwen3_vl_4b,herbench,bolt_its16,500,0.496,-0.4591291417837178,0.0295,0.867393349281195,64.0,0.1546888418197632
qwen3_vl_4b,herbench,dino_change16,500,0.5,-0.6671680172492798,0.034375,0.8711710952328997,64.0,0.1543491554260254
qwen3_vl_4b,herbench,dino_diversity16,500,0.524,-0.3198506265392684,0.026875,0.934948666108637,64.0,0.1541136274337768
qwen3_vl_4b,herbench,random16,500,0.494,-0.6180442985902209,0.028125,0.9079963228305048,64.0,0.1546431422233581
qwen3_vl_4b,herbench,siglip_dino_submodular16,500,0.492,-0.4522292058163329,0.024375,0.9047266067663096,64.0,0.1548793497085571
qwen3_vl_4b,herbench,siglip_relevance16,500,0.478,-0.726450514050055,0.02725,0.8410125765721536,64.0,0.1547016239166259
qwen3_vl_4b,herbench,uniform16,500,0.502,-0.5542182157391079,0.019625,0.9999959481990204,64.0,0.1547167377471923
qwen3_vl_4b,lvbench,aks_fixedk16,500,0.392,-0.7220903440486898,0.02875,0.8810156137435434,64.0,0.148309058189392
qwen3_vl_4b,lvbench,bolt_its16,500,0.404,-0.651753124555971,0.0245,0.8760949800058926,64.0,0.1475404934883117
qwen3_vl_4b,lvbench,dino_change16,500,0.394,-0.6409389533272666,0.027375,0.8792378345772913,64.0,0.147766345500946
qwen3_vl_4b,lvbench,dino_diversity16,500,0.346,-0.9902881439779334,0.032375,0.95577749605643,64.0,0.148197956085205
qwen3_vl_4b,lvbench,random16,500,0.352,-1.015056646797534,0.0265,0.9096505250686434,64.0,0.148473865032196
qwen3_vl_4b,lvbench,siglip_dino_submodular16,500,0.402,-0.6054449334774745,0.026625,0.92425369617196,64.0,0.1486311526298523
qwen3_vl_4b,lvbench,siglip_relevance16,500,0.392,-0.7220903440486898,0.02875,0.8810156137435434,64.0,0.1486578340530395
qwen3_vl_4b,lvbench,uniform16,500,0.372,-0.9097507829014336,0.025125,0.99999970532052,64.0,0.1487035665512085
qwen3_vl_4b,nextgqa,aks_fixedk16,495,0.7636363636363637,4.937299776148197,0.2921717171717172,0.7732944076139507,64.0,0.1545540222013839
qwen3_vl_4b,nextgqa,bolt_its16,495,0.7696969696969697,5.173682244967181,0.2741161616161616,0.8646487292227685,64.0,0.1523594336076216
qwen3_vl_4b,nextgqa,dino_change16,495,0.7535353535353535,4.796627479854446,0.2517676767676767,0.7388232089934816,64.0,0.1525520921957613
qwen3_vl_4b,nextgqa,dino_diversity16,495,0.7696969696969697,5.052005061932176,0.2468434343434343,0.9252844943162704,64.0,0.1527983790696269
qwen3_vl_4b,nextgqa,random16,495,0.7616161616161616,5.090860324668732,0.2390151515151515,0.907423984390837,64.0,0.1530813544687598
qwen3_vl_4b,nextgqa,siglip_dino_submodular16,495,0.7656565656565657,5.151767936312702,0.2744949494949495,0.8996321907433125,64.0,0.1525416167095454
qwen3_vl_4b,nextgqa,siglip_relevance16,495,0.7636363636363637,4.937299776148197,0.2921717171717172,0.7732944076139507,64.0,0.1526305935599587
qwen3_vl_4b,nextgqa,uniform16,495,0.7656565656565657,4.900058026663952,0.2306818181818181,0.9999652556383334,64.0,0.152551782974089
videollama3_7b,herbench,aks_fixedk16,500,0.298,-1.4629201290607452,0.02725,0.8410125765721536,64.0,1.6865674600601197
videollama3_7b,herbench,bolt_its16,500,0.288,-1.464851022899151,0.0295,0.867393349281195,64.0,1.6857838206291198
videollama3_7b,herbench,dino_change16,500,0.292,-1.4445315015912057,0.034375,0.8711710952328997,64.0,1.6857080540657043
videollama3_7b,herbench,dino_diversity16,500,0.284,-1.4624860061705112,0.026875,0.934948666108637,64.0,1.6860569639205931
videollama3_7b,herbench,random16,500,0.284,-1.4673312878012656,0.028125,0.9079963228305048,64.0,1.6858331189155578
videollama3_7b,herbench,siglip_dino_submodular16,500,0.276,-1.4761239013075829,0.024375,0.9047266067663096,64.0,1.6857643127441406
videollama3_7b,herbench,siglip_relevance16,500,0.298,-1.4629201290607452,0.02725,0.8410125765721536,64.0,1.6856903290748595
videollama3_7b,herbench,uniform16,500,0.28,-1.4583392148315906,0.019625,0.9999959481990204,64.0,1.685423342227936
videollama3_7b,lvbench,aks_fixedk16,500,0.31,-1.225477633178234,0.02875,0.8810156137435434,64.0,1.6517568936347962
videollama3_7b,lvbench,bolt_its16,500,0.324,-1.2148611143752932,0.0245,0.8760949800058926,64.0,1.6507095770835876
videollama3_7b,lvbench,dino_change16,500,0.288,-1.2280506515204908,0.027375,0.8792378345772913,64.0,1.650355830669403
videollama3_7b,lvbench,dino_diversity16,500,0.298,-1.2545478049069645,0.032375,0.95577749605643,64.0,1.650577275276184
videollama3_7b,lvbench,random16,500,0.296,-1.2414078777581454,0.0265,0.9096505250686434,64.0,1.65061070394516
videollama3_7b,lvbench,siglip_dino_submodular16,500,0.308,-1.219167953044176,0.026625,0.92425369617196,64.0,1.6505396876335143
videollama3_7b,lvbench,siglip_relevance16,500,0.31,-1.225477633178234,0.02875,0.8810156137435434,64.0,1.6507442955970764
