model,benchmark,best_logodds_selectors,best_mean_logodds,best_accuracy,best_recall_selectors,best_evidence_recall_at_k,recall_winner_overlaps_logodds_winner
internvl35_38b,herbench,aks_fixedk16|siglip_relevance16,-0.4549824049995513,0.536,dino_change16,0.034375,False
internvl35_38b,lvbench,siglip_dino_submodular16,-0.341117079068531,0.452,dino_diversity16,0.032375,False
internvl35_38b,nextgqa,bolt_its16,4.125086661021821,0.8424242424242424,aks_fixedk16|siglip_relevance16,0.2921717171717172,False
internvl35_8b,herbench,bolt_its16,-0.7678949303785338,0.464,dino_change16,0.034375,False
internvl35_8b,lvbench,aks_fixedk16|siglip_relevance16,-0.5970583480992118,0.38,dino_diversity16,0.032375,False
internvl35_8b,nextgqa,aks_fixedk16|siglip_relevance16,3.181141695233776,0.7838383838383839,aks_fixedk16|siglip_relevance16,0.2921717171717172,True
perception_lm_8b,herbench,dino_diversity16,-1.2392319853474618,0.366,dino_change16,0.034375,False
perception_lm_8b,lvbench,aks_fixedk16|siglip_relevance16,-0.6309770664344005,0.428,dino_diversity16,0.032375,False
perception_lm_8b,nextgqa,bolt_its16,3.861182932216725,0.7717171717171717,aks_fixedk16|siglip_relevance16,0.2921717171717172,False
qwen3_vl_32b,herbench,siglip_dino_submodular16,-0.1542385760022266,0.52,dino_change16,0.034375,False
qwen3_vl_32b,lvbench,siglip_dino_submodular16,-0.0877046570320721,0.456,dino_diversity16,0.032375,False
qwen3_vl_32b,nextgqa,bolt_its16,7.412684035733956,0.8363636363636363,aks_fixedk16|siglip_relevance16,0.2921717171717172,False
qwen3_vl_4b,herbench,dino_diversity16,-0.3198506265392684,0.524,dino_change16,0.034375,False
qwen3_vl_4b,lvbench,siglip_dino_submodular16,-0.6054449334774745,0.402,dino_diversity16,0.032375,False
qwen3_vl_4b,nextgqa,bolt_its16,5.173682244967181,0.7696969696969697,aks_fixedk16|siglip_relevance16,0.2921717171717172,False
videollama3_7b,herbench,dino_change16,-1.4445315015912057,0.292,dino_change16,0.034375,True
videollama3_7b,lvbench,uniform16,-1.2108220595195889,0.312,dino_diversity16,0.032375,False
videollama3_7b,nextgqa,bolt_its16,-0.4039185623751219,0.5737373737373738,aks_fixedk16|siglip_relevance16,0.2921717171717172,False
