model,benchmark,condition,items,accuracy,mean_logodds,evidence_recall_at_k,temporal_coverage,charged_candidate_frames,mean_seconds,logodds_rank,accuracy_rank
internvl35_38b,herbench,aks_fixedk8,1971,0.4926433282597666,-0.1243052009466399,0.0227168949771689,0.7203208688075747,64.0,0.5911161790699719,3.0,4.0
internvl35_38b,herbench,bolt_its8,1971,0.4982242516489091,-0.1196136568800728,0.0213470319634703,0.7481124532755875,64.0,0.5911028761358083,1.0,1.0
internvl35_38b,herbench,dino_change8,1971,0.4779299847792998,-0.2343414271510124,0.030593607305936,0.6253735984154533,64.0,0.5911104353716505,8.0,8.0
internvl35_38b,herbench,dino_diversity8,1971,0.495687468290208,-0.1439630616334385,0.0207762557077625,0.8717134172657633,64.0,0.5911218414809848,6.0,3.0
internvl35_38b,herbench,random8,1971,0.4961948249619482,-0.135879308076235,0.0244292237442922,0.8014409623047865,64.0,0.5911565429362351,5.0,2.0
internvl35_38b,herbench,siglip_dino_submodular8,1971,0.4895991882293252,-0.1207225265287233,0.0248858447488584,0.7915517058917059,64.0,0.591201831942461,2.0,7.0
internvl35_38b,herbench,siglip_relevance8,1971,0.4926433282597666,-0.1243052009466399,0.0227168949771689,0.7203208688075747,64.0,0.5910905712694762,3.0,4.0
internvl35_38b,herbench,uniform8,1971,0.4901065449010654,-0.1544851596942142,0.0184931506849315,0.9999932425710246,64.0,0.5911838641812631,7.0,6.0
internvl35_38b,lvbench,aks_fixedk8,1549,0.4441575209812782,-0.3469054158916311,0.1942382182052937,0.7595271714807882,64.0,0.5772378055259749,2.0,2.0
internvl35_38b,lvbench,bolt_its8,1549,0.4228534538411879,-0.4099741908025154,0.1843124596513879,0.751165403565621,64.0,0.5770355303723094,4.0,4.0
internvl35_38b,lvbench,dino_change8,1549,0.3996126533247256,-0.5912860556677851,0.1968205293737895,0.759455434921056,64.0,0.5765312210523829,6.0,5.0
internvl35_38b,lvbench,dino_diversity8,1549,0.3905745642349903,-0.6401600873147175,0.1993221433182698,0.8764689424826209,64.0,0.5770858905637087,8.0,7.0
internvl35_38b,lvbench,random8,1549,0.3963847643641058,-0.5763087718036073,0.190848934796643,0.8037031232524444,64.0,0.5767927893213182,5.0,6.0
internvl35_38b,lvbench,siglip_dino_submodular8,1549,0.4499677211103938,-0.3133585628404102,0.1917366042608134,0.8216870708586227,64.0,0.576867649830719,1.0,1.0
internvl35_38b,lvbench,siglip_relevance8,1549,0.4441575209812782,-0.3469054158916311,0.1942382182052937,0.7595271714807882,64.0,0.5768992454486943,2.0,2.0
internvl35_38b,lvbench,uniform8,1549,0.3854099418979987,-0.6276760193625284,0.1793899289864428,0.999999703573411,64.0,0.576625765639786,7.0,8.0
internvl35_38b,nextgqa,aks_fixedk8,5482,0.7893104706311566,3.3619129409704462,0.2862094126231302,0.5976181917183356,64.0,0.5729684912780043,6.0,6.0
internvl35_38b,nextgqa,bolt_its8,5482,0.813206858810653,3.5781041014581816,0.2759485589201021,0.733573084288007,64.0,0.5729613548558544,1.0,1.0
internvl35_38b,nextgqa,dino_change8,5482,0.7849325063845312,3.154349480214547,0.2651860634804815,0.5362762664939361,64.0,0.5732248780154173,8.0,8.0
internvl35_38b,nextgqa,dino_diversity8,5482,0.8060926669098869,3.4738622003386417,0.2499771981028821,0.8420422612502233,64.0,0.5730652701284972,4.0,4.0
internvl35_38b,nextgqa,random8,5482,0.7989784750091208,3.4470956182560304,0.2606712878511492,0.8039653691676504,64.0,0.5722150215046634,5.0,5.0
internvl35_38b,nextgqa,siglip_dino_submodular8,5482,0.8130244436337103,3.516653480142115,0.2666453848960233,0.798319388464003,64.0,0.5729439240744061,3.0,2.0
internvl35_38b,nextgqa,siglip_relevance8,5482,0.7893104706311566,3.3619129409704462,0.2862094126231302,0.5976181917183356,64.0,0.5726463941708397,6.0,6.0
internvl35_38b,nextgqa,uniform8,5482,0.8101058008026267,3.563670533876253,0.2286574242977015,0.9999650866261828,64.0,0.5716587238962395,2.0,3.0
internvl35_38b,videomme,aks_fixedk8,2700,0.6177777777777778,1.6041604580477775,,0.6920951917962167,64.0,0.5763826665171871,3.0,4.0
internvl35_38b,videomme,bolt_its8,2700,0.6318518518518519,1.6648092138455626,,0.739460753321632,64.0,0.5760526204109192,2.0,1.0
