model,benchmark,best_logodds_selectors,best_mean_logodds,best_accuracy,best_recall_selectors,best_evidence_recall_at_k,recall_winner_overlaps_logodds_winner
internvl35_38b,herbench,bolt_its8,-0.1196136568800728,0.4982242516489091,dino_change8,0.030593607305936,False
internvl35_38b,lvbench,siglip_dino_submodular8,-0.3133585628404102,0.4499677211103938,dino_diversity8,0.1993221433182698,False
internvl35_38b,nextgqa,bolt_its8,3.5781041014581816,0.813206858810653,aks_fixedk8|siglip_relevance8,0.2862094126231302,False
internvl35_38b,videomme,siglip_dino_submodular8,1.672702514981345,0.6292592592592593,,,
internvl35_8b,herbench,aks_fixedk8|siglip_relevance8,-0.5398128679549122,0.4530695078640284,dino_change8,0.030593607305936,False
internvl35_8b,lvbench,siglip_dino_submodular8,-0.526699157899325,0.4015493867010974,dino_diversity8,0.1993221433182698,False
internvl35_8b,nextgqa,bolt_its8,2.775796657827841,0.777818314483765,aks_fixedk8|siglip_relevance8,0.2862094126231302,False
internvl35_8b,videomme,siglip_dino_submodular8,1.1891061025168077,0.5888888888888889,,,
perception_lm_8b,herbench,dino_diversity8,-1.064727611739694,0.3911719939117199,dino_change8,0.030593607305936,False
perception_lm_8b,lvbench,aks_fixedk8|siglip_relevance8,-0.6407723318199217,0.4092963202065849,dino_diversity8,0.1993221433182698,False
perception_lm_8b,nextgqa,bolt_its8,3.62502134783133,0.7750820868296242,aks_fixedk8|siglip_relevance8,0.2862094126231302,False
perception_lm_8b,videomme,bolt_its8,0.7308226868394051,0.5433333333333333,,,
qwen3_vl_32b,herbench,bolt_its8,0.1099848264703551,0.504312531709792,dino_change8,0.030593607305936,False
qwen3_vl_32b,lvbench,aks_fixedk8|siglip_relevance8,-0.2451364016913687,0.4215622982569399,dino_diversity8,0.1993221433182698,False
qwen3_vl_32b,nextgqa,bolt_its8,6.7239376207856285,0.8026267785479752,aks_fixedk8|siglip_relevance8,0.2862094126231302,False
qwen3_vl_32b,videomme,siglip_dino_submodular8,3.9308937861803095,0.63,,,
qwen3_vl_4b,herbench,siglip_dino_submodular8,-0.4535694477113885,0.493658041603247,dino_change8,0.030593607305936,False
qwen3_vl_4b,lvbench,siglip_dino_submodular8,-0.5391147779030872,0.4105874757908327,dino_diversity8,0.1993221433182698,False
qwen3_vl_4b,nextgqa,siglip_dino_submodular8,4.789737139756331,0.7499087924115286,aks_fixedk8|siglip_relevance8,0.2862094126231302,False
qwen3_vl_4b,videomme,siglip_dino_submodular8,2.2171802472548734,0.5774074074074074,,,
videollama3_7b,herbench,aks_fixedk8|siglip_relevance8,-1.0993003077138326,0.3764586504312531,dino_change8,0.030593607305936,False
videollama3_7b,lvbench,aks_fixedk8|siglip_relevance8,-1.2180723249052487,0.342156229825694,dino_diversity8,0.1993221433182698,False
videollama3_7b,nextgqa,bolt_its8,-0.0981461568421248,0.6154688070047428,aks_fixedk8|siglip_relevance8,0.2862094126231302,False
videollama3_7b,videomme,bolt_its8,-0.8138846606839689,0.4348148148148148,,,
