model,benchmark,proxy,candidates,items,spearman_pooled,mean_utility_recall_at_k,mean_pointwise_regret
internvl35_38b,herbench,siglip_relevance,4000,500,-0.0499475833296172,0.244,0.4198715587170639
internvl35_38b,herbench,dino_local_change,4000,500,-0.0686571472581543,0.238,0.4226125333508244
internvl35_38b,herbench,temporal_centrality,4000,500,-0.0664190091626362,0.223,0.4360925480408283
internvl35_38b,herbench,visual_spectral_saliency,4000,500,-0.0467839123039399,0.239,0.4174307563418988
internvl35_38b,herbench,annotated_membership,4000,500,0.061805501934319,0.359,0.3469345975666074
internvl35_38b,lvbench,siglip_relevance,4000,500,0.0863951271467938,0.363,0.6724947606798225
internvl35_38b,lvbench,dino_local_change,4000,500,-0.0022869613813163,0.209,1.0516405654307723
internvl35_38b,lvbench,temporal_centrality,4000,500,0.0486348711317044,0.195,1.0714100822721635
internvl35_38b,lvbench,visual_spectral_saliency,4000,500,0.0060626725986281,0.242,0.9976387404064172
internvl35_38b,lvbench,annotated_membership,4000,500,0.2013237563479898,0.446,0.4596161420856666
internvl35_8b,herbench,siglip_relevance,4000,500,-0.0250249772029934,0.239,0.4405463288885075
internvl35_8b,herbench,dino_local_change,4000,500,-0.0269709591678747,0.254,0.4178258123202782
internvl35_8b,herbench,temporal_centrality,4000,500,-0.0645183459677652,0.204,0.4405990240008298
internvl35_8b,herbench,visual_spectral_saliency,4000,500,-0.0262774632745157,0.252,0.4140591873239731
internvl35_8b,herbench,annotated_membership,4000,500,0.0118635003712904,0.325,0.4146783713930053
internvl35_8b,lvbench,siglip_relevance,4000,500,0.0767206833058315,0.341,0.7641349212690072
internvl35_8b,lvbench,dino_local_change,4000,500,-0.0219495444737038,0.229,1.179905674715889
internvl35_8b,lvbench,temporal_centrality,4000,500,0.0768705043233098,0.215,1.2122880298746024
internvl35_8b,lvbench,visual_spectral_saliency,4000,500,0.0124865162732605,0.253,1.1315333520037822
internvl35_8b,lvbench,annotated_membership,4000,500,0.1900850059579769,0.415,0.5215359200922262
perception_lm_8b,herbench,siglip_relevance,4000,500,-0.0376905780439845,0.225,0.546025168983763
perception_lm_8b,herbench,dino_local_change,4000,500,-0.012875222200979,0.236,0.5038507458133366
perception_lm_8b,herbench,temporal_centrality,4000,500,-0.0726732804507871,0.217,0.5366987055589755
perception_lm_8b,herbench,visual_spectral_saliency,4000,500,-0.0057706169318863,0.257,0.4918251851895233
perception_lm_8b,herbench,annotated_membership,4000,500,0.0649410020324504,0.357,0.3882184704469934
perception_lm_8b,lvbench,siglip_relevance,4000,500,0.0732288802399202,0.339,0.7156283883479538
perception_lm_8b,lvbench,dino_local_change,4000,500,0.0413500688150433,0.248,1.1451587452326055
perception_lm_8b,lvbench,temporal_centrality,4000,500,0.0426059778675592,0.222,1.1898091703060936
perception_lm_8b,lvbench,visual_spectral_saliency,4000,500,-0.0067340538744926,0.249,1.0577119175541216
perception_lm_8b,lvbench,annotated_membership,4000,500,0.1993835062400807,0.421,0.4616848876260506
qwen3_vl_32b,herbench,siglip_relevance,4000,500,-0.0121108031720746,0.272,0.9397235859181158
qwen3_vl_32b,herbench,dino_local_change,4000,500,0.0148770030672309,0.23,0.9351282920359628
qwen3_vl_32b,herbench,temporal_centrality,4000,500,-0.0620459647520623,0.215,1.0228893078532144
qwen3_vl_32b,herbench,visual_spectral_saliency,4000,500,0.0162364038239533,0.254,0.9237016042179752
qwen3_vl_32b,herbench,annotated_membership,4000,500,0.1181355036972721,0.405,0.6417043255820672
qwen3_vl_32b,lvbench,siglip_relevance,4000,500,0.1178897526236356,0.353,1.9950610053545408
qwen3_vl_32b,lvbench,dino_local_change,4000,500,-0.0040389411340995,0.215,3.0180427674632555
qwen3_vl_32b,lvbench,temporal_centrality,4000,500,0.0581692664708203,0.212,3.2771053842138533
qwen3_vl_32b,lvbench,visual_spectral_saliency,4000,500,0.0432590058574961,0.259,2.855411367281938
qwen3_vl_32b,lvbench,annotated_membership,4000,500,0.204087006377719,0.442,1.1992740124842234
qwen3_vl_4b,herbench,siglip_relevance,4000,500,0.0615457589009888,0.275,1.0886328237050371
qwen3_vl_4b,herbench,dino_local_change,4000,500,0.0616316159552684,0.246,1.0485662914946108
qwen3_vl_4b,herbench,temporal_centrality,4000,500,-0.0348411102134317,0.231,1.1249049922855698
qwen3_vl_4b,herbench,visual_spectral_saliency,4000,500,0.0325754925801999,0.267,1.0087613683541596
qwen3_vl_4b,herbench,annotated_membership,4000,500,0.0668645020926499,0.369,0.8377621885080148
qwen3_vl_4b,lvbench,siglip_relevance,4000,500,0.0580604003189965,0.331,1.4465474181708964
qwen3_vl_4b,lvbench,dino_local_change,4000,500,0.0007965755172479,0.236,2.0805850188289696
qwen3_vl_4b,lvbench,temporal_centrality,4000,500,0.0080457172633848,0.214,2.2796592554549733
qwen3_vl_4b,lvbench,visual_spectral_saliency,4000,500,0.0131780302290643,0.254,2.0773075958760248
qwen3_vl_4b,lvbench,annotated_membership,4000,500,0.1862005058187658,0.421,0.938335817210208
videollama3_7b,herbench,siglip_relevance,4000,500,0.0321332240097998,0.236,0.0863558433999617
videollama3_7b,herbench,dino_local_change,4000,500,0.0580070663852841,0.272,0.0820344779292742
videollama3_7b,herbench,temporal_centrality,4000,500,-0.0364049826661997,0.237,0.0808982167392969
videollama3_7b,herbench,visual_spectral_saliency,4000,500,-0.0321091020959822,0.26,0.0823918833831946
videollama3_7b,herbench,annotated_membership,4000,500,-0.0141485004428038,0.269,0.085869298569858
videollama3_7b,lvbench,siglip_relevance,4000,500,0.09893368106763,0.334,0.2185062038085113
videollama3_7b,lvbench,dino_local_change,4000,500,0.0136106428142539,0.234,0.3189648036379367
videollama3_7b,lvbench,temporal_centrality,4000,500,0.0368251058268355,0.233,0.3313668617149815
videollama3_7b,lvbench,visual_spectral_saliency,4000,500,-0.0098787920688553,0.266,0.3033061600060512
videollama3_7b,lvbench,annotated_membership,4000,500,0.1240052538809769,0.369,0.145793218656443
