model,benchmark,coverage_quartile,items,source_video_clusters,median_sampling_coverage,equal_video_gap,ci_low,ci_high
internvl35_38b,herbench,Q1,125,21,0.007096180395766217,0.23533280294211328,0.15770321994404413,0.3303533734009743
internvl35_38b,herbench,Q2,125,28,0.017824249288987067,0.24540286799046934,0.15251787825721388,0.3822673562975999
internvl35_38b,herbench,Q3,125,24,0.03084606345475918,0.22771379977765627,0.1361240853499089,0.3201784711577121
internvl35_38b,herbench,Q4,125,17,0.05811710610817752,0.19974659411424198,0.11697702178777106,0.29545407116500366
internvl35_38b,lvbench,Q1,125,59,0.0007505929684450715,1.246116204099742,0.9025916978458237,1.6434742633756865
internvl35_38b,lvbench,Q2,125,65,0.0022112391611045093,0.8133584058107391,0.5525185166723985,1.1231493889548017
internvl35_38b,lvbench,Q3,125,68,0.00825889131178454,0.40566261503774603,0.21728798203872202,0.6445588796708821
internvl35_38b,lvbench,Q4,125,70,0.04925861399044909,0.1628117333672725,0.10065370963296856,0.2306213194427979
internvl35_38b,nextgqa,Q1,125,113,0.06297134771842945,0.5571537165700537,0.37742754416966906,0.7496632989030009
internvl35_38b,nextgqa,Q2,125,117,0.11872677407482161,0.46182401856231536,0.3044174134996158,0.6365104253707404
internvl35_38b,nextgqa,Q3,125,115,0.21111948059394944,0.39011762934065697,0.2623683386581145,0.5296344970753766
internvl35_38b,nextgqa,Q4,125,112,0.4943310247320597,0.49773203498687657,0.3143848201327767,0.7069593040159399
internvl35_8b,herbench,Q1,125,21,0.007096180395766217,0.2532328137431503,0.17922615776776085,0.3376611423766583
internvl35_8b,herbench,Q2,125,28,0.017824249288987067,0.10881269023429696,0.05111405170950477,0.1677681521218072
internvl35_8b,herbench,Q3,125,24,0.03084606345475918,0.1588070191716758,0.09169065191919258,0.23597997535550985
internvl35_8b,herbench,Q4,125,17,0.05811710610817752,0.1893388615695335,0.10611497347711767,0.27186692270891166
internvl35_8b,lvbench,Q1,125,59,0.0007505929684450715,1.2550952516000762,0.8931419882855097,1.6656811171528025
internvl35_8b,lvbench,Q2,125,65,0.0022112391611045093,0.9573334132397796,0.6013086928203913,1.3820206514044964
internvl35_8b,lvbench,Q3,125,68,0.00825889131178454,0.419141392791166,0.24077228127683387,0.6379391930693948
internvl35_8b,lvbench,Q4,125,70,0.04925861399044909,0.16563042909644318,0.09993595993323856,0.23668697434093838
internvl35_8b,nextgqa,Q1,125,113,0.06297134771842945,0.3609914149744131,0.26365150409170957,0.4694632920827824
internvl35_8b,nextgqa,Q2,125,117,0.11872677407482161,0.35876259166147745,0.21857821637321107,0.5182921485872679
internvl35_8b,nextgqa,Q3,125,115,0.21111948059394944,0.301475696549214,0.17864008969285824,0.4401949863204472
internvl35_8b,nextgqa,Q4,125,112,0.4943310247320597,0.47633408560202434,0.3009066301868694,0.6797358376894803
perception_lm_8b,herbench,Q1,125,21,0.007096180395766217,0.33119677974132944,0.23156653821567108,0.44790597182458547
perception_lm_8b,herbench,Q2,125,28,0.017824249288987067,0.22918971201939478,0.11663326869085483,0.36221518113654755
perception_lm_8b,herbench,Q3,125,24,0.03084606345475918,0.2187505346776397,0.13971372877739638,0.3046198385900467
perception_lm_8b,herbench,Q4,125,17,0.05811710610817752,0.21425622718712697,0.1279416669430493,0.3005683979706968
perception_lm_8b,lvbench,Q1,125,59,0.0007505929684450715,1.2168671973061858,0.8772392123404588,1.6101966985902707
perception_lm_8b,lvbench,Q2,125,65,0.0022112391611045093,0.9459718684079106,0.6348042330161544,1.3462992856358114
perception_lm_8b,lvbench,Q3,125,68,0.00825889131178454,0.4335479771397312,0.24902177508858148,0.6550083859112164
perception_lm_8b,lvbench,Q4,125,70,0.04925861399044909,0.16006506240983484,0.07339359336264227,0.2619101213584006
perception_lm_8b,nextgqa,Q1,125,113,0.06297134771842945,0.4411037720110947,0.2909353986053233,0.6175454021498514
perception_lm_8b,nextgqa,Q2,125,117,0.11872677407482161,0.4225551613983056,0.24250466500497447,0.6256431146219343
perception_lm_8b,nextgqa,Q3,125,115,0.21111948059394944,0.3946783046764763,0.24339587267214957,0.5615942037362672
perception_lm_8b,nextgqa,Q4,125,112,0.4943310247320597,0.5220161056408038,0.3109591015247639,0.7738951129374878
qwen3_vl_32b,herbench,Q1,125,21,0.007096180395766217,0.4738560045419605,0.3536495782960899,0.5982364927214879
qwen3_vl_32b,herbench,Q2,125,28,0.017824249288987067,0.5829738961230949,0.3389881931786613,0.8999520263247865
qwen3_vl_32b,herbench,Q3,125,24,0.03084606345475918,0.6029637515818393,0.4135078022617869,0.7961859339518766
qwen3_vl_32b,herbench,Q4,125,17,0.05811710610817752,0.3503775833625995,0.19624662464700451,0.525974199778978
qwen3_vl_32b,lvbench,Q1,125,59,0.0007505929684450715,4.3132911935626375,3.368601714188632,5.347601231865095
qwen3_vl_32b,lvbench,Q2,125,65,0.0022112391611045093,2.6324114505615768,1.8015795324640889,3.640342182030321
qwen3_vl_32b,lvbench,Q3,125,68,0.00825889131178454,1.2097436588315114,0.7786081038981564,1.7094680105467621
qwen3_vl_32b,lvbench,Q4,125,70,0.04925861399044909,0.6766876776847042,0.43766399689236857,0.9639596945541635
qwen3_vl_32b,nextgqa,Q1,125,113,0.06297134771842945,0.9610334593373432,0.6856064619375821,1.27784309914404
qwen3_vl_32b,nextgqa,Q2,125,117,0.11872677407482161,1.0782973611456486,0.7625085923773213,1.4232701837721202
qwen3_vl_32b,nextgqa,Q3,125,115,0.21111948059394944,0.841692430610992,0.49054915792688,1.2387607822499642
qwen3_vl_32b,nextgqa,Q4,125,112,0.4943310247320597,1.0054112808056224,0.7081158896295425,1.3408860501057807
qwen3_vl_4b,herbench,Q1,125,21,0.007096180395766217,0.5674503862228842,0.3659677068930114,0.7842742284436562
qwen3_vl_4b,herbench,Q2,125,28,0.017824249288987067,0.4640514611074658,0.2457666457622063,0.7475639776436888
qwen3_vl_4b,herbench,Q3,125,24,0.03084606345475918,0.4700549312518321,0.2710888930146564,0.6996787555107041
qwen3_vl_4b,herbench,Q4,125,17,0.05811710610817752,0.5163440700838615,0.3572230162456332,0.6898239490159689
qwen3_vl_4b,lvbench,Q1,125,59,0.0007505929684450715,2.9459219741436704,2.2565471780865627,3.6884385645547497
qwen3_vl_4b,lvbench,Q2,125,65,0.0022112391611045093,2.0090552417846244,1.4535734526942181,2.6682609267057162
qwen3_vl_4b,lvbench,Q3,125,68,0.00825889131178454,1.1613519007217175,0.7292718570982097,1.6622797692674054
qwen3_vl_4b,lvbench,Q4,125,70,0.04925861399044909,0.359101786568666,0.22956780828337117,0.5059435652070957
qwen3_vl_4b,nextgqa,Q1,125,113,0.06297134771842945,0.9454696949396946,0.7194535233765832,1.1868416843323897
qwen3_vl_4b,nextgqa,Q2,125,117,0.11872677407482161,1.099165684959518,0.704913294941376,1.531239678210188
qwen3_vl_4b,nextgqa,Q3,125,115,0.21111948059394944,0.8035910358594726,0.5051937512834007,1.1546794294765386
qwen3_vl_4b,nextgqa,Q4,125,112,0.4943310247320597,0.9633774514106317,0.6540005083579805,1.3185944566742505
videollama3_7b,herbench,Q1,125,21,0.007096180395766217,0.02953428995931581,0.012427263747836603,0.04994086839328574
videollama3_7b,herbench,Q2,125,28,0.017824249288987067,0.026760288531806394,0.007782494497755775,0.04699781965768459
videollama3_7b,herbench,Q3,125,24,0.03084606345475918,0.021968345866746588,0.003952811703657653,0.04402940163110809
videollama3_7b,herbench,Q4,125,17,0.05811710610817752,0.035006595312329726,0.010726114296108579,0.07102456320345328
videollama3_7b,lvbench,Q1,125,59,0.0007505929684450715,0.5121048146658866,0.37297408558777306,0.670119003997984
videollama3_7b,lvbench,Q2,125,65,0.0022112391611045093,0.2796308593488593,0.19253053859349054,0.3799221451543709
videollama3_7b,lvbench,Q3,125,68,0.00825889131178454,0.1431256077080369,0.07252029272337714,0.22388138371145386
videollama3_7b,lvbench,Q4,125,70,0.04925861399044909,0.07167760284292321,0.02726968968998168,0.12209447177231955
videollama3_7b,nextgqa,Q1,125,113,0.06297134771842945,0.08399531995784218,0.047016704985652136,0.12610823712091904
videollama3_7b,nextgqa,Q2,125,117,0.11872677407482161,0.07298559435985537,0.033068558163251036,0.11815373028676288
videollama3_7b,nextgqa,Q3,125,115,0.21111948059394944,0.09735357921102628,0.04882314745440251,0.1567907089207564
videollama3_7b,nextgqa,Q4,125,112,0.4943310247320597,0.1031102908055468,0.06587169135534732,0.14542922486248747
