model,benchmark,maximum_sampling_coverage,items,source_video_clusters,equal_video_gap,ci_low,ci_high
internvl35_38b,herbench,0.1,490,49,0.2650865958115372,0.21404269812403656,0.32372915234820127
internvl35_38b,herbench,0.25,500,49,0.26191540926341944,0.21237965173039686,0.3181397331194426
internvl35_38b,herbench,0.5,500,49,0.26191540926341944,0.21267931907654508,0.31811853999007544
internvl35_38b,herbench,1.0,500,49,0.26191540926341944,0.21147288329292005,0.3176010217284231
internvl35_38b,lvbench,0.1,457,103,0.7391141150091569,0.596017255598551,0.8960709320500503
internvl35_38b,lvbench,0.25,471,103,0.7084044423807616,0.5759753879187598,0.8470538131095449
internvl35_38b,lvbench,0.5,481,103,0.7007742619225126,0.5660366173994645,0.8396452061375362
internvl35_38b,lvbench,1.0,500,103,0.684295066227474,0.5529442491807391,0.827093978679193
internvl35_38b,nextgqa,0.1,149,132,0.5153458722743796,0.36879922218482447,0.6758489719738894
internvl35_38b,nextgqa,0.25,345,286,0.4742889404300746,0.37517165824038357,0.5784808573103244
internvl35_38b,nextgqa,0.5,440,345,0.4643752518488292,0.3771751462247126,0.5553051512273418
internvl35_38b,nextgqa,1.0,500,384,0.4743667843883901,0.3873060820260394,0.5636030960225806
internvl35_8b,herbench,0.1,490,49,0.20725741150009674,0.1662505115952254,0.25339038580226986
internvl35_8b,herbench,0.25,500,49,0.20463654521365582,0.16454790735841987,0.2507033498519162
internvl35_8b,herbench,0.5,500,49,0.20463654521365582,0.163824320112208,0.2503923858585798
internvl35_8b,herbench,1.0,500,49,0.20463654521365582,0.1645309606794977,0.2497594639460249
internvl35_8b,lvbench,0.1,457,103,0.8172448221808251,0.6377864836075913,1.0255749227292785
internvl35_8b,lvbench,0.25,471,103,0.773785258844856,0.6159094233303739,0.9468276429995867
internvl35_8b,lvbench,0.5,481,103,0.7598093479499107,0.6024725115978979,0.9352540985945702
internvl35_8b,lvbench,1.0,500,103,0.7365071602927543,0.5802133993589678,0.9074367199800386
internvl35_8b,nextgqa,0.1,149,132,0.36908713282927735,0.26688965625596434,0.4828777248869768
internvl35_8b,nextgqa,0.25,345,286,0.3594529257301234,0.2828185624523562,0.4411041990984828
internvl35_8b,nextgqa,0.5,440,345,0.3426698852883899,0.27474878776095363,0.4135013910957986
internvl35_8b,nextgqa,1.0,500,384,0.37480160527233447,0.3032077432137179,0.45398315652966575
perception_lm_8b,herbench,0.1,490,49,0.2559117506109535,0.20267292393909064,0.3180121149166398
perception_lm_8b,herbench,0.25,500,49,0.2523201913873312,0.20016759394084743,0.3148825086524226
perception_lm_8b,herbench,0.5,500,49,0.2523201913873312,0.19965739555945913,0.3138538420897183
perception_lm_8b,herbench,1.0,500,49,0.2523201913873312,0.19920442260877952,0.3136623510564396
perception_lm_8b,lvbench,0.1,457,103,0.7895431530921485,0.6350712847262568,0.9614374719109844
perception_lm_8b,lvbench,0.25,471,103,0.7696295109758978,0.6149095728684736,0.9405588834369042
perception_lm_8b,lvbench,0.5,481,103,0.7601171360473209,0.6083575367502102,0.9252639706493635
perception_lm_8b,lvbench,1.0,500,103,0.7387685211099061,0.5855120731560791,0.9032951157723662
perception_lm_8b,nextgqa,0.1,149,132,0.45989382619346614,0.31396585322097925,0.6286851402203932
perception_lm_8b,nextgqa,0.25,345,286,0.43601712649760843,0.33369487878443177,0.54644583232823
perception_lm_8b,nextgqa,0.5,440,345,0.4098671597801979,0.32569919871456315,0.501627553084058
perception_lm_8b,nextgqa,1.0,500,384,0.43794715418534375,0.3485406582887074,0.5335306042209975
qwen3_vl_32b,herbench,0.1,490,49,0.5768454529647524,0.48691338499536607,0.6659872130858921
qwen3_vl_32b,herbench,0.25,500,49,0.5684823142057746,0.48401183525603086,0.6590232938321502
qwen3_vl_32b,herbench,0.5,500,49,0.5684823142057746,0.4800888901729723,0.6602608609173158
qwen3_vl_32b,herbench,1.0,500,49,0.5684823142057746,0.4809739298125528,0.6595062679997098
