model,benchmark,pair_type,records,source_videos,positive_complementarity,joint_worse_than_best_singleton,both_help_but_joint_worse,complementary_rescue,destructive_interference,both_singletons_correct_joint_wrong,mean_joint_penalty_vs_best
internvl35_38b,herbench,boundary_outside,1500,49,0.49266666666666664,0.726,0.10933333333333334,0.01,0.07333333333333333,0.012666666666666666,0.24076045891133738
internvl35_38b,herbench,evidence_boundary,1500,49,0.5126666666666667,0.7406666666666667,0.12333333333333334,0.012666666666666666,0.09666666666666666,0.014,0.4019636061107546
internvl35_38b,herbench,evidence_evidence,1500,49,0.5326666666666666,0.702,0.114,0.025333333333333333,0.10266666666666667,0.012,0.4207612563367002
internvl35_38b,herbench,evidence_outside,1500,49,0.488,0.7426666666666667,0.11,0.014,0.09466666666666666,0.013333333333333334,0.41086915174200356
internvl35_38b,herbench,outside_outside,1500,49,0.508,0.7246666666666667,0.104,0.012,0.06533333333333333,0.013333333333333334,0.23290153255975263
internvl35_38b,lvbench,boundary_outside,1500,103,0.5173333333333333,0.6833333333333333,0.112,0.016666666666666666,0.05266666666666667,0.008,0.22320995672109484
internvl35_38b,lvbench,evidence_boundary,1500,103,0.4673333333333333,0.58,0.14266666666666666,0.024,0.05733333333333333,0.008,0.11201732657388554
internvl35_38b,lvbench,evidence_evidence,1500,103,0.42933333333333334,0.522,0.15,0.014666666666666666,0.044,0.008666666666666666,0.03538058761003549
internvl35_38b,lvbench,evidence_outside,1500,103,0.5233333333333333,0.64,0.11466666666666667,0.013333333333333334,0.05266666666666667,0.006,0.21494437227778704
internvl35_38b,lvbench,outside_outside,1500,103,0.5186666666666667,0.712,0.08933333333333333,0.007333333333333333,0.051333333333333335,0.008,0.24065447334751494
internvl35_38b,nextgqa,boundary_outside,1500,384,0.512,0.7233333333333334,0.11266666666666666,0.0033333333333333335,0.04466666666666667,0.007333333333333333,0.5080494354022435
internvl35_38b,nextgqa,evidence_boundary,1500,384,0.5,0.6646666666666666,0.136,0.004,0.036,0.008,0.3525591473428235
internvl35_38b,nextgqa,evidence_evidence,1500,384,0.43333333333333335,0.62,0.16866666666666666,0.009333333333333334,0.03,0.007333333333333333,0.22950831066162247
internvl35_38b,nextgqa,evidence_outside,1500,384,0.5206666666666667,0.6853333333333333,0.114,0.004666666666666667,0.03933333333333333,0.01,0.42735830174832046
internvl35_38b,nextgqa,outside_outside,1500,384,0.486,0.7213333333333334,0.10133333333333333,0.006666666666666667,0.04533333333333334,0.01,0.432918506611476
internvl35_8b,herbench,boundary_outside,1500,49,0.5,0.726,0.1,0.017333333333333333,0.072,0.009333333333333334,0.2986748099324013
internvl35_8b,herbench,evidence_boundary,1500,49,0.482,0.758,0.118,0.017333333333333333,0.098,0.016666666666666666,0.41031394651042985
internvl35_8b,herbench,evidence_evidence,1500,49,0.5046666666666667,0.7246666666666667,0.114,0.021333333333333333,0.11866666666666667,0.022,0.5023990222478946
internvl35_8b,herbench,evidence_outside,1500,49,0.49466666666666664,0.742,0.09066666666666667,0.014,0.09866666666666667,0.010666666666666666,0.4279322618454074
internvl35_8b,herbench,outside_outside,1500,49,0.49466666666666664,0.742,0.10466666666666667,0.015333333333333332,0.082,0.012,0.29397897648850146
internvl35_8b,lvbench,boundary_outside,1500,103,0.472,0.694,0.11866666666666667,0.016666666666666666,0.06266666666666666,0.012666666666666666,0.2907402706556852
internvl35_8b,lvbench,evidence_boundary,1500,103,0.468,0.604,0.13733333333333334,0.019333333333333334,0.051333333333333335,0.008,0.15913231794041902
internvl35_8b,lvbench,evidence_evidence,1500,103,0.41733333333333333,0.572,0.15666666666666668,0.018666666666666668,0.04533333333333334,0.006666666666666667,0.0733760769204116
internvl35_8b,lvbench,evidence_outside,1500,103,0.488,0.6593333333333333,0.12866666666666668,0.022,0.05333333333333334,0.01,0.258183428349798
internvl35_8b,lvbench,outside_outside,1500,103,0.488,0.71,0.11,0.008,0.056666666666666664,0.007333333333333333,0.27979891924405265
internvl35_8b,nextgqa,boundary_outside,1500,384,0.524,0.7433333333333333,0.106,0.008666666666666666,0.056666666666666664,0.01,0.5038504896746839
internvl35_8b,nextgqa,evidence_boundary,1500,384,0.48333333333333334,0.6946666666666667,0.138,0.007333333333333333,0.048,0.010666666666666666,0.3986243619079207
internvl35_8b,nextgqa,evidence_evidence,1500,384,0.476,0.6153333333333333,0.15,0.013333333333333334,0.04533333333333334,0.006,0.2448154212937738
internvl35_8b,nextgqa,evidence_outside,1500,384,0.5066666666666667,0.7173333333333334,0.11266666666666666,0.006,0.056,0.012666666666666666,0.4781118748513152
internvl35_8b,nextgqa,outside_outside,1500,384,0.5113333333333333,0.7326666666666667,0.102,0.005333333333333333,0.048,0.01,0.4381757991660592
perception_lm_8b,herbench,boundary_outside,1500,49,0.528,0.726,0.10066666666666667,0.012,0.059333333333333335,0.012,0.31522577602620006
perception_lm_8b,herbench,evidence_boundary,1500,49,0.47933333333333333,0.7346666666666667,0.14133333333333334,0.011333333333333334,0.05266666666666667,0.010666666666666666,0.35010836565698267
perception_lm_8b,herbench,evidence_evidence,1500,49,0.5093333333333333,0.69,0.11733333333333333,0.018666666666666668,0.05533333333333333,0.008666666666666666,0.3637133597812984
perception_lm_8b,herbench,evidence_outside,1500,49,0.5073333333333333,0.712,0.10733333333333334,0.014666666666666666,0.05266666666666667,0.006666666666666667,0.34053682629718485
perception_lm_8b,herbench,outside_outside,1500,49,0.518,0.7193333333333334,0.08933333333333333,0.012,0.048,0.011333333333333334,0.31135119120635013
perception_lm_8b,lvbench,boundary_outside,1500,103,0.49666666666666665,0.6953333333333334,0.104,0.021333333333333333,0.056,0.012,0.27208759691848716
perception_lm_8b,lvbench,evidence_boundary,1500,103,0.47,0.606,0.132,0.018666666666666668,0.051333333333333335,0.012,0.14684801782906426
perception_lm_8b,lvbench,evidence_evidence,1500,103,0.406,0.5746666666666667,0.158,0.026,0.04733333333333333,0.009333333333333334,0.06697927797900237
perception_lm_8b,lvbench,evidence_outside,1500,103,0.5066666666666667,0.6586666666666666,0.11466666666666667,0.016666666666666666,0.05,0.007333333333333333,0.23158403257131954
perception_lm_8b,lvbench,outside_outside,1500,103,0.47333333333333333,0.7473333333333333,0.08466666666666667,0.012,0.06933333333333333,0.006666666666666667,0.35447848719855773
perception_lm_8b,nextgqa,boundary_outside,1500,384,0.5133333333333333,0.7046666666666667,0.098,0.006666666666666667,0.03866666666666667,0.01,0.46982549017141584
perception_lm_8b,nextgqa,evidence_boundary,1500,384,0.4846666666666667,0.6513333333333333,0.118,0.008,0.04066666666666666,0.005333333333333333,0.3247783904440397
perception_lm_8b,nextgqa,evidence_evidence,1500,384,0.4146666666666667,0.5633333333333334,0.13133333333333333,0.008666666666666666,0.032,0.006,0.1608430252750873
perception_lm_8b,nextgqa,evidence_outside,1500,384,0.5013333333333333,0.6706666666666666,0.10466666666666667,0.008,0.04733333333333333,0.007333333333333333,0.40072780414542436
perception_lm_8b,nextgqa,outside_outside,1500,384,0.4846666666666667,0.7233333333333334,0.098,0.005333333333333333,0.04133333333333333,0.011333333333333334,0.45915237110175705
qwen3_vl_32b,herbench,boundary_outside,1500,49,0.5173333333333333,0.714,0.10466666666666667,0.012,0.028,0.0033333333333333335,0.4741559119706595
qwen3_vl_32b,herbench,evidence_boundary,1500,49,0.462,0.6906666666666667,0.11066666666666666,0.014666666666666666,0.043333333333333335,0.005333333333333333,0.6805634230383939
qwen3_vl_32b,herbench,evidence_evidence,1500,49,0.48133333333333334,0.6626666666666666,0.118,0.011333333333333334,0.052,0.01,0.7678502185736952
qwen3_vl_32b,herbench,evidence_outside,1500,49,0.47,0.7166666666666667,0.09866666666666667,0.009333333333333334,0.042666666666666665,0.008,0.7597058847666371
qwen3_vl_32b,herbench,outside_outside,1500,49,0.48933333333333334,0.7373333333333333,0.10066666666666667,0.008666666666666666,0.03933333333333333,0.008,0.5613014632518013
qwen3_vl_32b,lvbench,boundary_outside,1500,103,0.49266666666666664,0.716,0.128,0.01,0.04933333333333333,0.006,0.6856148120678052
qwen3_vl_32b,lvbench,evidence_boundary,1500,103,0.4666666666666667,0.5946666666666667,0.15333333333333332,0.021333333333333333,0.05533333333333333,0.006,0.4316320268579056
