model,benchmark,pair_type,cells,mean_interaction,mean_absolute_interaction,score_scale
internvl35_38b,herbench,boundary_outside,1500,-0.006,0.0886666666666666,accuracy
internvl35_38b,herbench,evidence_boundary,1500,0.0,0.1266666666666666,accuracy
internvl35_38b,herbench,evidence_evidence,1500,0.0173333333333333,0.1573333333333333,accuracy
internvl35_38b,herbench,evidence_outside,1500,0.0046666666666666,0.1166666666666666,accuracy
internvl35_38b,herbench,outside_outside,1500,-0.0053333333333333,0.0893333333333333,accuracy
internvl35_38b,herbench,boundary_outside,1500,-0.0188605438722637,0.2444478906277654,logodds
internvl35_38b,herbench,evidence_boundary,1500,-0.013611789199543,0.3660673288043083,logodds
internvl35_38b,herbench,evidence_evidence,1500,0.0191809353256442,0.4836971109696508,logodds
internvl35_38b,herbench,evidence_outside,1500,-0.0114299313731025,0.3154710817423959,logodds
internvl35_38b,herbench,outside_outside,1500,0.0007686482419182,0.2145541801307505,logodds
internvl35_38b,herbench,boundary_outside,1500,-0.0024794104972455,0.0384849088547193,probability
internvl35_38b,herbench,evidence_boundary,1500,0.0018963025575328,0.0552360843211477,probability
internvl35_38b,herbench,evidence_evidence,1500,0.0047792761088659,0.0766780821821814,probability
internvl35_38b,herbench,evidence_outside,1500,-0.0011670785272194,0.0477753291740515,probability
internvl35_38b,herbench,outside_outside,1500,0.0003667998203406,0.0332542413102429,probability
internvl35_38b,lvbench,boundary_outside,1500,0.0213333333333333,0.096,accuracy
internvl35_38b,lvbench,evidence_boundary,1500,-0.0486666666666666,0.1566666666666666,accuracy
internvl35_38b,lvbench,evidence_evidence,1500,-0.074,0.178,accuracy
internvl35_38b,lvbench,evidence_outside,1500,0.0113333333333333,0.1006666666666666,accuracy
internvl35_38b,lvbench,outside_outside,1500,0.0073333333333333,0.0593333333333333,accuracy
internvl35_38b,lvbench,boundary_outside,1500,0.0301051872411912,0.2626364638905832,logodds
internvl35_38b,lvbench,evidence_boundary,1500,-0.1420910738752278,0.5511684613736946,logodds
internvl35_38b,lvbench,evidence_evidence,1500,-0.3964235753229709,0.815796336100443,logodds
internvl35_38b,lvbench,evidence_outside,1500,0.0304793683000363,0.3175868698628366,logodds
internvl35_38b,lvbench,outside_outside,1500,0.0226020574604085,0.1844287054255696,logodds
internvl35_38b,lvbench,boundary_outside,1500,0.0043074647995236,0.0363450893150386,probability
internvl35_38b,lvbench,evidence_boundary,1500,-0.0242563625873411,0.0786610613786345,probability
internvl35_38b,lvbench,evidence_evidence,1500,-0.0571179859859191,0.1115074298792458,probability
internvl35_38b,lvbench,evidence_outside,1500,0.0042103694084048,0.0447132502644707,probability
internvl35_38b,lvbench,outside_outside,1500,0.0034936694356694,0.025506923655729,probability
internvl35_38b,nextgqa,boundary_outside,1500,-0.016,0.0573333333333333,accuracy
internvl35_38b,nextgqa,evidence_boundary,1500,-0.0266666666666666,0.08,accuracy
internvl35_38b,nextgqa,evidence_evidence,1500,-0.0286666666666666,0.0953333333333333,accuracy
internvl35_38b,nextgqa,evidence_outside,1500,-0.02,0.072,accuracy
internvl35_38b,nextgqa,outside_outside,1500,-0.0106666666666666,0.06,accuracy
internvl35_38b,nextgqa,boundary_outside,1500,-0.0633616422458496,0.4776073359360002,logodds
internvl35_38b,nextgqa,evidence_boundary,1500,-0.1189707209118447,0.6384323627409157,logodds
