model,benchmark,pair_type,cells,mean_interaction,mean_absolute_interaction,score_scale
internvl35_8b,lvbench,boundary_outside,1500,0.0,0.104,accuracy
internvl35_8b,lvbench,evidence_boundary,1500,-0.04533333333333334,0.148,accuracy
internvl35_8b,lvbench,evidence_evidence,1500,-0.086,0.19533333333333333,accuracy
internvl35_8b,lvbench,evidence_outside,1500,0.0033333333333333335,0.102,accuracy
internvl35_8b,lvbench,outside_outside,1500,0.0,0.07866666666666666,accuracy
internvl35_8b,lvbench,boundary_outside,1500,0.004453404003338922,0.29854218528969007,logodds
internvl35_8b,lvbench,evidence_boundary,1500,-0.20186213251640872,0.62310708005745,logodds
internvl35_8b,lvbench,evidence_evidence,1500,-0.4988597823775356,0.9329930464613642,logodds
internvl35_8b,lvbench,evidence_outside,1500,-0.03404667304059277,0.3719620329476295,logodds
internvl35_8b,lvbench,outside_outside,1500,-0.014436096616206139,0.23121128563066523,logodds
internvl35_8b,lvbench,boundary_outside,1500,-0.0001413327530542028,0.03974427724268907,probability
internvl35_8b,lvbench,evidence_boundary,1500,-0.026566928480490356,0.07988466081261039,probability
internvl35_8b,lvbench,evidence_evidence,1500,-0.06519660545770979,0.12243745286416508,probability
internvl35_8b,lvbench,evidence_outside,1500,-0.0020999605100278616,0.04826111865774302,probability
internvl35_8b,lvbench,outside_outside,1500,-0.0025693600488057057,0.028770411776798285,probability
