model,benchmark,pair_type,cells,mean_interaction,mean_absolute_interaction,score_scale
perception_lm_8b,nextgqa,boundary_outside,1500,0.006,0.07,accuracy
perception_lm_8b,nextgqa,evidence_boundary,1500,-0.020666666666666667,0.08866666666666667,accuracy
perception_lm_8b,nextgqa,evidence_evidence,1500,-0.03266666666666666,0.09533333333333334,accuracy
perception_lm_8b,nextgqa,evidence_outside,1500,-0.002,0.074,accuracy
perception_lm_8b,nextgqa,outside_outside,1500,-0.004,0.06266666666666666,accuracy
perception_lm_8b,nextgqa,boundary_outside,1500,-0.037634709673350454,0.4189989921578416,logodds
perception_lm_8b,nextgqa,evidence_boundary,1500,-0.14918941756190363,0.5800615444294225,logodds
perception_lm_8b,nextgqa,evidence_evidence,1500,-0.3983596432445435,0.7958352280729074,logodds
perception_lm_8b,nextgqa,evidence_outside,1500,-0.039887333640798564,0.447615959816461,logodds
perception_lm_8b,nextgqa,outside_outside,1500,-0.020073583406878794,0.34766772942073887,logodds
perception_lm_8b,nextgqa,boundary_outside,1500,-0.0017842064653200488,0.03539467735320518,probability
perception_lm_8b,nextgqa,evidence_boundary,1500,-0.008257105469254187,0.05089751705236155,probability
perception_lm_8b,nextgqa,evidence_evidence,1500,-0.02492802056340161,0.06351895667503975,probability
perception_lm_8b,nextgqa,evidence_outside,1500,0.001984875941647426,0.03898450130518764,probability
perception_lm_8b,nextgqa,outside_outside,1500,-0.001911096363379213,0.0302378356127244,probability
