model,benchmark,specification,estimand,records,source_video_clusters,coefficient,cluster_se,ci_low,ci_high,p_two_sided,predictor_scale,raw_gap,main_abs_sum_gap,outside_support_low,outside_support_high,p_bh_within_specification
internvl35_38b,herbench,unadjusted,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,49,0.26914293083890073,0.026892787653529846,0.21507135733204216,0.3232145043457593,2.4674661073222006e-13,0.5,0.2691429308389003,0.914767608532624,0.04305467903614044,3.426994949541986,3.172456423699972e-13
internvl35_38b,herbench,singleton_sum,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,49,0.08285278889203081,0.01791628705613477,0.04682967946184818,0.11887589832221343,2.8591625919694023e-05,0.5,0.2691429308389003,0.914767608532624,0.04305467903614044,3.426994949541986,0.0001286623166386231
internvl35_38b,herbench,singleton_rich,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,49,0.08933841903940618,0.015295919561142846,0.05858391156473117,0.12009292651408118,4.386931541250877e-07,0.5,0.2691429308389003,0.914767608532624,0.04305467903614044,3.426994949541986,1.1280681106073681e-06
internvl35_38b,herbench,full,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,49,0.08469758191102383,0.01567581569175772,0.05317924207295986,0.1162159217490878,2.0174283548731932e-06,0.5,0.2691429308389003,0.914767608532624,0.04305467903614044,3.426994949541986,1.240483467171386e-05
internvl35_38b,herbench,full_common_support,evidence_pair_coefficient_adjusted_for_singleton_scale,2789,49,0.08184501434714751,0.015492354003561845,0.05069554895552545,0.11299447973876958,3.056070053449508e-06,0.4992666429278051,0.2691429308389003,0.914767608532624,0.04305467903614044,3.426994949541986,1.3752315240522786e-05
internvl35_38b,lvbench,unadjusted,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,103,0.6313676306748728,0.06127652526641847,0.5098259333518251,0.7529093279979204,1.7330464477773802e-17,0.5,0.6313676306748733,1.7110517279444273,0.019675563871860504,4.332145787477494,5.199139343332141e-17
internvl35_38b,lvbench,singleton_sum,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,103,0.032606941008280294,0.01882486336607459,-0.004732086220162579,0.06994596823672317,0.08627492882166651,0.5,0.6313676306748733,1.7110517279444273,0.019675563871860504,4.332145787477494,0.11945759375307671
internvl35_38b,lvbench,singleton_rich,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,103,0.1005463751512943,0.014636192428470985,0.07151555686698793,0.12957719343560067,5.192278669071297e-10,0.5,0.6313676306748733,1.7110517279444273,0.019675563871860504,4.332145787477494,4.673050802164167e-09
internvl35_38b,lvbench,full,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,103,0.07127649275604567,0.01745903116178353,0.03664658722871517,0.10590639828337617,8.87159480151265e-05,0.5,0.6313676306748733,1.7110517279444273,0.019675563871860504,4.332145787477494,0.00022812672346746816
internvl35_38b,lvbench,full_common_support,evidence_pair_coefficient_adjusted_for_singleton_scale,2691,103,0.06707803936175762,0.016261323011214336,0.034823782272143056,0.09933229645137218,7.577710329492428e-05,0.4978549179672511,0.6313676306748733,1.7110517279444273,0.019675563871860504,4.332145787477494,0.0001363987859308637
