model,benchmark,order,items,fraction_absolute_component,ci_low,ci_high,bootstrap_draws,cluster
internvl35_38b,herbench,1,200,0.399563670556691,0.38341354650096854,0.4160361141492366,10000,item_id
internvl35_38b,herbench,2,200,0.36098767366438045,0.3501088120623519,0.3713448417096723,10000,item_id
internvl35_38b,herbench,3,200,0.19097956831829527,0.1820436277064136,0.20011597987181726,10000,item_id
internvl35_38b,herbench,3_plus_4,200,0.23944865577892846,0.22814858049389128,0.2511524259473803,10000,item_id
internvl35_38b,herbench,4,200,0.0484690874606332,0.0447830770863579,0.052276083685119185,10000,item_id
internvl35_38b,lvbench,1,200,0.357877696887882,0.3398951339577022,0.3796605757561944,10000,item_id
internvl35_38b,lvbench,2,200,0.37114697862120893,0.36146488504895036,0.37968701160585006,10000,item_id
internvl35_38b,lvbench,3,200,0.21795247379293237,0.20585683349665831,0.22835386254176934,10000,item_id
internvl35_38b,lvbench,3_plus_4,200,0.2709753244909091,0.25554712143663944,0.2845165234392866,10000,item_id
internvl35_38b,lvbench,4,200,0.053022850697976714,0.049047383960610036,0.05682486525793736,10000,item_id
internvl35_38b,nextgqa,1,200,0.3842291957871798,0.36708985581278875,0.40158930677967786,10000,item_id
internvl35_38b,nextgqa,2,200,0.3648733382997198,0.35614235897982216,0.3724087589798949,10000,item_id
internvl35_38b,nextgqa,3,200,0.20356891376155842,0.19309889349804563,0.21402326539144823,10000,item_id
internvl35_38b,nextgqa,3_plus_4,200,0.2508974659131005,0.23669853399724639,0.26521126313350896,10000,item_id
internvl35_38b,nextgqa,4,200,0.0473285521515421,0.04291121022405317,0.05186432807133101,10000,item_id
perception_lm_8b,herbench,1,200,0.3727635640700612,0.353527384960167,0.3919212164196192,10000,item_id
perception_lm_8b,herbench,2,200,0.36975285183459955,0.35850827069609537,0.38079398402647896,10000,item_id
perception_lm_8b,herbench,3,200,0.2066191743125127,0.19559034883005555,0.2181238019158793,10000,item_id
perception_lm_8b,herbench,3_plus_4,200,0.2574835840953391,0.24355098089630023,0.27228871419295836,10000,item_id
perception_lm_8b,herbench,4,200,0.05086440978282641,0.046017080446359535,0.05586756576362776,10000,item_id
perception_lm_8b,lvbench,1,200,0.3863624788743449,0.3644853107594429,0.4126713696878781,10000,item_id
perception_lm_8b,lvbench,2,200,0.36807419846702083,0.35568861691412285,0.37798245474091247,10000,item_id
perception_lm_8b,lvbench,3,200,0.20083036852002947,0.1871590276739588,0.21253009417115434,10000,item_id
perception_lm_8b,lvbench,3_plus_4,200,0.24556332265863434,0.22728407047458152,0.2612052254876914,10000,item_id
perception_lm_8b,lvbench,4,200,0.04473295413860488,0.03967710023777025,0.04914624038366616,10000,item_id
perception_lm_8b,nextgqa,1,200,0.4022936167320485,0.38285935597157006,0.42205451906368896,10000,item_id
perception_lm_8b,nextgqa,2,200,0.3622321125780669,0.3515420866001683,0.3714211459336899,10000,item_id
perception_lm_8b,nextgqa,3,200,0.19097342295691178,0.1792660109951284,0.20252613554767826,10000,item_id
perception_lm_8b,nextgqa,3_plus_4,200,0.2354742706898845,0.22010057568204494,0.2508349721091956,10000,item_id
perception_lm_8b,nextgqa,4,200,0.04450084773297272,0.039990848041294665,0.04919782724682659,10000,item_id
qwen3_vl_32b,herbench,1,200,0.38414135295970947,0.3656707859730904,0.40221891953268174,10000,item_id
qwen3_vl_32b,herbench,2,200,0.35126133270068566,0.3401184564770139,0.3619877048511881,10000,item_id
qwen3_vl_32b,herbench,3,200,0.20678195225751841,0.19636164151852545,0.21820671283374243,10000,item_id
qwen3_vl_32b,herbench,3_plus_4,200,0.2645973143396047,0.24990262809447997,0.2802718566646871,10000,item_id
qwen3_vl_32b,herbench,4,200,0.0578153620820863,0.051581380785607145,0.06484713577373603,10000,item_id
qwen3_vl_32b,lvbench,1,200,0.3446085615863296,0.32746851424460816,0.36517241252972743,10000,item_id
qwen3_vl_32b,lvbench,2,200,0.37871615371215545,0.3716570874485629,0.3845363130934461,10000,item_id
qwen3_vl_32b,lvbench,3,200,0.22264083112026653,0.2099317954398512,0.23327847204916882,10000,item_id
qwen3_vl_32b,lvbench,3_plus_4,200,0.276675284701515,0.2595762009850085,0.2912146115242073,10000,item_id
qwen3_vl_32b,lvbench,4,200,0.05403445358124846,0.04922873994022571,0.0583794671221602,10000,item_id
qwen3_vl_32b,nextgqa,1,200,0.3797552308273545,0.3643751096806393,0.3956685990931442,10000,item_id
qwen3_vl_32b,nextgqa,2,200,0.36660355017262997,0.35879214222278516,0.373566551902682,10000,item_id
qwen3_vl_32b,nextgqa,3,200,0.20418827356773642,0.19428134811025818,0.21414659700545205,10000,item_id
qwen3_vl_32b,nextgqa,3_plus_4,200,0.2536412190000154,0.24024695981562597,0.2673137843841345,10000,item_id
qwen3_vl_32b,nextgqa,4,200,0.04945294543227899,0.044839352869518685,0.05431473083561767,10000,item_id
