model,benchmark,budget,method,records,source_videos,optimal_set_recovery,mean_logodds_regret,mean_gold_probability_regret,accuracy
internvl35_38b,herbench,2,exhaustive,400,48,1.0,0.0,0.0,0.7275
internvl35_38b,herbench,2,pairwise,400,48,1.0,0.0,0.0,0.7275
internvl35_38b,herbench,2,singleton,400,48,0.5775,0.17505310037093294,0.02516952934234771,0.7025
internvl35_38b,herbench,3,exhaustive,400,48,1.0,0.0,0.0,0.715
internvl35_38b,herbench,3,pairwise,400,48,0.7575,0.07663422607220127,0.011350195255090588,0.7025
internvl35_38b,herbench,3,singleton,400,48,0.57,0.25186802858122975,0.03618985828922068,0.67
internvl35_38b,lvbench,2,exhaustive,400,91,1.0,0.0,0.0,0.7125
internvl35_38b,lvbench,2,pairwise,400,91,1.0,0.0,0.0,0.7125
internvl35_38b,lvbench,2,singleton,400,91,0.4975,0.20844274805173882,0.020167212737231342,0.7
internvl35_38b,lvbench,3,exhaustive,400,91,1.0,0.0,0.0,0.7025
internvl35_38b,lvbench,3,pairwise,400,91,0.6325,0.09325422443602292,0.010296855938876354,0.6925
internvl35_38b,lvbench,3,singleton,400,91,0.49,0.260121339207667,0.025548854747075547,0.6625
internvl35_38b,nextgqa,2,exhaustive,400,184,1.0,0.0,0.0,0.865
internvl35_38b,nextgqa,2,pairwise,400,184,1.0,0.0,0.0,0.865
internvl35_38b,nextgqa,2,singleton,400,184,0.6,0.11733070754772854,0.00877909861295348,0.855
internvl35_38b,nextgqa,3,exhaustive,400,184,1.0,0.0,0.0,0.86
internvl35_38b,nextgqa,3,pairwise,400,184,0.67,0.07862809643713575,0.003159978827541856,0.8575
internvl35_38b,nextgqa,3,singleton,400,184,0.62,0.145708276133999,0.009129959119922364,0.8525
perception_lm_8b,herbench,2,exhaustive,400,48,1.0,0.0,0.0,0.4925
perception_lm_8b,herbench,2,pairwise,400,48,1.0,0.0,0.0,0.4925
perception_lm_8b,herbench,2,singleton,400,48,0.5275,0.2550012241227159,0.02628295596173753,0.4675
perception_lm_8b,herbench,3,exhaustive,400,48,1.0,0.0,0.0,0.4925
perception_lm_8b,herbench,3,pairwise,400,48,0.6975,0.10055989708154811,0.013022067659259354,0.4775
perception_lm_8b,herbench,3,singleton,400,48,0.5675,0.2704096986797231,0.029202527895855465,0.455
perception_lm_8b,lvbench,2,exhaustive,400,91,1.0,0.0,0.0,0.6475
perception_lm_8b,lvbench,2,pairwise,400,91,1.0,0.0,0.0,0.6475
perception_lm_8b,lvbench,2,singleton,400,91,0.55,0.16875738402476032,0.015959079441052938,0.63
perception_lm_8b,lvbench,3,exhaustive,400,91,1.0,0.0,0.0,0.66
perception_lm_8b,lvbench,3,pairwise,400,91,0.7075,0.08534175549906195,0.007366550739733327,0.6525
perception_lm_8b,lvbench,3,singleton,400,91,0.585,0.1809068694891934,0.015688001084519648,0.6325
perception_lm_8b,nextgqa,2,exhaustive,400,184,1.0,0.0,0.0,0.7925
perception_lm_8b,nextgqa,2,pairwise,400,184,1.0,0.0,0.0,0.7925
perception_lm_8b,nextgqa,2,singleton,400,184,0.605,0.13797896299436574,0.007244233422130655,0.78
perception_lm_8b,nextgqa,3,exhaustive,400,184,1.0,0.0,0.0,0.7825
perception_lm_8b,nextgqa,3,pairwise,400,184,0.6925,0.09026741261632125,0.004544261879879704,0.775
perception_lm_8b,nextgqa,3,singleton,400,184,0.5925,0.18213866767730408,0.008621493937965652,0.7775
qwen3_vl_32b,herbench,2,exhaustive,400,48,1.0,0.0,0.0,0.67
qwen3_vl_32b,herbench,2,pairwise,400,48,1.0,0.0,0.0,0.67
qwen3_vl_32b,herbench,2,singleton,400,48,0.515,0.512687545831898,0.02772145853179225,0.6375
qwen3_vl_32b,herbench,3,exhaustive,400,48,1.0,0.0,0.0,0.685
qwen3_vl_32b,herbench,3,pairwise,400,48,0.7025,0.2784788363320507,0.014426267451316,0.6675
qwen3_vl_32b,herbench,3,singleton,400,48,0.4825,0.8083347745642044,0.040851411669238724,0.6475
qwen3_vl_32b,lvbench,2,exhaustive,400,91,1.0,0.0,0.0,0.7075
qwen3_vl_32b,lvbench,2,pairwise,400,91,1.0,0.0,0.0,0.7075
qwen3_vl_32b,lvbench,2,singleton,400,91,0.4575,0.6121117296451394,0.02541522868773213,0.6775
qwen3_vl_32b,lvbench,3,exhaustive,400,91,1.0,0.0,0.0,0.7
qwen3_vl_32b,lvbench,3,pairwise,400,91,0.645,0.24562200717918942,0.013459394130464186,0.6875
qwen3_vl_32b,lvbench,3,singleton,400,91,0.5,0.5280899493679185,0.0185659237974726,0.6925
qwen3_vl_32b,nextgqa,2,exhaustive,400,184,1.0,0.0,0.0,0.88
qwen3_vl_32b,nextgqa,2,pairwise,400,184,1.0,0.0,0.0,0.88
qwen3_vl_32b,nextgqa,2,singleton,400,184,0.5875,0.2543140190464268,0.014179250236762976,0.8525
qwen3_vl_32b,nextgqa,3,exhaustive,400,184,1.0,0.0,0.0,0.87
qwen3_vl_32b,nextgqa,3,pairwise,400,184,0.67,0.1767451050191468,0.005766668775127131,0.865
qwen3_vl_32b,nextgqa,3,singleton,400,184,0.56,0.30291331849413017,0.016082976998323867,0.8375
