model,benchmark,robustness_condition,pair_type,cells,mean_interaction,mean_absolute_interaction,max_absolute_interaction
qwen3_vl_32b,nextgqa,noop,noop,75,0.0,0.0,0.0
qwen3_vl_32b,nextgqa,reversed,evidence_evidence,75,-0.0607866576050168,1.1369719265470482,6.183949915771336
qwen3_vl_32b,nextgqa,reversed,outside_outside,75,-0.1797175016263284,0.6663482196350987,3.9353480654535815
qwen3_vl_32b,nextgqa,slot_swap,evidence_evidence,75,0.2503281394601792,1.2591092308843896,9.157416909954009
qwen3_vl_32b,nextgqa,slot_swap,outside_outside,75,-0.1071456463360747,0.497788400430896,2.868499768897891
qwen3_vl_32b,herbench,noop,noop,75,0.0,0.0,0.0
qwen3_vl_32b,herbench,reversed,evidence_evidence,75,-0.6034990889159844,1.5703858542824265,10.374534595886873
qwen3_vl_32b,herbench,reversed,outside_outside,75,-0.0552968419017285,0.5757484809934416,2.40832881629467
qwen3_vl_32b,herbench,slot_swap,evidence_evidence,75,-0.7251150213084062,1.2454461093968452,7.030483340844512
qwen3_vl_32b,herbench,slot_swap,outside_outside,75,-0.0968934060819632,0.4422173995474901,2.9005126953125
perception_lm_8b,lvbench,noop,noop,75,0.0,0.0,0.0
perception_lm_8b,lvbench,reversed,evidence_evidence,75,-0.2659995347959921,0.6621908155782148,4.61127196252346
perception_lm_8b,lvbench,reversed,outside_outside,75,-0.0217460175786012,0.2416516527653827,3.0578834356274456
perception_lm_8b,lvbench,slot_swap,evidence_evidence,75,-0.6059425057975265,0.7713266011009303,6.788619154394837
perception_lm_8b,lvbench,slot_swap,outside_outside,75,0.0436691823295162,0.2157003902003634,1.4396076884004287
perception_lm_8b,nextgqa,noop,noop,75,0.0,0.0,0.0
perception_lm_8b,nextgqa,reversed,evidence_evidence,75,-0.1171660023647079,0.493338832671155,4.180517337168567
perception_lm_8b,nextgqa,reversed,outside_outside,75,-0.1522332745966378,0.3304466202945999,3.050001509487629
perception_lm_8b,nextgqa,slot_swap,evidence_evidence,75,-0.1599760622146398,0.5385546225454285,3.0302352862709085
perception_lm_8b,nextgqa,slot_swap,outside_outside,75,-0.0564844081163695,0.3348622148790612,1.7310548052191734
internvl35_38b,nextgqa,noop,noop,75,0.0,0.0,0.0
internvl35_38b,nextgqa,reversed,evidence_evidence,75,-0.2168752982514828,0.7434395833417875,4.6962154833599925
internvl35_38b,nextgqa,reversed,outside_outside,75,-0.1943036510950272,0.3365367226554068,3.053624118678272
internvl35_38b,nextgqa,slot_swap,evidence_evidence,75,-0.0007465827959216,0.6684478907507219,3.789969392179046
internvl35_38b,nextgqa,slot_swap,outside_outside,75,-0.0680151421187717,0.3014923737481876,1.874143014661968
qwen3_vl_32b,lvbench,noop,noop,75,0.0,0.0,0.0
qwen3_vl_32b,lvbench,reversed,evidence_evidence,75,-1.420470605636082,2.830650214517792,22.60375812649727
qwen3_vl_32b,lvbench,reversed,outside_outside,75,0.0560121458978066,0.591347195331166,2.7211277480237186
qwen3_vl_32b,lvbench,slot_swap,evidence_evidence,75,-1.508265756535684,3.125381773274471,20.96737313270569
qwen3_vl_32b,lvbench,slot_swap,outside_outside,75,0.1076862229915801,0.5316115466179674,5.132680171169341
perception_lm_8b,herbench,noop,noop,75,0.0,0.0,0.0
perception_lm_8b,herbench,reversed,evidence_evidence,75,-0.1764175581668193,0.6710770137530441,3.838594228029251
perception_lm_8b,herbench,reversed,outside_outside,75,0.0039194947481155,0.2309706100821495,0.8320062644779682
perception_lm_8b,herbench,slot_swap,evidence_evidence,75,-0.3085918833812078,0.581267996331056,3.725549384951592
perception_lm_8b,herbench,slot_swap,outside_outside,75,0.0016200150176882,0.3027416120593746,1.83888778090477
internvl35_38b,herbench,noop,noop,75,0.0,0.0,0.0
internvl35_38b,herbench,reversed,evidence_evidence,75,-0.1655869351575772,0.6713411405434211,4.862325012683868
internvl35_38b,herbench,reversed,outside_outside,75,-0.0055391041437784,0.431121554672718,2.573932886123657
internvl35_38b,herbench,slot_swap,evidence_evidence,75,-0.3184038364887238,0.6393433706959089,5.421653419733048
internvl35_38b,herbench,slot_swap,outside_outside,75,0.0381786534686883,0.2386124463876088,1.2633675821125507
internvl35_38b,lvbench,noop,noop,75,0.0,0.0,0.0
internvl35_38b,lvbench,reversed,evidence_evidence,75,-0.7231612702331041,1.0991339048553104,7.945731143699959
internvl35_38b,lvbench,reversed,outside_outside,75,-0.029531888992448,0.2368177624850068,1.3621187880635262
internvl35_38b,lvbench,slot_swap,evidence_evidence,75,-0.7142050220448679,0.9549489286297468,8.431701884488575
internvl35_38b,lvbench,slot_swap,outside_outside,75,-0.0007282849525411,0.1773659057045976,0.9273009151220322
