model,benchmark,condition,items,accuracy,mean_logodds,evidence_recall_at_k,temporal_coverage,charged_candidate_frames,mean_seconds,candidate_density
internvl35_38b,herbench,aks_fixedk8,25,0.36,-0.9265135031938552,0.045,0.7896730713961737,32.0,0.6111107635498046,32
internvl35_38b,herbench,bolt_its8,25,0.28,-1.162757159918547,0.06,0.7496731919548061,32.0,0.589985933303833,32
internvl35_38b,herbench,dino_change8,25,0.36,-1.17367822855711,0.025,0.7677376165330646,32.0,0.5907004928588867,32
internvl35_38b,herbench,dino_diversity8,25,0.36,-1.1868405397236348,0.025,0.8812854333007486,32.0,0.5903015804290771,32
internvl35_38b,herbench,random8,25,0.44,-0.8802507776021957,0.03,0.8012856223729156,32.0,0.5900789833068848,32
internvl35_38b,herbench,siglip_dino_submodular8,25,0.32,-0.9834481900930404,0.03,0.841285678877203,32.0,0.5905282020568847,32
internvl35_38b,herbench,siglip_relevance8,25,0.36,-0.9265135031938552,0.045,0.7896730713961737,32.0,0.5910832977294922,32
internvl35_38b,herbench,uniform8,25,0.4,-0.8783730680868029,0.015,0.999994304890151,32.0,0.5906975364685059,32
internvl35_38b,herbench,aks_fixedk8,25,0.36,-0.8803074518544599,0.09,0.6151148743207021,128.0,0.6041054153442382,128
internvl35_38b,herbench,bolt_its8,25,0.28,-1.1985811480879784,0.05,0.73101948377936,128.0,0.5826969718933106,128
internvl35_38b,herbench,dino_change8,25,0.36,-1.2369002187252045,0.065,0.6900749122800172,128.0,0.5828745651245117,128
internvl35_38b,herbench,dino_diversity8,25,0.36,-1.2246333169937134,0.055,0.8617274598934321,128.0,0.5843143081665039,128
internvl35_38b,herbench,random8,25,0.44,-0.4692404424399137,0.065,0.8012552757061582,128.0,0.5833473873138427,128
internvl35_38b,herbench,siglip_dino_submodular8,25,0.32,-1.3733680061995983,0.1,0.730074763002526,128.0,0.5836321449279785,128
internvl35_38b,herbench,siglip_relevance8,25,0.36,-0.8803074518544599,0.09,0.6151148743207021,128.0,0.5836216259002686,128
internvl35_38b,herbench,uniform8,25,0.4,-0.8523866738379001,0.04,0.999994304890151,128.0,0.5833992958068848,128
internvl35_38b,lvbench,aks_fixedk8,25,0.36,-0.9522732888255268,0.085,0.7870965535220297,32.0,0.6002641105651856,32
internvl35_38b,lvbench,bolt_its8,25,0.36,-1.024779470041394,0.08,0.7470965599949992,32.0,0.5750786781311035,32
internvl35_38b,lvbench,dino_change8,25,0.4,-0.7823159128427506,0.07,0.7522578531532222,32.0,0.5769749259948731,32
internvl35_38b,lvbench,dino_diversity8,25,0.48,-0.7295922675728798,0.06,0.8903223237223109,32.0,0.5769191455841064,32
internvl35_38b,lvbench,random8,25,0.4,-0.9160727154091,0.055,0.8219352446658432,32.0,0.5761510658264161,32
internvl35_38b,lvbench,siglip_dino_submodular8,25,0.4,-0.6097599785588682,0.075,0.8258062125406002,32.0,0.5767087268829346,32
internvl35_38b,lvbench,siglip_relevance8,25,0.36,-0.9522732888255268,0.085,0.7870965535220297,32.0,0.5768869590759277,32
internvl35_38b,lvbench,uniform8,25,0.2,-1.3516483893990516,0.06,0.9999997113724596,32.0,0.5760079002380372,32
internvl35_38b,lvbench,aks_fixedk8,25,0.44,-0.4511791600077413,0.08,0.7231493974140503,128.0,0.597115364074707,128
internvl35_38b,lvbench,bolt_its8,25,0.36,-0.9027332147955894,0.075,0.7404722284130995,128.0,0.5759925556182861,128
internvl35_38b,lvbench,dino_change8,25,0.36,-0.924032275378704,0.07,0.6440942961629539,128.0,0.5768837547302246,128
internvl35_38b,lvbench,dino_diversity8,25,0.36,-0.6013993099145591,0.08,0.8831493530994794,128.0,0.5768904685974121,128
internvl35_38b,lvbench,random8,25,0.4,-0.8534947910904884,0.065,0.7905509508061787,128.0,0.576065969467163,128
