model,benchmark,robustness_condition,pair_type,cells,mean_interaction,mean_absolute_interaction,max_absolute_interaction,source_directory,median_interaction,negative_rate
internvl35_38b,herbench,direct_rgb_png,evidence_evidence,75,-0.2620272334416707,0.6951668279369673,5.291177406907082,e8_direct_rgb_analysis,,
internvl35_38b,herbench,direct_rgb_png,outside_outside,75,0.0129336091627677,0.2169519450018803,1.1978105045855043,e8_direct_rgb_analysis,,
internvl35_38b,herbench,extra_context,evidence_evidence,50,0.0674663809686899,0.6619415570050478,2.3883983492851257,e8_extra_context_analysis,,
internvl35_38b,herbench,extra_context,outside_outside,50,0.218636666573584,0.4553261322155595,2.847495049238205,e8_extra_context_analysis,,
internvl35_38b,herbench,hard_distractor,evidence_evidence,25,-0.1507190700061619,0.5216708344407379,2.2079177498817444,e8_hard_distractor_analysis,,
internvl35_38b,herbench,hard_distractor,outside_outside,25,0.1445423259958624,0.3128712072595954,2.1191209964454174,e8_hard_distractor_analysis,,
internvl35_38b,herbench,k16,evidence_evidence,75,-0.3099993835389614,0.5322270385921002,6.220966964960098,e8_k16_analysis,,
internvl35_38b,herbench,k16,outside_outside,75,0.0166656342397133,0.1729809159785509,1.2964841723442078,e8_k16_analysis,,
internvl35_38b,herbench,noop,noop,75,0.0,0.0,0.0,e8_analysis,,
internvl35_38b,herbench,reversed,evidence_evidence,75,-0.1655869351575772,0.6713411405434211,4.862325012683868,e8_analysis,,
internvl35_38b,herbench,reversed,outside_outside,75,-0.0055391041437784,0.431121554672718,2.573932886123657,e8_analysis,,
internvl35_38b,herbench,slot_swap,evidence_evidence,75,-0.3184038364887238,0.6393433706959089,5.421653419733048,e8_analysis,,
internvl35_38b,herbench,slot_swap,outside_outside,75,0.0381786534686883,0.2386124463876088,1.2633675821125507,e8_analysis,,
internvl35_38b,herbench,,boundary_outside,75,-0.0034993295123179,0.2158360981196165,,e8_boundary_offset_analysis,0.0139153003692626,0.48
internvl35_38b,herbench,,evidence_boundary,75,-0.0563511529068152,0.2621607812742392,,e8_boundary_offset_analysis,-0.0021010041236877,0.5333333333333333
internvl35_38b,herbench,,evidence_evidence,75,-0.2859456861267487,0.6947017709662517,,e8_boundary_offset_analysis,-0.1045990586280822,0.6133333333333333
internvl35_38b,herbench,,evidence_outside,75,-0.120549045180281,0.2860329210013151,,e8_boundary_offset_analysis,-0.0909917950630188,0.6533333333333333
internvl35_38b,herbench,,outside_outside,75,0.0339875195920467,0.2014881939689318,,e8_boundary_offset_analysis,0.0029763579368591,0.48
internvl35_38b,lvbench,direct_rgb_png,evidence_evidence,75,-0.6118483170564286,0.9841144999310684,8.570982562436257,e8_direct_rgb_analysis,,
internvl35_38b,lvbench,direct_rgb_png,outside_outside,75,-0.0235622727451846,0.1516567655629478,0.4771388471126556,e8_direct_rgb_analysis,,
internvl35_38b,lvbench,extra_context,evidence_evidence,50,-0.6364888677437557,0.8779286478896392,7.482300062838476,e8_extra_context_analysis,,
internvl35_38b,lvbench,extra_context,outside_outside,50,-0.0147609666356584,0.2582905415812274,1.230371192097664,e8_extra_context_analysis,,
internvl35_38b,lvbench,hard_distractor,evidence_evidence,25,-0.3536068730917759,1.034711332891602,5.184265281772241,e8_hard_distractor_analysis,,
internvl35_38b,lvbench,hard_distractor,outside_outside,25,0.0756347564549651,0.2429544686095323,1.1121534332633018,e8_hard_distractor_analysis,,
internvl35_38b,lvbench,k16,evidence_evidence,75,-0.5667311591299949,0.8673635381974357,8.425604128337,e8_k16_analysis,,
internvl35_38b,lvbench,k16,outside_outside,75,0.031511304352316,0.1347296832612483,0.5978988978022244,e8_k16_analysis,,
internvl35_38b,lvbench,noop,noop,75,0.0,0.0,0.0,e8_analysis,,
internvl35_38b,lvbench,reversed,evidence_evidence,75,-0.7231612702331041,1.0991339048553104,7.945731143699959,e8_analysis,,
internvl35_38b,lvbench,reversed,outside_outside,75,-0.029531888992448,0.2368177624850068,1.3621187880635262,e8_analysis,,
internvl35_38b,lvbench,slot_swap,evidence_evidence,75,-0.7142050220448679,0.9549489286297468,8.431701884488575,e8_analysis,,
internvl35_38b,lvbench,slot_swap,outside_outside,75,-0.0007282849525411,0.1773659057045976,0.9273009151220322,e8_analysis,,
internvl35_38b,lvbench,,boundary_outside,75,-0.0493050000632259,0.2312050225510029,,e8_boundary_offset_analysis,-0.0505153536796569,0.6
internvl35_38b,lvbench,,evidence_boundary,75,-0.2639784301444888,0.5348362951849898,,e8_boundary_offset_analysis,-0.0098555982112884,0.52
internvl35_38b,lvbench,,evidence_evidence,75,-0.6625698228913826,0.9787709499635578,,e8_boundary_offset_analysis,-0.126078650355339,0.5733333333333334
internvl35_38b,lvbench,,evidence_outside,75,-0.0291571022343123,0.2636645202123327,,e8_boundary_offset_analysis,-0.0144623983651399,0.56
internvl35_38b,lvbench,,outside_outside,75,-0.0366804353741463,0.1418600698952407,,e8_boundary_offset_analysis,-0.0064481496810913,0.5333333333333333
internvl35_38b,nextgqa,direct_rgb_png,evidence_evidence,75,-0.0115313490339637,0.6605473858632589,4.036988700856455,e8_direct_rgb_analysis,,
internvl35_38b,nextgqa,direct_rgb_png,outside_outside,75,-0.00998771125458,0.2765484512549786,1.8603393009398133,e8_direct_rgb_analysis,,
internvl35_38b,nextgqa,extra_context,evidence_evidence,50,-0.1036210453905278,0.7083639787631455,3.877854155158275,e8_extra_context_analysis,,
internvl35_38b,nextgqa,extra_context,outside_outside,50,-0.0459555641502902,0.3464670911999474,1.5355912479571998,e8_extra_context_analysis,,
internvl35_38b,nextgqa,hard_distractor,evidence_evidence,25,0.0566174766338735,0.3682001519378173,1.3660713359713554,e8_hard_distractor_analysis,,
internvl35_38b,nextgqa,hard_distractor,outside_outside,25,-0.0748849435868396,0.2100570399655771,0.8235280886292458,e8_hard_distractor_analysis,,
internvl35_38b,nextgqa,k16,evidence_evidence,75,-0.1404809974783408,0.4158701703967684,2.520629323553294,e8_k16_analysis,,
internvl35_38b,nextgqa,k16,outside_outside,75,-0.046823156418189,0.214794602864822,1.8707418153062465,e8_k16_analysis,,
internvl35_38b,nextgqa,noop,noop,75,0.0,0.0,0.0,e8_analysis,,
internvl35_38b,nextgqa,reversed,evidence_evidence,75,-0.2168752982514828,0.7434395833417875,4.6962154833599925,e8_analysis,,
internvl35_38b,nextgqa,reversed,outside_outside,75,-0.1943036510950272,0.3365367226554068,3.053624118678272,e8_analysis,,
internvl35_38b,nextgqa,slot_swap,evidence_evidence,75,-0.0007465827959216,0.6684478907507219,3.789969392179046,e8_analysis,,
internvl35_38b,nextgqa,slot_swap,outside_outside,75,-0.0680151421187717,0.3014923737481876,1.874143014661968,e8_analysis,,
internvl35_38b,nextgqa,,boundary_outside,75,0.0262443948476599,0.3884653613953439,,e8_boundary_offset_analysis,0.0152422224346082,0.4133333333333333
internvl35_38b,nextgqa,,evidence_boundary,75,0.0096930919583246,0.5495184826557428,,e8_boundary_offset_analysis,0.032309778034687,0.4266666666666667
internvl35_38b,nextgqa,,evidence_evidence,75,0.0424137940546036,0.6884785198242146,,e8_boundary_offset_analysis,0.0911809206008911,0.44
internvl35_38b,nextgqa,,evidence_outside,75,-0.0367940095394806,0.4198268823007553,,e8_boundary_offset_analysis,0.0056696236133575,0.4666666666666667
internvl35_38b,nextgqa,,outside_outside,75,0.0007674184801362,0.2925122902212145,,e8_boundary_offset_analysis,0.0022957823239266,0.44
perception_lm_8b,herbench,direct_rgb_png,evidence_evidence,75,-0.2803046302000682,0.5365125472843647,3.180078566074372,e8_direct_rgb_analysis,,
perception_lm_8b,herbench,direct_rgb_png,outside_outside,75,0.0375619870051741,0.2977726054812471,2.0108543038368225,e8_direct_rgb_analysis,,
perception_lm_8b,herbench,extra_context,evidence_evidence,50,-0.154077910836786,0.6347114219702781,2.884854756295681,e8_extra_context_analysis,,
perception_lm_8b,herbench,extra_context,outside_outside,50,0.2105819396115839,0.3337836883030832,1.7768325805664062,e8_extra_context_analysis,,
perception_lm_8b,herbench,hard_distractor,evidence_evidence,25,-0.1357668500393629,0.6147853683680296,1.9797757863998413,e8_hard_distractor_analysis,,
perception_lm_8b,herbench,hard_distractor,outside_outside,25,0.0926912507973611,0.1888123974762857,0.6718482375144958,e8_hard_distractor_analysis,,
perception_lm_8b,herbench,k16,evidence_evidence,75,-0.1446613467174271,0.4470907805549601,4.596936970949173,e8_k16_analysis,,
perception_lm_8b,herbench,k16,outside_outside,75,-0.0027361081540584,0.1378161588062842,0.8750400543212891,e8_k16_analysis,,
perception_lm_8b,herbench,noop,noop,75,0.0,0.0,0.0,e8_analysis,,
perception_lm_8b,herbench,reversed,evidence_evidence,75,-0.1764175581668193,0.6710770137530441,3.838594228029251,e8_analysis,,
perception_lm_8b,herbench,reversed,outside_outside,75,0.0039194947481155,0.2309706100821495,0.8320062644779682,e8_analysis,,
perception_lm_8b,herbench,slot_swap,evidence_evidence,75,-0.3085918833812078,0.581267996331056,3.725549384951592,e8_analysis,,
perception_lm_8b,herbench,slot_swap,outside_outside,75,0.0016200150176882,0.3027416120593746,1.83888778090477,e8_analysis,,
perception_lm_8b,herbench,,boundary_outside,75,-0.0317417429387569,0.258671112159888,,e8_boundary_offset_analysis,-0.0180420018732547,0.5466666666666666
perception_lm_8b,herbench,,evidence_boundary,75,-0.0509891737004121,0.357392742584149,,e8_boundary_offset_analysis,-0.0198614262044429,0.5066666666666667
perception_lm_8b,herbench,,evidence_evidence,75,-0.2916184342155853,0.5605898401886225,,e8_boundary_offset_analysis,-0.1294506043195724,0.6533333333333333
perception_lm_8b,herbench,,evidence_outside,75,-0.04623456026117,0.3355891184757153,,e8_boundary_offset_analysis,-0.0076315701007843,0.5066666666666667
