item_id,benchmark,condition,selected_candidate_indices
herbench:AC_111,herbench,mdp3_8,"[3, 7, 16, 26, 36, 45, 47, 48]"
herbench:AC_111,herbench,plain_dpp_8,"[3, 7, 16, 26, 36, 45, 47, 48]"
herbench:AC_135,herbench,mdp3_8,"[5, 18, 21, 29, 34, 35, 47, 48]"
herbench:AC_135,herbench,plain_dpp_8,"[5, 18, 21, 32, 34, 47, 48, 61]"
herbench:AC_1419,herbench,mdp3_8,"[8, 19, 27, 29, 37, 47, 56, 63]"
herbench:AC_1419,herbench,plain_dpp_8,"[8, 19, 25, 27, 29, 47, 56, 63]"
herbench:AC_1423,herbench,mdp3_8,"[8, 19, 24, 25, 27, 29, 37, 63]"
herbench:AC_1423,herbench,plain_dpp_8,"[8, 19, 24, 25, 27, 29, 47, 63]"
herbench:AC_1515,herbench,mdp3_8,"[3, 12, 14, 32, 37, 47, 60, 61]"
herbench:AC_1515,herbench,plain_dpp_8,"[12, 14, 29, 32, 37, 47, 60, 61]"
herbench:AC_1576,herbench,mdp3_8,"[2, 3, 4, 23, 34, 44, 48, 55]"
herbench:AC_1576,herbench,plain_dpp_8,"[3, 7, 23, 32, 34, 44, 53, 55]"
herbench:AC_1645,herbench,mdp3_8,"[3, 28, 31, 32, 43, 45, 58, 62]"
herbench:AC_1645,herbench,plain_dpp_8,"[3, 28, 31, 32, 43, 45, 58, 62]"
herbench:AC_1947,herbench,mdp3_8,"[0, 2, 7, 9, 16, 41, 43, 60]"
herbench:AC_1947,herbench,plain_dpp_8,"[2, 7, 9, 16, 41, 43, 44, 60]"
herbench:AC_2665,herbench,mdp3_8,"[13, 18, 20, 24, 27, 38, 49, 54]"
herbench:AC_2665,herbench,plain_dpp_8,"[0, 3, 13, 18, 20, 24, 27, 43]"
herbench:AC_276,herbench,mdp3_8,"[4, 9, 10, 20, 36, 47, 50, 60]"
herbench:AC_276,herbench,plain_dpp_8,"[5, 9, 10, 19, 22, 36, 47, 60]"
herbench:AC_325,herbench,mdp3_8,"[10, 13, 18, 25, 29, 38, 43, 62]"
herbench:AC_325,herbench,plain_dpp_8,"[7, 10, 11, 13, 18, 41, 43, 62]"
herbench:AC_3301,herbench,mdp3_8,"[1, 9, 23, 28, 40, 47, 50, 61]"
herbench:AC_3301,herbench,plain_dpp_8,"[1, 9, 32, 40, 47, 50, 51, 61]"
herbench:AC_3484,herbench,mdp3_8,"[0, 11, 21, 25, 31, 35, 38, 45]"
herbench:AC_3484,herbench,plain_dpp_8,"[0, 11, 21, 25, 32, 33, 38, 45]"
herbench:AC_356,herbench,mdp3_8,"[0, 5, 8, 26, 29, 38, 43, 52]"
