condition,evaluated_item_answerer_rows,evidence_fraction,temporal_coverage,selector_name
aks_fixedk8,8970,0.11672240802675585,0.6951241969590455,AKS
bolt_its8,8970,0.10911371237458194,0.7420620496799399,BOLT-ITS
dino_change8,8970,0.10785953177257525,0.6696215930225178,DINO change
dino_diversity8,8970,0.10050167224080267,0.8596376084870893,DINO diversity
mdp3_8,8970,0.10183946488294314,0.8478207782555608,MDP3
plain_dpp_8,8970,0.10409698996655518,0.8259383128948347,Plain DPP
random8,8970,0.09958193979933111,0.7993526880948669,Seeded random
siglip_dino_submodular8,8970,0.10551839464882944,0.8029414318460145,Relevance-diversity
siglip_relevance8,8970,0.11672240802675585,0.6951241969590455,SigLIP relevance
uniform8,8970,0.08779264214046822,0.9999870423416356,Uniform
