item_id,benchmark,condition,selected_candidate_indices
herbench:AC_111,herbench,mdp3_8,"[3, 7, 16, 26, 39, 45, 47, 52]"
herbench:AC_111,herbench,plain_dpp_8,"[3, 7, 16, 26, 39, 45, 52, 60]"
herbench:AC_135,herbench,mdp3_8,"[5, 18, 21, 29, 34, 35, 47, 48]"
herbench:AC_135,herbench,plain_dpp_8,"[5, 18, 29, 34, 35, 47, 48, 61]"
herbench:AC_1419,herbench,mdp3_8,"[8, 19, 24, 27, 29, 37, 47, 63]"
herbench:AC_1419,herbench,plain_dpp_8,"[8, 19, 24, 27, 29, 47, 52, 63]"
herbench:AC_1423,herbench,mdp3_8,"[8, 17, 19, 24, 27, 29, 37, 63]"
herbench:AC_1423,herbench,plain_dpp_8,"[8, 17, 19, 24, 27, 29, 47, 52]"
herbench:AC_1515,herbench,mdp3_8,"[3, 13, 14, 32, 35, 47, 60, 61]"
herbench:AC_1515,herbench,plain_dpp_8,"[3, 12, 14, 29, 35, 47, 60, 61]"
herbench:AC_1576,herbench,mdp3_8,"[3, 7, 23, 34, 44, 48, 55, 56]"
herbench:AC_1576,herbench,plain_dpp_8,"[3, 7, 23, 44, 52, 56, 58, 62]"
herbench:AC_1645,herbench,mdp3_8,"[3, 11, 28, 31, 32, 43, 45, 62]"
herbench:AC_1645,herbench,plain_dpp_8,"[3, 11, 28, 31, 32, 43, 45, 46]"
herbench:AC_1947,herbench,mdp3_8,"[0, 2, 7, 9, 16, 41, 44, 60]"
herbench:AC_1947,herbench,plain_dpp_8,"[0, 2, 7, 9, 16, 48, 58, 60]"
herbench:AC_2665,herbench,mdp3_8,"[0, 3, 12, 20, 23, 27, 38, 49]"
herbench:AC_2665,herbench,plain_dpp_8,"[0, 3, 12, 18, 20, 24, 27, 43]"
herbench:AC_276,herbench,mdp3_8,"[4, 9, 20, 30, 36, 38, 50, 60]"
herbench:AC_276,herbench,plain_dpp_8,"[5, 9, 19, 22, 36, 47, 50, 60]"
herbench:AC_325,herbench,mdp3_8,"[7, 13, 14, 16, 40, 43, 62, 63]"
herbench:AC_325,herbench,plain_dpp_8,"[7, 13, 14, 16, 25, 41, 43, 62]"
herbench:AC_3301,herbench,mdp3_8,"[1, 9, 23, 28, 47, 50, 61, 62]"
herbench:AC_3301,herbench,plain_dpp_8,"[3, 9, 30, 37, 47, 50, 51, 61]"
herbench:AC_3484,herbench,mdp3_8,"[0, 21, 25, 29, 31, 38, 45, 55]"
herbench:AC_3484,herbench,plain_dpp_8,"[0, 1, 21, 25, 32, 37, 38, 55]"
herbench:AC_356,herbench,mdp3_8,"[0, 5, 8, 21, 26, 36, 43, 56]"
herbench:AC_356,herbench,plain_dpp_8,"[0, 5, 8, 26, 29, 36, 43, 54]"
herbench:AC_3767,herbench,mdp3_8,"[1, 3, 7, 26, 47, 52, 60, 63]"
herbench:AC_3767,herbench,plain_dpp_8,"[1, 3, 7, 32, 47, 52, 55, 60]"
herbench:AC_3833,herbench,mdp3_8,"[10, 19, 22, 27, 29, 47, 52, 63]"
herbench:AC_3833,herbench,plain_dpp_8,"[8, 19, 25, 27, 37, 47, 52, 63]"
herbench:AC_477,herbench,mdp3_8,"[0, 8, 14, 17, 29, 43, 59, 61]"
herbench:AC_477,herbench,plain_dpp_8,"[0, 7, 17, 29, 43, 55, 59, 61]"
herbench:AC_5427,herbench,mdp3_8,"[6, 8, 15, 18, 24, 37, 41, 55]"
herbench:AC_5427,herbench,plain_dpp_8,"[6, 18, 20, 24, 33, 37, 42, 55]"
herbench:AC_5732,herbench,mdp3_8,"[1, 2, 3, 15, 37, 43, 45, 62]"
herbench:AC_5732,herbench,plain_dpp_8,"[1, 3, 15, 31, 32, 43, 45, 62]"
herbench:AC_6235,herbench,mdp3_8,"[4, 9, 19, 22, 48, 50, 57, 60]"
herbench:AC_6235,herbench,plain_dpp_8,"[4, 9, 19, 22, 47, 50, 57, 60]"
herbench:AC_6478,herbench,mdp3_8,"[2, 16, 17, 23, 36, 47, 58, 63]"
herbench:AC_6478,herbench,plain_dpp_8,"[2, 16, 22, 23, 39, 41, 44, 56]"
herbench:AC_7269,herbench,mdp3_8,"[3, 22, 27, 28, 31, 34, 47, 48]"
herbench:AC_7269,herbench,plain_dpp_8,"[10, 22, 27, 28, 30, 31, 48, 50]"
herbench:AC_750,herbench,mdp3_8,"[1, 12, 13, 21, 24, 28, 34, 57]"
herbench:AC_750,herbench,plain_dpp_8,"[0, 13, 14, 21, 24, 28, 34, 57]"
herbench:AC_7878,herbench,mdp3_8,"[0, 5, 7, 11, 27, 36, 56, 62]"
herbench:AC_7878,herbench,plain_dpp_8,"[0, 7, 11, 15, 29, 36, 42, 56]"
herbench:AC_8325,herbench,mdp3_8,"[5, 10, 21, 30, 42, 44, 52, 58]"
herbench:AC_8325,herbench,plain_dpp_8,"[5, 9, 10, 30, 42, 44, 52, 58]"
herbench:AC_8327,herbench,mdp3_8,"[4, 16, 19, 21, 34, 47, 62, 63]"
herbench:AC_8327,herbench,plain_dpp_8,"[4, 21, 34, 47, 48, 59, 62, 63]"
herbench:AC_8472,herbench,mdp3_8,"[5, 9, 19, 22, 38, 50, 57, 60]"
herbench:AC_8472,herbench,plain_dpp_8,"[5, 9, 10, 19, 22, 47, 57, 60]"
herbench:AC_8518,herbench,mdp3_8,"[11, 17, 18, 28, 33, 34, 41, 56]"
herbench:AC_8518,herbench,plain_dpp_8,"[1, 11, 17, 18, 32, 34, 41, 53]"
herbench:AC_8531,herbench,mdp3_8,"[0, 4, 10, 26, 31, 49, 55, 58]"
herbench:AC_8531,herbench,plain_dpp_8,"[0, 10, 13, 23, 43, 49, 55, 58]"
herbench:AC_8561,herbench,mdp3_8,"[2, 4, 9, 23, 34, 35, 38, 48]"
herbench:AC_8561,herbench,plain_dpp_8,"[2, 4, 5, 23, 34, 35, 38, 48]"
