item_id,benchmark,condition,selected_candidate_indices
lvbench:10,lvbench,mdp3_8,"[16, 19, 20, 21, 31, 42, 53, 57]"
lvbench:10,lvbench,plain_dpp_8,"[19, 20, 21, 31, 42, 46, 51, 53]"
lvbench:1083,lvbench,mdp3_8,"[8, 11, 28, 34, 44, 47, 50, 63]"
lvbench:1083,lvbench,plain_dpp_8,"[8, 11, 28, 34, 44, 47, 50, 63]"
lvbench:1097,lvbench,mdp3_8,"[1, 2, 4, 24, 26, 43, 46, 55]"
lvbench:1097,lvbench,plain_dpp_8,"[1, 2, 18, 24, 26, 43, 46, 55]"
lvbench:1098,lvbench,mdp3_8,"[3, 4, 22, 25, 52, 54, 55, 61]"
lvbench:1098,lvbench,plain_dpp_8,"[2, 3, 22, 25, 34, 36, 54, 55]"
lvbench:1099,lvbench,mdp3_8,"[2, 15, 16, 24, 31, 43, 55, 61]"
lvbench:1099,lvbench,plain_dpp_8,"[2, 13, 15, 16, 24, 31, 55, 61]"
lvbench:1102,lvbench,mdp3_8,"[0, 4, 8, 46, 52, 54, 55, 63]"
lvbench:1102,lvbench,plain_dpp_8,"[0, 8, 16, 18, 46, 52, 54, 55]"
lvbench:1114,lvbench,mdp3_8,"[4, 14, 18, 24, 31, 33, 37, 43]"
lvbench:1114,lvbench,plain_dpp_8,"[4, 14, 18, 21, 24, 31, 33, 37]"
lvbench:1115,lvbench,mdp3_8,"[4, 7, 14, 24, 31, 33, 36, 42]"
lvbench:1115,lvbench,plain_dpp_8,"[4, 7, 14, 24, 31, 33, 36, 42]"
lvbench:1123,lvbench,mdp3_8,"[14, 17, 20, 24, 31, 43, 47, 58]"
lvbench:1123,lvbench,plain_dpp_8,"[14, 17, 20, 24, 29, 31, 47, 58]"
lvbench:1125,lvbench,mdp3_8,"[2, 4, 12, 18, 21, 39, 42, 52]"
lvbench:1125,lvbench,plain_dpp_8,"[2, 4, 12, 18, 21, 39, 42, 52]"
lvbench:1128,lvbench,mdp3_8,"[4, 12, 15, 16, 36, 39, 42, 43]"
lvbench:1128,lvbench,plain_dpp_8,"[4, 12, 16, 29, 36, 39, 42, 43]"
lvbench:1129,lvbench,mdp3_8,"[4, 13, 14, 20, 33, 42, 58, 62]"
lvbench:1129,lvbench,plain_dpp_8,"[4, 13, 14, 20, 33, 42, 58, 62]"
lvbench:1130,lvbench,mdp3_8,"[4, 12, 14, 16, 18, 29, 33, 43]"
lvbench:1130,lvbench,plain_dpp_8,"[4, 12, 14, 18, 24, 29, 33, 40]"
lvbench:1132,lvbench,mdp3_8,"[0, 14, 16, 24, 29, 36, 39, 42]"
lvbench:1132,lvbench,plain_dpp_8,"[0, 14, 24, 29, 36, 37, 39, 42]"
lvbench:1137,lvbench,mdp3_8,"[2, 5, 16, 19, 29, 34, 38, 58]"
lvbench:1137,lvbench,plain_dpp_8,"[2, 5, 16, 19, 29, 34, 38, 58]"
lvbench:117,lvbench,mdp3_8,"[20, 24, 26, 28, 38, 40, 44, 61]"
lvbench:117,lvbench,plain_dpp_8,"[20, 24, 26, 28, 38, 40, 44, 61]"
lvbench:1180,lvbench,mdp3_8,"[17, 23, 25, 26, 27, 33, 35, 61]"
lvbench:1180,lvbench,plain_dpp_8,"[16, 17, 23, 25, 27, 28, 33, 35]"
lvbench:1192,lvbench,mdp3_8,"[1, 17, 26, 34, 45, 49, 50, 51]"
lvbench:1192,lvbench,plain_dpp_8,"[1, 33, 34, 35, 45, 49, 50, 51]"
lvbench:1225,lvbench,mdp3_8,"[1, 2, 6, 8, 28, 41, 43, 51]"
lvbench:1225,lvbench,plain_dpp_8,"[1, 2, 6, 7, 28, 34, 41, 51]"
lvbench:1229,lvbench,mdp3_8,"[6, 7, 8, 15, 26, 46, 48, 51]"
lvbench:1229,lvbench,plain_dpp_8,"[6, 7, 8, 15, 26, 33, 48, 51]"
lvbench:1234,lvbench,mdp3_8,"[2, 7, 14, 17, 43, 46, 47, 55]"
lvbench:1234,lvbench,plain_dpp_8,"[2, 6, 13, 14, 18, 43, 47, 55]"
lvbench:1240,lvbench,mdp3_8,"[2, 10, 13, 16, 43, 45, 47, 55]"
lvbench:1240,lvbench,plain_dpp_8,"[10, 13, 16, 42, 43, 45, 47, 55]"
lvbench:1246,lvbench,mdp3_8,"[2, 4, 12, 33, 34, 43, 52, 62]"
lvbench:1246,lvbench,plain_dpp_8,"[2, 4, 12, 24, 33, 34, 52, 62]"
lvbench:126,lvbench,mdp3_8,"[5, 12, 20, 25, 26, 34, 44, 53]"
lvbench:126,lvbench,plain_dpp_8,"[5, 12, 20, 25, 26, 34, 38, 44]"
lvbench:13,lvbench,mdp3_8,"[11, 16, 20, 21, 28, 35, 46, 56]"
lvbench:13,lvbench,plain_dpp_8,"[10, 12, 16, 19, 20, 21, 35, 56]"
lvbench:1320,lvbench,mdp3_8,"[2, 3, 18, 25, 34, 35, 42, 47]"
lvbench:1320,lvbench,plain_dpp_8,"[2, 3, 18, 25, 34, 35, 42, 47]"
lvbench:1322,lvbench,mdp3_8,"[2, 4, 8, 18, 25, 34, 41, 53]"
lvbench:1322,lvbench,plain_dpp_8,"[2, 4, 18, 25, 34, 41, 53, 59]"
lvbench:1323,lvbench,mdp3_8,"[2, 12, 14, 18, 25, 34, 47, 59]"
lvbench:1323,lvbench,plain_dpp_8,"[2, 3, 12, 14, 18, 25, 47, 59]"
lvbench:1326,lvbench,mdp3_8,"[2, 12, 18, 21, 25, 41, 53, 59]"
lvbench:1326,lvbench,plain_dpp_8,"[2, 15, 18, 21, 25, 41, 53, 59]"
lvbench:133,lvbench,mdp3_8,"[16, 19, 20, 22, 28, 45, 53, 61]"
lvbench:133,lvbench,plain_dpp_8,"[16, 19, 20, 22, 24, 28, 53, 61]"
lvbench:1330,lvbench,mdp3_8,"[2, 11, 18, 21, 25, 41, 58, 59]"
lvbench:1330,lvbench,plain_dpp_8,"[2, 4, 11, 18, 21, 47, 59, 60]"
lvbench:1348,lvbench,mdp3_8,"[3, 4, 16, 19, 20, 59, 62, 63]"
lvbench:1348,lvbench,plain_dpp_8,"[3, 4, 16, 19, 20, 34, 62, 63]"
lvbench:135,lvbench,mdp3_8,"[2, 16, 19, 20, 53, 55, 59, 61]"
lvbench:135,lvbench,plain_dpp_8,"[17, 20, 24, 37, 40, 53, 59, 61]"
lvbench:1352,lvbench,mdp3_8,"[17, 19, 21, 22, 23, 27, 39, 41]"
lvbench:1352,lvbench,plain_dpp_8,"[17, 19, 21, 22, 23, 27, 28, 41]"
lvbench:1354,lvbench,mdp3_8,"[12, 16, 17, 19, 31, 41, 51, 60]"
lvbench:1354,lvbench,plain_dpp_8,"[16, 17, 19, 31, 39, 41, 51, 60]"
lvbench:136,lvbench,mdp3_8,"[5, 8, 12, 20, 33, 40, 55, 61]"
lvbench:136,lvbench,plain_dpp_8,"[5, 8, 12, 16, 32, 40, 57, 61]"
lvbench:1360,lvbench,mdp3_8,"[0, 7, 17, 20, 41, 60, 62, 63]"
lvbench:1360,lvbench,plain_dpp_8,"[7, 17, 20, 21, 26, 41, 62, 63]"
lvbench:1364,lvbench,mdp3_8,"[0, 17, 19, 20, 41, 46, 62, 63]"
lvbench:1364,lvbench,plain_dpp_8,"[17, 19, 20, 21, 41, 46, 62, 63]"
lvbench:1420,lvbench,mdp3_8,"[8, 17, 31, 32, 39, 48, 51, 52]"
lvbench:1420,lvbench,plain_dpp_8,"[8, 31, 32, 39, 46, 48, 49, 52]"
lvbench:1425,lvbench,mdp3_8,"[6, 9, 12, 26, 33, 41, 44, 63]"
lvbench:1425,lvbench,plain_dpp_8,"[6, 9, 12, 26, 33, 41, 44, 63]"
lvbench:1433,lvbench,mdp3_8,"[17, 21, 42, 45, 48, 49, 52, 59]"
lvbench:1433,lvbench,plain_dpp_8,"[17, 39, 42, 45, 48, 49, 52, 59]"
lvbench:1436,lvbench,mdp3_8,"[2, 21, 27, 28, 38, 42, 56, 57]"
lvbench:1436,lvbench,plain_dpp_8,"[2, 12, 28, 29, 39, 42, 56, 57]"
lvbench:15,lvbench,mdp3_8,"[4, 14, 40, 42, 48, 52, 53, 60]"
lvbench:15,lvbench,plain_dpp_8,"[3, 14, 40, 42, 48, 52, 53, 60]"
lvbench:1558,lvbench,mdp3_8,"[10, 22, 23, 25, 26, 51, 53, 54]"
lvbench:1558,lvbench,plain_dpp_8,"[10, 12, 18, 22, 23, 26, 51, 54]"
lvbench:1562,lvbench,mdp3_8,"[7, 30, 32, 35, 43, 53, 55, 57]"
lvbench:1562,lvbench,plain_dpp_8,"[7, 18, 30, 31, 32, 35, 43, 57]"
lvbench:1569,lvbench,mdp3_8,"[1, 2, 13, 25, 28, 39, 50, 54]"
lvbench:1569,lvbench,plain_dpp_8,"[1, 2, 13, 16, 20, 28, 50, 54]"
lvbench:1572,lvbench,mdp3_8,"[6, 10, 22, 25, 34, 42, 46, 50]"
lvbench:1572,lvbench,plain_dpp_8,"[10, 34, 42, 46, 50, 51, 54, 57]"
lvbench:1583,lvbench,mdp3_8,"[7, 11, 19, 21, 26, 34, 39, 53]"
lvbench:1583,lvbench,plain_dpp_8,"[7, 11, 19, 21, 26, 39, 51, 62]"
lvbench:1586,lvbench,mdp3_8,"[8, 11, 12, 14, 18, 22, 46, 53]"
lvbench:1586,lvbench,plain_dpp_8,"[8, 11, 12, 14, 17, 18, 22, 46]"
lvbench:1589,lvbench,mdp3_8,"[8, 20, 25, 28, 29, 36, 38, 60]"
lvbench:1589,lvbench,plain_dpp_8,"[8, 20, 25, 28, 29, 38, 58, 60]"
lvbench:1591,lvbench,mdp3_8,"[0, 1, 7, 29, 51, 57, 58, 63]"
lvbench:1591,lvbench,plain_dpp_8,"[0, 1, 28, 29, 38, 51, 58, 63]"
lvbench:1596,lvbench,mdp3_8,"[7, 8, 16, 17, 32, 39, 45, 47]"
lvbench:1596,lvbench,plain_dpp_8,"[8, 16, 17, 31, 32, 39, 45, 47]"
lvbench:1601,lvbench,mdp3_8,"[0, 1, 4, 8, 24, 33, 54, 58]"
lvbench:1601,lvbench,plain_dpp_8,"[0, 4, 8, 24, 33, 51, 54, 58]"
lvbench:1617,lvbench,mdp3_8,"[11, 12, 14, 26, 43, 48, 49, 56]"
lvbench:1617,lvbench,plain_dpp_8,"[12, 14, 26, 32, 35, 43, 49, 56]"
lvbench:1621,lvbench,mdp3_8,"[2, 11, 18, 22, 30, 35, 49, 57]"
