item_id,benchmark,condition,selected_candidate_indices
nextgqa:10109006686:3,nextgqa,mdp3_8,"[0, 14, 20, 28, 32, 44, 48, 63]"
nextgqa:10109006686:3,nextgqa,plain_dpp_8,"[0, 14, 17, 20, 37, 49, 61, 62]"
nextgqa:10128261054:2,nextgqa,mdp3_8,"[0, 8, 12, 14, 20, 50, 59, 61]"
nextgqa:10128261054:2,nextgqa,plain_dpp_8,"[4, 8, 12, 14, 20, 52, 59, 61]"
nextgqa:10128261054:6,nextgqa,mdp3_8,"[0, 8, 12, 18, 20, 50, 60, 62]"
nextgqa:10128261054:6,nextgqa,plain_dpp_8,"[11, 12, 14, 20, 26, 54, 57, 61]"
nextgqa:10173643695:5,nextgqa,mdp3_8,"[0, 2, 13, 20, 28, 38, 45, 47]"
nextgqa:10173643695:5,nextgqa,plain_dpp_8,"[0, 2, 13, 20, 28, 38, 45, 47]"
nextgqa:10173643695:8,nextgqa,mdp3_8,"[0, 1, 13, 19, 20, 38, 45, 47]"
nextgqa:10173643695:8,nextgqa,plain_dpp_8,"[0, 1, 13, 19, 20, 38, 45, 47]"
nextgqa:10278239024:2,nextgqa,mdp3_8,"[5, 8, 37, 39, 46, 48, 53, 60]"
nextgqa:10278239024:2,nextgqa,plain_dpp_8,"[8, 24, 37, 39, 41, 46, 48, 60]"
nextgqa:10316970886:3,nextgqa,mdp3_8,"[0, 7, 11, 13, 19, 27, 34, 44]"
nextgqa:10316970886:3,nextgqa,plain_dpp_8,"[0, 6, 11, 13, 23, 27, 34, 60]"
nextgqa:10400848434:2,nextgqa,mdp3_8,"[0, 5, 13, 23, 28, 34, 58, 61]"
nextgqa:10400848434:2,nextgqa,plain_dpp_8,"[0, 12, 13, 22, 28, 35, 38, 61]"
nextgqa:10467727335:4,nextgqa,mdp3_8,"[0, 3, 9, 15, 19, 22, 39, 60]"
nextgqa:10467727335:4,nextgqa,plain_dpp_8,"[0, 3, 10, 15, 16, 19, 22, 40]"
nextgqa:10483027904:9,nextgqa,mdp3_8,"[0, 4, 21, 23, 37, 38, 41, 60]"
nextgqa:10483027904:9,nextgqa,plain_dpp_8,"[0, 11, 21, 23, 37, 38, 41, 60]"
nextgqa:10488004303:9,nextgqa,mdp3_8,"[11, 29, 31, 47, 50, 54, 57, 63]"
nextgqa:10488004303:9,nextgqa,plain_dpp_8,"[6, 11, 45, 47, 49, 54, 57, 63]"
nextgqa:10495085476:4,nextgqa,mdp3_8,"[2, 8, 23, 27, 31, 35, 36, 56]"
nextgqa:10495085476:4,nextgqa,plain_dpp_8,"[2, 8, 23, 25, 27, 31, 42, 51]"
nextgqa:10640925015:0,nextgqa,mdp3_8,"[1, 5, 20, 26, 40, 45, 56, 62]"
nextgqa:10640925015:0,nextgqa,plain_dpp_8,"[1, 8, 20, 26, 41, 54, 56, 61]"
nextgqa:10682218035:5,nextgqa,mdp3_8,"[6, 18, 20, 27, 33, 35, 40, 56]"
nextgqa:10682218035:5,nextgqa,plain_dpp_8,"[5, 6, 18, 20, 26, 27, 34, 35]"
nextgqa:10734790773:4,nextgqa,mdp3_8,"[0, 6, 11, 12, 16, 30, 35, 48]"
nextgqa:10734790773:4,nextgqa,plain_dpp_8,"[0, 6, 11, 12, 16, 30, 40, 48]"
nextgqa:10747331063:2,nextgqa,mdp3_8,"[0, 1, 3, 13, 22, 24, 40, 55]"
nextgqa:10747331063:2,nextgqa,plain_dpp_8,"[0, 1, 3, 13, 24, 29, 41, 55]"
nextgqa:10985344225:6,nextgqa,mdp3_8,"[3, 10, 19, 29, 31, 36, 42, 61]"
nextgqa:10985344225:6,nextgqa,plain_dpp_8,"[3, 9, 13, 29, 31, 36, 42, 43]"
nextgqa:11019529085:1,nextgqa,mdp3_8,"[0, 7, 15, 23, 25, 28, 44, 63]"
nextgqa:11019529085:1,nextgqa,plain_dpp_8,"[0, 3, 7, 15, 24, 34, 43, 63]"
nextgqa:11169386614:3,nextgqa,mdp3_8,"[9, 17, 19, 23, 24, 36, 45, 51]"
nextgqa:11169386614:3,nextgqa,plain_dpp_8,"[5, 9, 17, 19, 23, 24, 26, 30]"
nextgqa:11169386614:5,nextgqa,mdp3_8,"[0, 5, 8, 10, 21, 30, 36, 40]"
