metric,new_selector,comparator,settings,macro_estimate,ci_low,ci_high
gold_vs_rest_logodds,mdp3_8,uniform8,18,0.33812258994518224,0.2307432154392441,0.45358981105942997
gold_vs_rest_logodds,mdp3_8,siglip_relevance8,18,0.2566490394016974,0.15705024285357627,0.35743076219862463
gold_vs_rest_logodds,mdp3_8,siglip_dino_submodular8,18,0.16709198024727281,0.08600284366819663,0.24740166944124203
gold_vs_rest_logodds,mdp3_8,bolt_its8,18,0.17281285366415686,0.0652433820861184,0.285324618030639
gold_vs_rest_logodds,plain_dpp_8,uniform8,18,0.351742779426189,0.2466175691017407,0.4617462188753292
gold_vs_rest_logodds,plain_dpp_8,siglip_relevance8,18,0.27026922888270416,0.16571827965986224,0.376473837225964
gold_vs_rest_logodds,plain_dpp_8,siglip_dino_submodular8,18,0.18071216972827953,0.09573156200834702,0.26683968409962605
gold_vs_rest_logodds,plain_dpp_8,bolt_its8,18,0.18643304314516365,0.07699704555207192,0.30037957672550936
correct,mdp3_8,uniform8,18,0.028160568350089486,0.014280045306518713,0.04219852697651195
correct,mdp3_8,siglip_relevance8,18,0.01782399883067207,0.005215146309140725,0.030480390973853848
correct,mdp3_8,siglip_dino_submodular8,18,0.012076661325542023,0.0009461477114757762,0.023191389944793913
correct,mdp3_8,bolt_its8,18,0.011910231416173804,-0.000953220165526351,0.024956429902024103
correct,plain_dpp_8,uniform8,18,0.03180122588666921,0.018203967220833676,0.04545024722452188
correct,plain_dpp_8,siglip_relevance8,18,0.021464656367251797,0.008758338357569945,0.03410643088226708
correct,plain_dpp_8,siglip_dino_submodular8,18,0.01571731886212175,0.004683031425631251,0.02680649050625167
correct,plain_dpp_8,bolt_its8,18,0.015550888952753531,0.002527732908356796,0.028788923618386843
