model,benchmark,metric,new_selector,comparator,items,source_video_clusters,equal_video_estimate,ci_low,ci_high,p_two_sided,p_bh_within_metric
internvl35_38b,herbench,gold_vs_rest_logodds,mdp3_8,uniform8,500,49,0.1847432866862681,0.029334338775824125,0.3573291906864944,0.029097090290970903,0.06868821314589851
internvl35_38b,lvbench,gold_vs_rest_logodds,mdp3_8,uniform8,500,103,0.4572008593258793,0.2509471014249149,0.6752618911939524,9.999000099990002e-05,0.0017998200179982003
internvl35_38b,nextgqa,gold_vs_rest_logodds,mdp3_8,uniform8,495,380,0.08824658060542082,-0.05955324971328631,0.2335832635980421,0.24027597240275972,0.353058571693851
internvl35_8b,herbench,gold_vs_rest_logodds,mdp3_8,uniform8,500,49,0.06112354820741466,-0.10842619812292731,0.2534666074071554,0.5513448655134486,0.6964356195959351
internvl35_8b,lvbench,gold_vs_rest_logodds,mdp3_8,uniform8,500,103,0.5567918018071605,0.322866604126283,0.8041109966219319,9.999000099990002e-05,0.0017998200179982003
internvl35_8b,nextgqa,gold_vs_rest_logodds,mdp3_8,uniform8,495,380,0.019756987321460223,-0.12358066227879559,0.17078162958702695,0.7902209779022098,0.8821071381233969
perception_lm_8b,herbench,gold_vs_rest_logodds,mdp3_8,uniform8,500,49,0.29457245017603734,0.09310867263433635,0.5140068565779518,0.007599240075992401,0.031265444884083025
perception_lm_8b,lvbench,gold_vs_rest_logodds,mdp3_8,uniform8,500,103,0.6158229803940075,0.3404327699581375,0.9186302398699271,0.00029997000299970003,0.004319568043195681
perception_lm_8b,nextgqa,gold_vs_rest_logodds,mdp3_8,uniform8,495,380,0.19321566589899908,0.02301971688449037,0.36566280585667293,0.025897410258974102,0.06529002272186575
qwen3_vl_32b,herbench,gold_vs_rest_logodds,mdp3_8,uniform8,500,49,0.35158084558177344,0.051088822978283877,0.6657855117078487,0.028497150284971504,0.06868821314589851
qwen3_vl_32b,lvbench,gold_vs_rest_logodds,mdp3_8,uniform8,500,103,1.1745891617860307,0.6399434090995043,1.7157963840599488,9.999000099990002e-05,0.0017998200179982003
