model,benchmark,items,identical_selections,identical_logodds,identical_correctness
internvl35_38b,herbench,500,500,500,500
internvl35_38b,lvbench,500,500,500,500
internvl35_38b,nextgqa,495,495,495,495
internvl35_8b,herbench,500,500,500,500
internvl35_8b,lvbench,500,500,500,500
internvl35_8b,nextgqa,495,495,495,495
perception_lm_8b,herbench,500,500,500,500
perception_lm_8b,lvbench,500,500,500,500
perception_lm_8b,nextgqa,495,495,495,495
qwen3_vl_32b,herbench,500,500,500,500
qwen3_vl_32b,lvbench,500,500,500,500
qwen3_vl_32b,nextgqa,495,495,495,495
qwen3_vl_4b,herbench,500,500,500,500
qwen3_vl_4b,lvbench,500,500,500,500
qwen3_vl_4b,nextgqa,495,495,495,495
videollama3_7b,herbench,500,500,500,500
videollama3_7b,lvbench,500,500,500,500
videollama3_7b,nextgqa,495,495,495,495
