benchmark,item_id,evidence_candidates,candidate_pool_evidence_fraction
herbench,herbench:AC_111,3,0.046875
herbench,herbench:AC_135,2,0.03125
herbench,herbench:AC_1419,3,0.046875
herbench,herbench:AC_1423,3,0.046875
herbench,herbench:AC_1515,2,0.03125
herbench,herbench:AC_1576,2,0.03125
herbench,herbench:AC_1645,1,0.015625
herbench,herbench:AC_1947,2,0.03125
herbench,herbench:AC_2665,0,0.0
herbench,herbench:AC_276,3,0.046875
herbench,herbench:AC_325,1,0.015625
herbench,herbench:AC_3301,1,0.015625
herbench,herbench:AC_3484,0,0.0
herbench,herbench:AC_356,1,0.015625
herbench,herbench:AC_3767,3,0.046875
herbench,herbench:AC_3833,3,0.046875
herbench,herbench:AC_477,1,0.015625
herbench,herbench:AC_5427,1,0.015625
herbench,herbench:AC_5732,1,0.015625
herbench,herbench:AC_6235,3,0.046875
herbench,herbench:AC_6478,0,0.0
herbench,herbench:AC_7269,0,0.0
herbench,herbench:AC_750,3,0.046875
herbench,herbench:AC_7878,1,0.015625
herbench,herbench:AC_8325,1,0.015625
herbench,herbench:AC_8327,2,0.03125
herbench,herbench:AC_8472,3,0.046875
herbench,herbench:AC_8518,0,0.0
herbench,herbench:AC_8531,1,0.015625
herbench,herbench:AC_8561,2,0.03125
herbench,herbench:AC_8562,2,0.03125
herbench,herbench:AC_8569,2,0.03125
herbench,herbench:AC_8581,2,0.03125
herbench,herbench:AC_8584,0,0.0
herbench,herbench:AC_8596,0,0.0
herbench,herbench:AC_8623,3,0.046875
herbench,herbench:AC_8630,1,0.015625
herbench,herbench:AC_8634,1,0.015625
herbench,herbench:AC_8639,1,0.015625
herbench,herbench:AC_8658,3,0.046875
herbench,herbench:AC_8670,3,0.046875
herbench,herbench:AC_8677,0,0.0
herbench,herbench:AC_8701,2,0.03125
herbench,herbench:AC_8709,1,0.015625
herbench,herbench:AC_8729,0,0.0
herbench,herbench:AC_8731,1,0.015625
herbench,herbench:AC_8743,2,0.03125
herbench,herbench:AC_8753,1,0.015625
herbench,herbench:AC_8768,1,0.015625
herbench,herbench:AC_8779,1,0.015625
herbench,herbench:AC_8791,0,0.0
herbench,herbench:AC_8795,0,0.0
herbench,herbench:AC_8800,0,0.0
herbench,herbench:AC_8803,0,0.0
herbench,herbench:AC_8863,0,0.0
herbench,herbench:AC_8868,0,0.0
herbench,herbench:AC_8882,3,0.046875
herbench,herbench:AC_8893,0,0.0
herbench,herbench:AC_8898,3,0.046875
herbench,herbench:AC_8916,0,0.0
herbench,herbench:AC_8946,0,0.0
herbench,herbench:AC_8991,0,0.0
herbench,herbench:AC_9028,0,0.0
herbench,herbench:AC_9031,0,0.0
herbench,herbench:AC_993,1,0.015625
herbench,herbench:AC_996,1,0.015625
herbench,herbench:ASII_10277,1,0.015625
herbench,herbench:ASII_10481,0,0.0
herbench,herbench:ASII_10959,1,0.015625
herbench,herbench:ASII_11121,1,0.015625
herbench,herbench:ASII_11213,1,0.015625
herbench,herbench:ASII_11569,3,0.046875
herbench,herbench:ASII_11726,3,0.046875
herbench,herbench:ASII_12178,1,0.015625
herbench,herbench:ASII_12578,1,0.015625
herbench,herbench:ASII_12682,0,0.0
herbench,herbench:ASII_12941,0,0.0
herbench,herbench:ASII_13018,3,0.046875
herbench,herbench:ASII_13134,1,0.015625
herbench,herbench:ASII_13295,1,0.015625
herbench,herbench:ASII_13792,1,0.015625
herbench,herbench:ASII_14392,1,0.015625
herbench,herbench:ASII_14494,1,0.015625
herbench,herbench:ASII_14912,1,0.015625
herbench,herbench:ASII_14919,1,0.015625
herbench,herbench:ASII_14963,1,0.015625
herbench,herbench:ASII_15124,2,0.03125
herbench,herbench:ASII_15343,1,0.015625
herbench,herbench:ASII_15659,3,0.046875
herbench,herbench:ASII_15866,0,0.0
herbench,herbench:ASII_16038,0,0.0
herbench,herbench:ASII_16228,1,0.015625
herbench,herbench:ASII_16543,1,0.015625
herbench,herbench:ASII_16600,1,0.015625
herbench,herbench:ASII_16769,1,0.015625
herbench,herbench:ASII_16926,0,0.0
herbench,herbench:ASII_16992,0,0.0
herbench,herbench:ASII_17066,1,0.015625
herbench,herbench:ASII_17173,0,0.0
herbench,herbench:ASII_17250,1,0.015625
herbench,herbench:ASII_17279,0,0.0
herbench,herbench:ASII_17340,0,0.0
herbench,herbench:ASII_17759,2,0.03125
herbench,herbench:ASII_17810,3,0.046875
herbench,herbench:ASII_17839,1,0.015625
herbench,herbench:ASII_17898,1,0.015625
herbench,herbench:ASII_17957,2,0.03125
herbench,herbench:ASII_18054,2,0.03125
herbench,herbench:ASII_18442,1,0.015625
herbench,herbench:ASII_18568,0,0.0
herbench,herbench:ASII_18702,1,0.015625
herbench,herbench:ASII_18756,0,0.0
herbench,herbench:ASII_18959,3,0.046875
