model,benchmark,analysis,evidence_minus_outside_gap,records,cell_p99_threshold
internvl35_38b,herbench,raw,0.2691429308389003,3000,2.366481953263273
internvl35_38b,herbench,winsorized_at_cell_p99,0.2540790115746233,3000,2.366481953263273
internvl35_38b,herbench,trimmed_at_cell_p99,0.2180961553393529,2970,2.366481953263273
internvl35_38b,herbench,exclude_abs_interaction_gt_10,0.2691429308389003,3000,2.366481953263273
internvl35_38b,lvbench,raw,0.6313676306748733,3000,5.782304624958763
internvl35_38b,lvbench,winsorized_at_cell_p99,0.6083532095832164,3000,5.782304624958763
internvl35_38b,lvbench,trimmed_at_cell_p99,0.5065262155026047,2970,5.782304624958763
internvl35_38b,lvbench,exclude_abs_interaction_gt_10,0.6313676306748733,3000,5.782304624958763
internvl35_38b,nextgqa,raw,0.4637254652201476,3000,5.564311071247855
internvl35_38b,nextgqa,winsorized_at_cell_p99,0.44784305253651835,3000,5.564311071247855
internvl35_38b,nextgqa,trimmed_at_cell_p99,0.3710601452058395,2970,5.564311071247855
internvl35_38b,nextgqa,exclude_abs_interaction_gt_10,0.471143610530832,2999,5.564311071247855
internvl35_8b,herbench,raw,0.2046649483050763,3000,2.2948492907360185
internvl35_8b,herbench,winsorized_at_cell_p99,0.19736545975801695,3000,2.2948492907360185
internvl35_8b,herbench,trimmed_at_cell_p99,0.17562247072855042,2970,2.2948492907360185
internvl35_8b,herbench,exclude_abs_interaction_gt_10,0.2046649483050763,3000,2.2948492907360185
internvl35_8b,lvbench,raw,0.7017817608306989,3000,6.292812039740358
internvl35_8b,lvbench,winsorized_at_cell_p99,0.6538112661905895,3000,6.292812039740358
internvl35_8b,lvbench,trimmed_at_cell_p99,0.5434482154167304,2970,6.292812039740358
internvl35_8b,lvbench,exclude_abs_interaction_gt_10,0.64638686715382,2992,6.292812039740358
internvl35_8b,nextgqa,raw,0.38024610066632103,3000,4.464097994016464
internvl35_8b,nextgqa,winsorized_at_cell_p99,0.3437634144748535,3000,4.464097994016464
internvl35_8b,nextgqa,trimmed_at_cell_p99,0.2828976802023337,2970,4.464097994016464
internvl35_8b,nextgqa,exclude_abs_interaction_gt_10,0.3595457255087558,2995,4.464097994016464
perception_lm_8b,herbench,raw,0.24721230115320458,3000,2.482070955820379
perception_lm_8b,herbench,winsorized_at_cell_p99,0.2344055155956613,3000,2.482070955820379
perception_lm_8b,herbench,trimmed_at_cell_p99,0.20546762648646655,2970,2.482070955820379
perception_lm_8b,herbench,exclude_abs_interaction_gt_10,0.24721230115320458,3000,2.482070955820379
perception_lm_8b,lvbench,raw,0.7131329983159529,3000,6.630868023313065
perception_lm_8b,lvbench,winsorized_at_cell_p99,0.6582147424663998,3000,6.630868023313065
perception_lm_8b,lvbench,trimmed_at_cell_p99,0.5405191924565784,2970,6.630868023313065
perception_lm_8b,lvbench,exclude_abs_interaction_gt_10,0.6520968096774441,2992,6.630868023313065
perception_lm_8b,nextgqa,raw,0.44816749865216854,3000,5.875259014043603
perception_lm_8b,nextgqa,winsorized_at_cell_p99,0.39725554112402517,3000,5.875259014043603
perception_lm_8b,nextgqa,trimmed_at_cell_p99,0.2997201624154615,2970,5.875259014043603
perception_lm_8b,nextgqa,exclude_abs_interaction_gt_10,0.39353266004763154,2991,5.875259014043603
qwen3_vl_32b,herbench,raw,0.5856590781402409,3000,4.804233831576826
qwen3_vl_32b,herbench,winsorized_at_cell_p99,0.5467587353013758,3000,4.804233831576826
qwen3_vl_32b,herbench,trimmed_at_cell_p99,0.468697643421236,2970,4.804233831576826
qwen3_vl_32b,herbench,exclude_abs_interaction_gt_10,0.564681818613105,2997,4.804233831576826
qwen3_vl_32b,lvbench,raw,2.2366670773260773,3000,17.479233754630783
