model,benchmark,cluster_fraction,clusters_total,clusters_per_subsample,full_sample_estimate,subsample_mean,subsample_ci_low,subsample_ci_high,fraction_subsamples_positive,subsample_draws
internvl35_38b,herbench,0.25,49,13,0.26191540926341944,0.26167630045497925,0.18089018160865789,0.35374700640701084,1.0,2000
internvl35_38b,herbench,0.5,49,25,0.26191540926341944,0.26197102192528415,0.21131825171477672,0.3140740522891109,1.0,2000
internvl35_38b,herbench,0.75,49,37,0.26191540926341944,0.2619433097292538,0.23101542497951652,0.28939463908328517,1.0,2000
internvl35_38b,herbench,1.0,49,49,0.26191540926341944,0.2619154092634194,0.26191540926341944,0.26191540926341944,1.0,2000
internvl35_38b,lvbench,0.25,103,26,0.684295066227474,0.6815097880749829,0.46084024918643013,0.9111543246638102,1.0,2000
internvl35_38b,lvbench,0.5,103,52,0.684295066227474,0.6841045400552241,0.5453318696657892,0.8167534119462072,1.0,2000
internvl35_38b,lvbench,0.75,103,78,0.684295066227474,0.6870537015697146,0.6077077653808477,0.756956276775257,1.0,2000
internvl35_38b,lvbench,1.0,103,103,0.684295066227474,0.6842950662274739,0.684295066227474,0.684295066227474,1.0,2000
internvl35_38b,nextgqa,0.25,384,96,0.4743667843883901,0.4763306043370393,0.33186232884479216,0.6396461651351777,1.0,2000
internvl35_38b,nextgqa,0.5,384,192,0.4743667843883901,0.4736522327191077,0.3876362194590393,0.5624163259001422,1.0,2000
internvl35_38b,nextgqa,0.75,384,288,0.4743667843883901,0.4739209102659679,0.41955073574115814,0.5240364290870689,1.0,2000
internvl35_38b,nextgqa,1.0,384,384,0.4743667843883901,0.4743667843883903,0.4743667843883901,0.4743667843883901,1.0,2000
internvl35_8b,herbench,0.25,49,13,0.20463654521365582,0.2030555107313595,0.13645073937844826,0.2772886264034546,1.0,2000
internvl35_8b,herbench,0.5,49,25,0.20463654521365582,0.2052039995276748,0.16370682355131055,0.2466055209586253,1.0,2000
internvl35_8b,herbench,0.75,49,37,0.20463654521365582,0.20402714895630056,0.17770817279692727,0.22626896041269604,1.0,2000
internvl35_8b,herbench,1.0,49,49,0.20463654521365582,0.20463654521365582,0.20463654521365582,0.20463654521365582,1.0,2000
internvl35_8b,lvbench,0.25,103,26,0.7365071602927543,0.7412580492907576,0.46950409933541504,1.0376352619028657,1.0,2000
internvl35_8b,lvbench,0.5,103,52,0.7365071602927543,0.7393780802350308,0.5894918338710369,0.9053826644480822,1.0,2000
