model,benchmark,selector,accuracy,mean_logodds
internvl35_38b,herbench,siglip_dino_submodular8,0.498,-0.6010971388760954
internvl35_38b,herbench,bolt_its8,0.51,-0.5532435655118898
internvl35_38b,herbench,siglip_relevance8,0.516,-0.6045112220121082
internvl35_38b,herbench,random8,0.498,-0.5612783973067998
internvl35_38b,herbench,uniform8,0.478,-0.6481319285100325
internvl35_38b,herbench,dino_diversity8,0.516,-0.6454388464717195
internvl35_38b,herbench,dino_change8,0.476,-0.6726624938277528
internvl35_38b,lvbench,siglip_dino_submodular8,0.47,-0.4578816919222872
internvl35_38b,lvbench,bolt_its8,0.416,-0.5723822804064984
internvl35_38b,lvbench,siglip_relevance8,0.454,-0.48990990661676187
internvl35_38b,lvbench,random8,0.398,-0.7034110622355983
internvl35_38b,lvbench,uniform8,0.404,-0.7381739581503457
internvl35_38b,lvbench,dino_diversity8,0.378,-0.811475201147598
internvl35_38b,lvbench,dino_change8,0.388,-0.6760033083993694
internvl35_38b,nextgqa,siglip_dino_submodular8,0.8303030303030303,3.6024626768282237
internvl35_38b,nextgqa,bolt_its8,0.8161616161616162,3.673030675330327
internvl35_38b,nextgqa,siglip_relevance8,0.8161616161616162,3.57590126154056
internvl35_38b,nextgqa,random8,0.8121212121212121,3.554310958630148
internvl35_38b,nextgqa,uniform8,0.8242424242424242,3.5709187843343564
internvl35_38b,nextgqa,dino_diversity8,0.8080808080808081,3.414613485286346
internvl35_38b,nextgqa,dino_change8,0.806060606060606,3.3389821240443185
internvl35_8b,herbench,siglip_dino_submodular8,0.442,-0.7381621174756438
internvl35_8b,herbench,bolt_its8,0.484,-0.610301831034245
internvl35_8b,herbench,siglip_relevance8,0.458,-0.6785975186439464
internvl35_8b,herbench,random8,0.484,-0.6722777746921347
internvl35_8b,herbench,uniform8,0.47,-0.7547085552290081
internvl35_8b,herbench,dino_diversity8,0.488,-0.6838175513338065
internvl35_8b,herbench,dino_change8,0.458,-0.6893547221910848
internvl35_8b,lvbench,siglip_dino_submodular8,0.386,-0.655508009276412
internvl35_8b,lvbench,bolt_its8,0.366,-0.7656761700215993
internvl35_8b,lvbench,siglip_relevance8,0.372,-0.6709677176665418
internvl35_8b,lvbench,random8,0.338,-0.9352398323454454
internvl35_8b,lvbench,uniform8,0.32,-1.0221408648908046
internvl35_8b,lvbench,dino_diversity8,0.338,-1.0065553875008737
internvl35_8b,lvbench,dino_change8,0.344,-0.8817015303211829
internvl35_8b,nextgqa,siglip_dino_submodular8,0.7818181818181819,2.8788598184654655
internvl35_8b,nextgqa,bolt_its8,0.7878787878787878,2.946708001400885
internvl35_8b,nextgqa,siglip_relevance8,0.7575757575757576,2.834446920005831
internvl35_8b,nextgqa,random8,0.7656565656565657,2.8463417711339543
internvl35_8b,nextgqa,uniform8,0.7858585858585858,2.880404359285144
internvl35_8b,nextgqa,dino_diversity8,0.7656565656565657,2.764284662667163
internvl35_8b,nextgqa,dino_change8,0.7696969696969697,2.8009765584812216
perception_lm_8b,herbench,siglip_dino_submodular8,0.326,-1.5626720659700222
perception_lm_8b,herbench,bolt_its8,0.338,-1.5744130244003027
perception_lm_8b,herbench,siglip_relevance8,0.32,-1.749908164914901
perception_lm_8b,herbench,random8,0.356,-1.4893619687252795
perception_lm_8b,herbench,uniform8,0.32,-1.552799576695892
perception_lm_8b,herbench,dino_diversity8,0.348,-1.4174977127440507
perception_lm_8b,herbench,dino_change8,0.322,-1.6102513209461466
perception_lm_8b,lvbench,siglip_dino_submodular8,0.41,-0.7554485410264415
perception_lm_8b,lvbench,bolt_its8,0.396,-0.8297377303684843
perception_lm_8b,lvbench,siglip_relevance8,0.398,-0.7456694516077369
perception_lm_8b,lvbench,random8,0.358,-0.9841954832443544
perception_lm_8b,lvbench,uniform8,0.372,-1.1272323578983905
perception_lm_8b,lvbench,dino_diversity8,0.33,-1.2362612581680241
perception_lm_8b,lvbench,dino_change8,0.372,-1.0438785425367987
perception_lm_8b,nextgqa,siglip_dino_submodular8,0.7676767676767676,3.427458946622358
perception_lm_8b,nextgqa,bolt_its8,0.7454545454545455,3.446973850443626
perception_lm_8b,nextgqa,siglip_relevance8,0.7414141414141414,3.2080147975223636
perception_lm_8b,nextgqa,random8,0.7474747474747475,3.2874021810823533
perception_lm_8b,nextgqa,uniform8,0.7494949494949495,3.285837920593409
perception_lm_8b,nextgqa,dino_diversity8,0.7656565656565657,3.2474158800430986
perception_lm_8b,nextgqa,dino_change8,0.7393939393939394,3.236862797400025
qwen3_vl_32b,herbench,siglip_dino_submodular8,0.486,-0.683504247327914
qwen3_vl_32b,herbench,bolt_its8,0.504,-0.37440249348023985
qwen3_vl_32b,herbench,siglip_relevance8,0.494,-0.5627048684485947
