item_id,source_video_id,scheme,stratum,benchmark
herbench:AC_3833,P05-20240427-150402,native,Action Counting,herbench
herbench:TSO_0598,Furious 7 - Official Trailer HD,native,Temporal Shot Ordering,herbench
herbench:AC_8731,P02-20240211-100250,native,Action Counting,herbench
herbench:ASII_17957,P06-20240510-121619,native,Action Sequence Integrity Identification,herbench
herbench:AC_8325,P04-20240414-064514,native,Action Counting,herbench
herbench:FOM_401481,P07-20240529-191007,native,False Object Memory,herbench
herbench:AC_8327,P01-20240203-130505,native,Action Counting,herbench
herbench:FAM_436537,P07-20240529-102652,native,False Action Memory,herbench
herbench:FOM_331794,P07-20240529-102652,native,False Object Memory,herbench
herbench:AC_5427,P04-20240414-162242,native,Action Counting,herbench
herbench:TSO_0595,Furious 7 - Official Trailer HD,native,Temporal Shot Ordering,herbench
herbench:SVA_2061,Into the Wild 2007 Trailer 1 Movieclips Classic Trailers,native,Scene Verification & Arrangement,herbench
herbench:TSO_0696,Groundhog Day Trailer HD,native,Temporal Shot Ordering,herbench
herbench:ASII_11569,P01-20240203-121517,native,Action Sequence Integrity Identification,herbench
herbench:TSO_0928,Jurassic Park Trailer,native,Temporal Shot Ordering,herbench
herbench:ASII_17759,P06-20240510-121619,native,Action Sequence Integrity Identification,herbench
herbench:SVA_1411,Furious 7 - Official Trailer HD,native,Scene Verification & Arrangement,herbench
herbench:FAM_436544,P01-20240204-120411,native,False Action Memory,herbench
herbench:TSO_0864,Into the Wild 2007 Trailer 1 Movieclips Classic Trailers,native,Temporal Shot Ordering,herbench
herbench:FOM_379862,P04-20240415-175615,native,False Object Memory,herbench
herbench:SVA_4976,Toy Story 3 Official Trailer HD,native,Scene Verification & Arrangement,herbench
herbench:FOM_388695,P07-20240529-194518,native,False Object Memory,herbench
herbench:SVA_1642,Groundhog Day Trailer HD,native,Scene Verification & Arrangement,herbench
herbench:AC_8581,P06-20240511-121048,native,Action Counting,herbench
herbench:FAM_426540,P07-20240529-102652,native,False Action Memory,herbench
herbench:ASII_9462,P09-20240623-153253,native,Action Sequence Integrity Identification,herbench
herbench:FOM_339493,P04-20240414-162242,native,False Object Memory,herbench
herbench:SVA_1424,Furious 7 - Official Trailer HD,native,Scene Verification & Arrangement,herbench
herbench:SVA_3399,Singin in the Rain 1952 Official Trailer - Gene Kelly Debbie Reynolds Movie HD,native,Scene Verification & Arrangement,herbench
herbench:FAM_314685,P01-20240203-121517,native,False Action Memory,herbench
herbench:SVA_5140,Werner Herzog Reads Curious George,native,Scene Verification & Arrangement,herbench
herbench:ASII_19156,P09-20240624-160737,native,Action Sequence Integrity Identification,herbench
herbench:TSO_0908,John Wick Official Trailer 1 2014 - Keanu Reeves Willem Dafoe Movie HD,native,Temporal Shot Ordering,herbench
herbench:SVA_2420,Marvel Studios Avengers - Endgame - Official Trailer,native,Scene Verification & Arrangement,herbench
herbench:FAM_436488,P03-20240217-192543,native,False Action Memory,herbench
herbench:SVA_2407,Marvel Studios Avengers - Endgame - Official Trailer,native,Scene Verification & Arrangement,herbench
herbench:SVA_2092,Into the Wild 2007 Trailer 1 Movieclips Classic Trailers,native,Scene Verification & Arrangement,herbench
herbench:FOM_22,P01-20240202-161354,native,False Object Memory,herbench
herbench:SVA_3210,Se7en 1995 Official Trailer - Brad Pitt Morgan Freeman Movie HD,native,Scene Verification & Arrangement,herbench
herbench:TSO_2137,Werner Herzog Reads Curious George,native,Temporal Shot Ordering,herbench
herbench:AC_477,P02-20240211-104948,native,Action Counting,herbench
herbench:AC_135,P01-20240203-130505,native,Action Counting,herbench
herbench:FAM_436542,P07-20240531-201703,native,False Action Memory,herbench
herbench:AC_111,P01-20240203-121517,native,Action Counting,herbench
herbench:FAM_354756,P09-20240624-160737,native,False Action Memory,herbench
herbench:FAM_196595,P01-20240202-161354,native,False Action Memory,herbench
herbench:AC_8743,P09-20240622-162302,native,Action Counting,herbench
herbench:AC_1645,P07-20240529-191007,native,Action Counting,herbench
herbench:AC_8584,P01-20240202-161354,native,Action Counting,herbench
herbench:AC_750,P03-20240217-152152,native,Action Counting,herbench
herbench:FOM_1845,P07-20240529-191007,native,False Object Memory,herbench
herbench:SVA_4821,There Will Be Blood 2007 Official Trailer - Daniel Day-Lewis Paul Dano Movie HD,native,Scene Verification & Arrangement,herbench
herbench:ASII_6663,P04-20240414-064514,native,Action Sequence Integrity Identification,herbench
herbench:AC_8753,P02-20240211-104948,native,Action Counting,herbench
herbench:SVA_5119,Werner Herzog Reads Curious George,native,Scene Verification & Arrangement,herbench
herbench:SVA_0599,Anchorman - The Legend of Ron Burgundy - Trailer,native,Scene Verification & Arrangement,herbench
herbench:SVA_2453,Marvel Studios Avengers - Endgame - Official Trailer,native,Scene Verification & Arrangement,herbench
herbench:SVA_4975,Toy Story 3 Official Trailer HD,native,Scene Verification & Arrangement,herbench
herbench:SVA_2493,Marvel s Guardians of the Galaxy - Trailer 1 OFFICIAL,native,Scene Verification & Arrangement,herbench
herbench:SVA_1436,Furious 7 - Official Trailer HD,native,Scene Verification & Arrangement,herbench
herbench:AC_1423,P05-20240427-150402,native,Action Counting,herbench
herbench:ASII_16992,P03-20240217-192543,native,Action Sequence Integrity Identification,herbench
herbench:FOM_358351,P07-20240529-194518,native,False Object Memory,herbench
herbench:FAM_83573,P01-20240204-120411,native,False Action Memory,herbench
herbench:TSO_0868,Into the Wild 2007 Trailer 1 Movieclips Classic Trailers,native,Temporal Shot Ordering,herbench
herbench:SVA_3818,Thank You for Your Service Trailer 1 2017 Movieclips Trailers,native,Scene Verification & Arrangement,herbench
herbench:SVA_3822,Thank You for Your Service Trailer 1 2017 Movieclips Trailers,native,Scene Verification & Arrangement,herbench
herbench:SVA_4318,The Longest Ride Official Trailer HD 20th Century FOX,native,Scene Verification & Arrangement,herbench
herbench:SVA_3204,Se7en 1995 Official Trailer - Brad Pitt Morgan Freeman Movie HD,native,Scene Verification & Arrangement,herbench
herbench:FAM_328841,P01-20240203-121517,native,False Action Memory,herbench
herbench:SVA_0582,Anchorman - The Legend of Ron Burgundy - Trailer,native,Scene Verification & Arrangement,herbench
herbench:SVA_1397,Furious 7 - Official Trailer HD,native,Scene Verification & Arrangement,herbench
herbench:ASII_13134,P04-20240413-142619,native,Action Sequence Integrity Identification,herbench
herbench:AC_1515,P06-20240510-121619,native,Action Counting,herbench
herbench:SVA_4263,The Longest Ride Official Trailer HD 20th Century FOX,native,Scene Verification & Arrangement,herbench
herbench:FAM_1819,P07-20240529-191007,native,False Action Memory,herbench
herbench:FOM_303629,P01-20240203-184214,native,False Object Memory,herbench
herbench:SVA_4303,The Longest Ride Official Trailer HD 20th Century FOX,native,Scene Verification & Arrangement,herbench
