benchmark,scheme,stratum,settings,min_source_videos,median_source_videos,median_absolute_gap,min_absolute_gap,max_absolute_gap,positive_settings,ci_positive_settings,median_signed_evidence,negative_signed_settings,median_negative_rate
herbench,native,Action Counting,6,26,26.0,0.23100631141987366,0.026582273630759656,0.5869218630958011,6,6,0.04316527520417849,3,0.44337606837606836
herbench,native,Action Sequence Integrity Identification,6,29,29.0,0.13374132396142807,-0.0010222740956649927,0.27098448415260856,5,5,0.0004969338966280235,2,0.45881226053639845
herbench,native,False Action Memory,6,30,30.0,0.29460728888333076,0.01565832797023985,0.5618425745897173,6,6,-0.09359118281587683,6,0.5593518518518518
herbench,native,False Object Memory,6,29,29.0,0.34809685523159645,0.018408411969627,0.7356120146113854,6,5,-0.23852096560182884,6,0.5795019157088123
herbench,native,Scene Verification & Arrangement,6,18,18.0,0.28095736175407493,0.06477883627907896,0.8268622208690415,6,6,-0.008683554785005496,3,0.5005511463844797
herbench,native,Temporal Shot Ordering,6,17,17.0,0.2685648994344475,0.013636782402250946,0.45413174426772207,6,6,0.15252049665714495,0,0.4183006535947712
lvbench,tag_present,entity recognition,6,88,88.0,0.7735561940467106,0.2918402700983646,2.4992398835753993,6,6,-0.5564638701624471,6,0.5892361111111111
lvbench,tag_present,event understanding,6,87,87.0,0.49698671111219206,0.15683962715727826,1.4961445750274665,6,6,-0.3437101150565143,6,0.5635696040868454
lvbench,tag_present,key information retrieval,6,52,52.0,1.0562074113771458,0.3167417691748758,3.411079841901656,6,6,-0.6912941439298628,6,0.5961843711843711
lvbench,tag_present,reasoning,6,43,43.0,0.681405025932244,0.16059068358293915,1.2995108445030061,6,6,-0.11710869931867335,5,0.4754521963824289
lvbench,tag_present,summarization,6,10,10.0,0.2540091269169352,0.016216565668582917,0.6874493158778932,6,4,0.08825899185406647,2,0.49583333333333324
lvbench,tag_present,temporal grounding,6,43,43.0,0.529560204358632,0.1566659790019743,1.324769727732447,6,6,-0.41436810111001965,6,0.5746124031007752
nextgqa,coarse,causal,6,246,246.0,0.3469986097314253,0.08047974316883652,0.8115873676295419,6,6,-0.29975288589356475,6,0.5604110207768744
nextgqa,coarse,temporal,6,182,182.0,0.5958856209058938,0.11060435254631679,1.1537010748389769,6,6,-0.5190948448287109,6,0.5782967032967034
nextgqa,native,CH,6,67,67.0,0.3420445594901381,0.09735266180171526,0.8748475388611457,6,6,-0.3081760159218436,6,0.5758706467661692
nextgqa,native,CW,6,190,190.0,0.3617002192253736,0.0752252563975795,0.8112000756688674,6,6,-0.3145985815371778,6,0.5573099415204679
nextgqa,native,TC,6,70,70.0,0.6668462714670199,0.1311823754615727,1.367475743356129,6,6,-0.5361655221746344,6,0.5892857142857143
nextgqa,native,TN,6,117,117.0,0.5051613907109955,0.09818949088178298,1.0197677198951158,6,6,-0.4577439257853199,6,0.571937321937322
nextgqa,native,TP,6,8,8.0,0.510857889215376,0.0584849218527476,1.0894294663286435,6,4,-0.4083991240342207,5,0.5416666666666666
